prefecture,city,number,address,name,lat,long,note
北海道,むかわ町,1-1,豊城146番地1,masked,42.5887673,141.9440026,
北海道,むかわ町,1-2,青葉2丁目91番地1,masked,42.58018,141.9270733,
北海道,むかわ町,1-3,福住2丁目61番地,福住たこ公園前福住,42.581179,141.9243768,
北海道,むかわ町,1-4,松風2丁目4番地,ボヌール松風前松風,42.57391639999999,141.932843,
北海道,むかわ町,1-5,美幸2丁目88番地,むかわ町役場前美幸,42.5748049,141.9267718,
北海道,むかわ町,1-6,末広2丁目124番地,ツルハドラッグむかわ店前末広,42.5768267,141.9268654,
北海道,むかわ町,1-7,末広2丁目7番,JR鵡川駅前末広,42.5779964,141.9252476,
北海道,むかわ町,1-8,文京3丁目4番地1,鵡川町民体育館前文京,42.5768737,141.9186905,
北海道,むかわ町,1-9,洋光51番地,洋光団地前洋光,42.57171530000001,141.9308928,
北海道,むかわ町,1-10,若草4番地2,若草団地前若草,42.5723898,141.9256735,
北海道,むかわ町,1-11,駒場126番地,若草町民会館前駒場,42.5735266,141.9201529,
北海道,むかわ町,2-12,二宮41番地1,masked,42.614531,141.9251385,
北海道,むかわ町,2-13,二宮321番地3,生涯学習センター「報徳館」前二宮,42.6298223,141.9554402,
北海道,むかわ町,2-14,豊城421番地4,masked,42.6055011,141.9456356,緯度経度は怪しい
北海道,むかわ町,3-15,豊城324番地6,masked,42.5978235,141.9529074,
北海道,むかわ町,3-16,田浦74番地3,masked,42.6005968,141.9068321,緯度経度は怪しい
北海道,むかわ町,3-17,田浦209番地2,熊野神社前田浦,42.6011207,141.8976741,緯度経度は怪しい
北海道,むかわ町,3-18,田浦187番地4,明星会館前田浦,42.5896355,141.9201379,緯度経度は怪しい
北海道,むかわ町,3-19,田浦199番地17,川西第１集落センター前田浦,42.5979201,141.9093153,緯度経度は怪しい
北海道,むかわ町,3-20,田浦268番地9,あつまバス田浦停留所前田浦,42.5942177,141.9237416,
北海道,むかわ町,3-21,田浦732番地1,開拓記念碑前田浦,42.6005968,141.9068321,緯度経度は怪しい
北海道,むかわ町,3-22,田浦658番地,masked,42.6035543,141.9245621,
北海道,むかわ町,4-23,宮戸829番地2,masked,42.5797567,141.9584889,緯度経度は怪しい
北海道,むかわ町,4-24,宮戸715番地8,川東第１集落センター前宮戸,42.5750988,141.9722551,緯度経度は怪しい
北海道,むかわ町,4-25,宮戸1088番地2,旧宮戸小学校前宮戸,42.5748088,141.9604662,緯度経度は怪しい
北海道,むかわ町,4-26,宮戸576番地4,masked,42.578122,141.9550368,緯度経度は怪しい
北海道,むかわ町,4-27,米原396番地3,道南バス汐見入口停留所前汐見,42.56525269999999,142.0001223,
北海道,むかわ町,4-28,汐見416番地2,汐見生活館前汐見,42.5669323,141.9489601,緯度経度は怪しい
北海道,むかわ町,4-29,宮戸76番,イモッペ生活館前宮戸,42.5749413,141.9477039,緯度経度は怪しい
北海道,むかわ町,4-30,米原921番地2,道南バス米原停留所前米原,42.56525269999999,142.0001223,
北海道,むかわ町,4-31,米原364番地7,米原会館前米原,42.5667483,141.9911522,緯度経度は怪しい
北海道,むかわ町,5-32,汐見42番地3,masked,42.5524665,141.954159,緯度経度は怪しい
北海道,むかわ町,5-33,汐見751番地,鵡川漁業協同組合集荷場前汐見,42.5484806,141.9397757,緯度経度は怪しい
北海道,むかわ町,5-34,汐見18番地4,元小野育成牧場前汐見,42.5524665,141.954159,緯度経度は怪しい
