prefecture,city,number,address,name,lat,long,note
北海道,中川町,1,中川郡中川町字国府,国府地区農作業管理休養施設,44.879286,142.023347,
北海道,中川町,2,中川郡中川町字歌内,椿本清勝地先,44.879879,142.049317,
北海道,中川町,3,中川郡中川町字大富三,島津清道地先,44.839369,142.060845,
北海道,中川町,4,中川郡中川町字大富二,大富二会館前,44.831693,142.056007,
北海道,中川町,5,中川郡中川町字誉二,中川建設倉庫前,44.818289,142.064887,
北海道,中川町,6,中川郡中川町字中川,masked,44.819169,142.075274,
北海道,中川町,7,中川郡中川町字中川,旧中川町幼児センター前,44.815137,142.074404,
北海道,中川町,8,中川郡中川町字中川,中川消防支署前,44.812514,142.071960,
北海道,中川町,9,中川郡中川町字中川,中央４区会館前,44.810259,142.077053,
北海道,中川町,10,中川郡中川町字中川,５区特公賃住宅前,44.805658,142.072118,
北海道,中川町,11,中川郡中川町字誉一,熊谷健一地先,44.806894,142.065287,
北海道,中川町,12,中川郡中川町字豊里,旧豊里集会センター前,44.764821,142.054909,
北海道,中川町,13,中川郡中川町字佐久,元教職員住宅前,44.746335,142.048704,
北海道,中川町,14,中川郡中川町字佐久,佐久地区公民館前,44.743040,142.046898,
北海道,中川町,15,中川郡中川町字安川三,野々村眞地先,44.742499,142.040710,
北海道,中川町,16,中川郡中川町字安川一,旧安川一集会センター前,44.703769,142.037254,
北海道,中川町,17,中川郡中川町共和,旧共和小中学校前,44.662190,142.052074,
