prefecture,city,number,address,name,lat,long,note
北海道,厚岸町,1-1,湾月,masked,43.034556,144.843607,
北海道,厚岸町,1-2,湾月,湾月橋フェンス,43.033402,144.841499,
北海道,厚岸町,1-3,湾月,湾月生活館前,43.034349,144.841246,
北海道,厚岸町,1-4,湾月,masked,43.03519,144.840536,
北海道,厚岸町,1-5,湾月,旧菊地造船所跡地,43.036858,144.844393,
北海道,厚岸町,2-1,梅香・松葉・若竹・有明,有明公住フェンス前,43.028369,144.851128,
北海道,厚岸町,2-2,梅香・松葉・若竹・有明,梅香公園フェンス,43.03578,144.849344,
北海道,厚岸町,2-3,梅香・松葉・若竹・有明,社会福祉センター前,43.037871,144.847994,
北海道,厚岸町,2-4,梅香・松葉・若竹・有明,松葉まちなか団地道路沿い,43.037719,144.845892,
北海道,厚岸町,2-5,梅香・松葉・若竹・有明,松葉憩いの広場道路沿い,43.040471,144.848286,
北海道,厚岸町,3-1,松葉・若竹・奔渡,masked,43.040956,144.847673,
北海道,厚岸町,3-2,松葉・若竹・奔渡,旧消防職員駐車場フェンス,43.044186,144.850336,
北海道,厚岸町,3-3,松葉・若竹・奔渡,厚岸漁港看板横,43.042602,144.847567,
北海道,厚岸町,3-4,松葉・若竹・奔渡,個人W氏所有地,43.042348,144.853138,
北海道,厚岸町,4-1,奔渡,漁協倉庫横道路沿い,43.040337,144.855408,
北海道,厚岸町,4-2,奔渡,masked,43.035205,144.858121,
北海道,厚岸町,5-1,奔渡,個人E氏所有干場前フェンス,43.03477,144.85831,
北海道,厚岸町,5-2,奔渡,個人F氏所有土肥商店横,43.032476,144.85933,
北海道,厚岸町,5-3,奔渡,子野日公園駐車場道路沿い,43.028611,144.861669,
北海道,厚岸町,5-4,奔渡,お供え橋フェンス,43.0286,144.86323,
北海道,厚岸町,5-5,奔渡,第1分団前,43.031529,144.856419,
北海道,厚岸町,6-1,筑紫恋,水産種苗センター入口横,43.017513,144.850679,
北海道,厚岸町,6-2,筑紫恋,公民館筑紫恋分館前,43.014306,144.853108,
北海道,厚岸町,7-1,床潭,床潭漁村センターフェンス,43.000004,144.86956,
北海道,厚岸町,7-2,床潭,masked,43.000688,144.863285,
北海道,厚岸町,7-3,床潭,金毘羅院向フェンス,42.992107,144.875726,
北海道,厚岸町,7-4,床潭,masked,42.996719,144.871475,
北海道,厚岸町,8-1,末広,旧生活館横フェンス,42.990767,144.895703,
北海道,厚岸町,8-2,末広,masked,42.990223,144.902639,
