prefecture,city,number,address,name,lat,long,note
北海道,増毛町,1-1,雄冬,レストハウス前,43.7397109,141.3399805,
北海道,増毛町,1-2,別苅,津田屋バス停横(津田屋会館前),43.83582,141.4880422,
北海道,増毛町,1-3,暑寒海岸町,かもめ団地入口（B棟）,43.8565428,141.5134191,
北海道,増毛町,1-4,南暑寒町6丁目,アップル団地入り口,43.8495376,141.5203622,
北海道,増毛町,1-5,畠中町３丁目,潤澄寺西側塀前,43.8545676,141.5203768,
北海道,増毛町,1-6,畠中町5丁目,元松波横,43.8543331,141.5206671,
北海道,増毛町,1-7,南畠中町2丁目,増毛町文化センター前,43.853089,141.522698,
北海道,増毛町,1-8,永寿町４丁目,元陣屋前,43.8553107,141.5228432,
北海道,増毛町,1-9,稲葉町１丁目,留萌信用金庫増毛支店横,43.8575191,141.5251785,
北海道,増毛町,2-10,箸別,masked,43.8534133,141.5509969,
北海道,増毛町,2-11,舎熊,南ん家前,43.8684651,141.5720778,
北海道,増毛町,2-12,舎熊,masked,43.7955004,141.56253,
北海道,増毛町,2-13,舎熊,信砂生活改善センター前,43.8583584,141.6022179,
北海道,増毛町,2-14,舎熊,彦部バス停横,43.7955004,141.56253,
北海道,増毛町,2-15,阿分,消防分団車庫向,43.885577,141.5970279,
北海道,増毛町,2-16,阿分,秋田建設倉庫（跡地）,43.8702276,141.623941,
北海道,増毛町,2-17,阿分,旧阿分小学校入口,43.8702276,141.623941,
