prefecture,city,number,address,name,lat,long,note
北海道,夕張市,1-1,社光 旧市立診療所駐車場前付近,旧市立診療所駐車場前付近,43.050125,142.00235,緯度経度は怪しい
北海道,夕張市,1-2,本町1丁目 「栄」アパート前バス停付近,「栄」アパート前バス停付近,43.0577154,141.9834444,
北海道,夕張市,1-3,本町3丁目本町3丁目市街,本町３丁目市街,43.053684,141.9814128,
北海道,夕張市,1-4,本町4丁目 ふれあい公園道路付近,ふれあい公園道路付近,43.0566683,141.974946,
北海道,夕張市,1-5,本町6丁目 旧夕張中学校向付近道路沿,旧夕張中学校向付近道路沿,43.0535755,141.9709334,
北海道,夕張市,1-6,昭和 除雪センター上道道沿付近,除雪センター上道道沿付近,43.057728,141.967163,緯度経度は怪しい
北海道,夕張市,2-1,末広1丁目 末広生活館跡地付近,末広生活館跡地付近,43.0488249,141.9653132,
北海道,夕張市,2-2,末広1丁目 バス停付近(旧みのわ歯科横),バス停付近(旧みのわ歯科横),43.0466595,141.9633991,
北海道,夕張市,2-3,末広2丁目 恵1号棟横道路付近,恵1号棟横道路付近,43.047028,141.976303,緯度経度は怪しい
北海道,夕張市,2-4,末広2丁目 旧新夕張保育園前付近,旧新夕張保育園前付近,43.044577,141.964223,
北海道,夕張市,3-1,鹿の谷1丁目 消防分団詰所横道路沿付近,消防分団詰所横道路沿付近,43.0420577,141.9628562,
北海道,夕張市,3-2,鹿の谷3丁目 鹿の谷生活館前道路沿空地付近,鹿の谷生活館前道路沿空地付近,43.03513,141.964569,緯度経度は怪しい
北海道,夕張市,3-3,鹿の谷3丁目鹿の谷3丁目本町方面バス停付近,鹿の谷3丁目本町方面バス停付近,43.03513,141.964569,緯度経度は怪しい
北海道,夕張市,4-1,若菜2番地 老人福祉会館前付近,老人福祉会館前付近,43.030319,141.964188,緯度経度は怪しい
北海道,夕張市,4-2,千代田 H54下道路沿付近,H54下道路沿付近,43.022221,141.965942,緯度経度は怪しい
北海道,夕張市,4-3,千代田 ビレッジハウス新千代田前付近,ビレッジハウス新千代田前付近,43.022221,141.965942,緯度経度は怪しい
北海道,夕張市,4-4,富野 富野生活館入口道路沿付近,富野生活館入口道路沿付近,43.045746,141.932663,緯度経度は怪しい
北海道,夕張市,4-5,富野 二岐橋夕張方面バス停付近,二岐橋夕張方面バス停付近,43.045746,141.932663,緯度経度は怪しい
