prefecture,city,number,address,name,lat,long,note
北海道,大空町,1,大空町女満別西3条3丁目1番地1,女満別研修会館前,43.911705,144.171066,
北海道,大空町,2,大空町女満別西5条3丁目342番地72先,masked,43.908386,144.167618,
北海道,大空町,3,大空町女満別西3条6丁目10番地1先,女満別除雪センター前,43.909878,144.174957,
北海道,大空町,4,大空町女満別東陽3丁目83番地2,女満別中学校前,43.915909,144.183609,
北海道,大空町,5,大空町女満別夕陽台1丁目72番地8,女満別小学校前,43.912006,144.183212,
北海道,大空町,6,大空町女満別西4条4丁目284番地15,はなぞの公住横,43.909351,144.171371,
北海道,大空町,7,大空町女満別中央201番地43,空港レンタカー前,43.882359,144.155594,
北海道,大空町,8,大空町女満別中央17番地先,巴沢入口前,43.889187,144.165298,
北海道,大空町,9,大空町女満別本通3丁目10番地,女満別地域振興会館前,43.914654,144.172852,
北海道,大空町,10,大空町女満別西3条2丁目3番地1,（株）朝鳥商店,43.911915,144.169449,
北海道,大空町,11,大空町女満別昭和96番地6,道の駅入り口,43.917229,144.188477,
北海道,大空町,12,大空町女満別本郷62番地4,masked,43.90229,144.146805,
北海道,大空町,13,大空町女満別本郷242番地42,きららハウス前,43.90229,144.146805,
北海道,大空町,14,大空町女満別湖南126番地4先,湖南公民館前,43.945709,144.186264,
北海道,大空町,15,大空町女満別朝日338番地3,朝日公民館前,43.909161,144.220306,
北海道,大空町,16,大空町女満別大東102番地1,大東公民館前,43.877277,144.18045,
北海道,大空町,17,大空町女満別住吉298番地3先,町道230号線終点,43.916573,144.104355,
北海道,大空町,18,大空町女満別住吉416番地2,住吉公民館前,43.916573,144.104355,
北海道,大空町,19,大空町女満別豊里19番地1,旧豊住小学校前,43.874619,144.108994,
北海道,大空町,20,大空町女満別豊里172番地2,豊里公民館前,43.874619,144.108994,
北海道,大空町,21,大空町女満別豊里413番地1先,masked,43.874619,144.108994,
北海道,大空町,22,大空町女満別大成263番地2,大成公民館前,43.852642,144.211151,
北海道,大空町,23,大空町女満別日進161番地1,日進公民館前,43.863583,144.247391,
北海道,大空町,24,大空町女満別開陽393番地9,開陽中央線入口,43.817841,144.234024,
北海道,大空町,25,大空町女満別開陽304番地1,開陽公民館前,43.817841,144.234024,
北海道,大空町,26,大空町東藻琴西倉115番地の3地先,西倉自治会館,43.859722,144.288651,
北海道,大空町,27,大空町東藻琴91番地の1,JAオホーツク網走東藻琴支所横,43.819,144.31868,
北海道,大空町,28,大空町東藻琴387番地の1,東藻琴B&G海洋センター前,43.819,144.31868,
北海道,大空町,29,大空町東藻琴315番地の1,中央さくら団地入口,43.819,144.31868,
北海道,大空町,30,大空町東藻琴264番地の4地先,南区バス停留所前,43.819,144.31868,
北海道,大空町,31,大空町東藻琴千草73番地の1,東藻琴野球場前,43.829819,144.264603,
北海道,大空町,32,大空町東藻琴明生283番地の4地先,町道明生53号線入口,43.849922,144.358231,
北海道,大空町,33,大空町東藻琴708番地の1地先,上東南24号西2線,43.819,144.31868,
北海道,大空町,34,大空町東藻琴末広622番地の38地先,大空町東藻琴山園ふるさとセンター前,43.790874,144.307999,
