prefecture,city,number,address,name,lat,long,note
北海道,島牧村,1,字江ノ島93番地2地先,None,42.6719353,140.0337254,緯度経度は怪しい
北海道,島牧村,2,字泊412番地9地先,None,42.6738208,140.0821435,緯度経度は怪しい
北海道,島牧村,3,字泊50番地1地先,None,42.7012983,140.0613009,緯度経度は怪しい
北海道,島牧村,4,字永豊町86番地地先,None,42.71128789999999,140.0652678,緯度経度は怪しい
北海道,島牧村,5,字栄浜351番地1地先,None,42.6730498,139.8878407,緯度経度は怪しい
北海道,島牧村,6,字原歌町501番地1地先,None,42.6875215,139.9556249,緯度経度は怪しい
北海道,島牧村,7,字原歌町121番地1地先,None,42.6879043,139.9814262,緯度経度は怪しい
北海道,島牧村,8,字元町38番地1地先,None,42.6860198,140.0009448,緯度経度は怪しい
北海道,島牧村,9,字千走226番地2地先,None,42.6570951,140.0044626,緯度経度は怪しい
北海道,島牧村,10,字豊浜237番地1地先,None,42.7255623,140.0783579,緯度経度は怪しい
北海道,島牧村,11,字豊浜52番地1地先,None,42.7316781,140.0885995,緯度経度は怪しい
北海道,島牧村,12,字栄磯64番地4地先,None,42.735423,140.1022995,緯度経度は怪しい
北海道,島牧村,13,字港57番地1地先,None,42.7411858,140.1151131,緯度経度は怪しい
北海道,島牧村,14,字本目332番地3地先,None,42.7465229,140.1243775,緯度経度は怪しい
北海道,島牧村,15,字本目295番地3地先,None,42.7449501,140.1304805,緯度経度は怪しい
北海道,島牧村,16,字歌島432番地先,None,42.7835774,140.1557325,緯度経度は怪しい
北海道,島牧村,17,字歌島374番地,None,42.7752794,140.1508706,緯度経度は怪しい
北海道,島牧村,18,字歌島215番地1地先,None,42.7899071,140.1603879,緯度経度は怪しい
