prefecture,city,number,address,name,lat,long,note
北海道,新十津川町,1-1,,,43.54820596,141.8767118,
北海道,新十津川町,1-2,,,43.5499478,141.8757248,
北海道,新十津川町,1-3,,,43.54693065,141.8784285,
北海道,新十津川町,1-4,,,43.54618411,141.8845224,
北海道,新十津川町,1-5,,,43.54506429,141.8692446,
北海道,新十津川町,1-6,,,43.55377347,141.8544388,
北海道,新十津川町,1-7,,,43.53448717,141.8455124,
北海道,新十津川町,1-8,,,43.53125145,141.8776989,
北海道,新十津川町,2-9,,,43.5802665,141.8719482,
北海道,新十津川町,2-10,,,43.59158157,141.8698025,
北海道,新十津川町,2-11,,,43.59599512,141.8651676,
北海道,新十津川町,2-12,,,43.6100417,141.8631935,
北海道,新十津川町,2-13,,,43.57510563,141.8530655,
北海道,新十津川町,3-14,,,43.55731898,141.8821192,
北海道,新十津川町,3-15,,,43.55529744,141.8799305,
北海道,新十津川町,3-16,,,43.55980694,141.8813038,
北海道,新十津川町,3-17,,,43.55971365,141.8794155,
北海道,新十津川町,3-18,,,43.57062837,141.869545,
北海道,新十津川町,4-19,,,43.58390372,141.7901945,
北海道,新十津川町,4-20,,,43.59349311,141.7320228,
北海道,新十津川町,4-21,,,43.59416136,141.7294693,
北海道,新十津川町,5-22,,,43.49826204,141.8836212,
北海道,新十津川町,5-23,,,43.50735149,141.8676567,
北海道,新十津川町,5-24,,,43.4970168,141.8626785,
北海道,新十津川町,5-25,,,43.49776395,141.8595886,
北海道,新十津川町,5-26,,,43.48394027,141.8542671,
