prefecture,city,number,address,name,lat,long,note
北海道,札幌市,01-01,中央区南２９条西１２丁目 山鼻南小学校グラウンド北側,山鼻南小学校グラウンド北側,43.0211468,141.3438213,
北海道,札幌市,01-02,中央区南２６条西１１丁目 北海学園大学工学部,北海学園大学工学部,43.024654,141.344711,緯度経度は怪しい
北海道,札幌市,01-03,中央区南２９条西８丁目 山鼻取水場,山鼻取水場,43.021805,141.349838,緯度経度は怪しい
北海道,札幌市,01-04,中央区南２７条西１２丁目 山鼻みなみ公園,山鼻みなみ公園,43.0231982,141.3441618,
北海道,札幌市,01-05,中央区南３０条西１０丁目 テニスコート跡南側,テニスコート跡南側,43.0187713,141.3472108,
北海道,札幌市,01-06,中央区南２９条西９丁目 山鼻川緑地向かい遊歩道,山鼻川緑地向かい遊歩道,43.020557,141.348541,緯度経度は怪しい
北海道,札幌市,01-07,中央区南29条西12丁目 山鼻南小学校グラウンド南側,山鼻南小学校グラウンド南側,43.0211468,141.3438213,
北海道,札幌市,02-01,中央区南２条西２０丁目 円山裏参道公園,円山裏参道公園,43.0556547,141.3271514,
北海道,札幌市,02-02,中央区南４条西２２丁目 北海道電力円山荘,北海道電力円山荘,43.052891,141.3246,緯度経度は怪しい
北海道,札幌市,02-03,中央区南６条西１８丁目 北電円山変電所,北電円山変電所,43.051071,141.329254,緯度経度は怪しい
北海道,札幌市,02-04,中央区南２条西２１丁目 瑞龍寺花園駐車場,瑞龍寺花園駐車場,43.05505,141.325668,緯度経度は怪しい
北海道,札幌市,02-05,大通西１９丁目 社会福祉総合センター,社会福祉総合センター,43.05812645,141.3276098,
北海道,札幌市,02-06,中央区大通西１９丁目 地下鉄西１８丁目駅,地下鉄西１８丁目駅,43.057232,141.327927,緯度経度は怪しい
北海道,札幌市,03-01,中央区南２１条西５丁目 柏中学校,柏中学校,43.031597,141.353561,緯度経度は怪しい
北海道,札幌市,03-02,中央区南２５条西８丁目 南２５条すみれ公園,南２５条すみれ公園,43.026386,141.349945,緯度経度は怪しい
北海道,札幌市,03-03,中央区南２３条西１０丁目 ゲートボールコート,ゲートボールコート,43.028835,141.345886,緯度経度は怪しい
北海道,札幌市,03-04,中央区南23条西7丁目 北海道電力新山鼻荘,北海道電力新山鼻荘,43.029198,141.351471,緯度経度は怪しい
北海道,札幌市,03-05,中央区南24条西9丁目 北海道電力幌南荘,北海道電力幌南荘,43.027611,141.348129,緯度経度は怪しい
北海道,札幌市,04-01,中央区南１４条西１０丁目 山鼻小学校正門,山鼻小学校正門,43.041008,141.344315,緯度経度は怪しい
北海道,札幌市,04-02,中央区南１４条西１２丁目 北海道札幌視覚支援学校東側,北海道札幌視覚支援学校東側,43.041176,141.34111,緯度経度は怪しい
北海道,札幌市,04-03,中央区南１４条西１０丁目 山鼻小学校北側,山鼻小学校北側,43.041008,141.344315,緯度経度は怪しい
北海道,札幌市,04-04,中央区南１４条西１０丁目 山鼻小学校グラウンド,山鼻小学校グラウンド,43.041008,141.344315,緯度経度は怪しい
北海道,札幌市,04-05,中央区南１４条西１０丁目 山鼻小学校東側,山鼻小学校東側,43.041008,141.344315,緯度経度は怪しい
北海道,札幌市,04-06,中央区南１４条西１２丁目 北海道札幌視覚支援学校南側,北海道札幌視覚支援学校南側,43.041176,141.34111,緯度経度は怪しい
北海道,札幌市,05-01,中央区南１６条西１７丁目 伏見中学校正門,伏見中学校正門,43.0376553,141.3329099,
北海道,札幌市,05-02,中央区南１６条西１７丁目 伏見中学校グラウンド,伏見中学校グラウンド,43.0376553,141.3329099,
北海道,札幌市,05-03,中央区伏見1丁目 伏見タウンハウス,伏見タウンハウス,43.037163,141.326721,緯度経度は怪しい
北海道,札幌市,05-04,中央区伏見１丁目 バス停「伏見町高台」,バス停「伏見町高台」,43.0361604,141.3286471,
北海道,札幌市,05-05,中央区南１６条西１５丁目 財務局南16条住宅,財務局南16条住宅,43.037556,141.335999,緯度経度は怪しい
北海道,札幌市,05-06,中央区伏見３丁目 藻岩浄水場,藻岩浄水場,43.032253,141.324371,緯度経度は怪しい
北海道,札幌市,06-01,中央区南１８条西１５丁目 伏見小学校北西角,伏見小学校北西角,43.034855,141.336304,緯度経度は怪しい
北海道,札幌市,06-02,中央区南１８条西１５丁目 伏見小学校南東角,伏見小学校南東角,43.034855,141.336304,緯度経度は怪しい
北海道,札幌市,06-03,中央区南１７条西９丁目 南１７条つぼみ公園,南１７条つぼみ公園,43.0368947,141.3473474,
北海道,札幌市,06-04,中央区南２０条西１５丁目 北海道郵政研修センターグラウンド,北海道郵政研修センターグラウンド,43.032433,141.336548,緯度経度は怪しい
北海道,札幌市,06-05,中央区南２０条西１５丁目 北海道郵政研修センター,北海道郵政研修センター,43.032433,141.336548,緯度経度は怪しい
北海道,札幌市,06-06,中央区南２１条西１６丁目 電車事業所,電車事業所,43.030685,141.336273,緯度経度は怪しい
北海道,札幌市,06-07,中央区南１８条西１３丁目 山鼻どんぐり公園,山鼻どんぐり公園,43.035156,141.339874,緯度経度は怪しい
北海道,札幌市,06-08,中央区伏見４丁目 水道記念館,水道記念館,43.033844,141.329285,緯度経度は怪しい
北海道,札幌市,06-09,中央区南１９条西１６丁目 ロープウェイ入口交差点,ロープウェイ入口交差点,43.03339,141.334076,緯度経度は怪しい
北海道,札幌市,06-10,中央区南17条西16丁目 伏見もいわ山公園西側,伏見もいわ山公園西側,43.036461,141.334427,緯度経度は怪しい
北海道,札幌市,06-11,中央区伏見４丁目 藻岩浄水場脱水機棟東側,藻岩浄水場脱水機棟東側,43.033844,141.329285,緯度経度は怪しい
北海道,札幌市,07-01,中央区南１０条西１７丁目 幌西小学校西側,幌西小学校西側,43.045736,141.331682,
北海道,札幌市,07-02,中央区南１０条西１７丁目 幌西小学校グラウンド,幌西小学校グラウンド,43.045736,141.331682,
北海道,札幌市,07-03,中央区南１１条西１６丁目 南１１条おおたに公園,南１１条おおたに公園,43.0441061,141.3338408,
北海道,札幌市,07-04,中央区南７条西１８丁目 なかよし公園,なかよし公園,43.0498785,141.3290768,
北海道,札幌市,07-05,中央区南９条西１６丁目 幌西やくも公園,幌西やくも公園,43.047108,141.333054,緯度経度は怪しい
北海道,札幌市,07-06,中央区南８条西１６丁目 道路工業㈱駐車場,道路工業㈱駐車場,43.048466,141.33287,緯度経度は怪しい
北海道,札幌市,07-07,中央区南９条西１８丁目 財務局宿舎３０１,財務局宿舎３０１,43.046928,141.329636,緯度経度は怪しい
北海道,札幌市,07-08,中央区南９条西１４丁目 わんぱく公園,わんぱく公園,43.0476986,141.3370809,
北海道,札幌市,07-09,中央区南１２条西１７丁目 幌西ひだまりパーク,幌西ひだまりパーク,43.042984,141.331863,緯度経度は怪しい
北海道,札幌市,07-10,中央区南７条西13丁目 南７条りんりん公園東側,南７条りんりん公園東側,43.0509653,141.3381919,
北海道,札幌市,08-01,中央区南１１条西９丁目 あけぼのアート＆コミュニティセンター,あけぼのアート＆コミュニティセンター,43.045353,141.345337,緯度経度は怪しい
北海道,札幌市,08-02,中央区南１１条西９丁目 あけぼのアート＆コミュニティセンター,あけぼのアート＆コミュニティセンター,43.045353,141.345337,緯度経度は怪しい
北海道,札幌市,08-03,中央区南9条西12丁目 いこい公園,いこい公園,43.04763,141.340286,緯度経度は怪しい
北海道,札幌市,08-04,中央区南８条西８丁目 北洋銀行東屯田センター,北洋銀行東屯田センター,43.049611,141.3467882,
北海道,札幌市,08-05,中央区南12条西8丁目 曙もみじ公園,曙もみじ公園,43.0443171,141.3483663,
北海道,札幌市,08-06,中央区南１１条西１０丁目 あけぼの公園,あけぼの公園,43.04517,141.34375,緯度経度は怪しい
北海道,札幌市,08-07,中央区南９条西８丁目 北海道電力旧南９条アパート東側,北海道電力旧南９条アパート東側,43.048042,141.347122,緯度経度は怪しい
北海道,札幌市,09-01,中央区南12条西7丁目 中島中学校東側,中島中学校東側,43.044212,141.349487,緯度経度は怪しい
北海道,札幌市,09-02,中央区南12条西7丁目 中島中学校西側,中島中学校西側,43.044212,141.349487,緯度経度は怪しい
北海道,札幌市,09-03,中央区南１０条西６丁目 中島公園西ノボテル口,中島公園西ノボテル口,43.047115,141.35144,緯度経度は怪しい
北海道,札幌市,09-04,中央区南１１条西６丁目 中島公園西天文台口,中島公園西天文台口,43.045567,141.350891,緯度経度は怪しい
北海道,札幌市,09-05,中央区南１５条西４丁目 対山橋,対山橋,43.0400045,141.3551505,
北海道,札幌市,09-06,中央区南１６条西５丁目 ローソン西側三角地,ローソン西側三角地,43.038799,141.353561,緯度経度は怪しい
北海道,札幌市,09-07,中央区南１６条西６丁目 札幌静修高校,札幌静修高校,43.038689,141.351791,緯度経度は怪しい
北海道,札幌市,09-08,中央区南１２条西７丁目 中島中学校南側,中島中学校南側,43.044212,141.349487,緯度経度は怪しい
北海道,札幌市,10-01,中央区南8条西2丁目 豊水会館,豊水会館,43.051071,141.357086,緯度経度は怪しい
北海道,札幌市,10-02,中央区中島公園 中島公園北海道立文学館裏,中島公園北海道立文学館裏,43.044502,141.354141,緯度経度は怪しい
北海道,札幌市,10-03,中央区中島公園 バス停「中島公園駅前」,バス停「中島公園駅前」,43.044502,141.354141,緯度経度は怪しい
北海道,札幌市,10-04,中央区中島公園 南１４条橋東,南１４条橋東,43.044502,141.354141,緯度経度は怪しい
北海道,札幌市,10-05,中央区南7条西4丁目 豊川稲荷,豊川稲荷,43.052006,141.353439,緯度経度は怪しい
北海道,札幌市,10-06,中央区南8条西2丁目 市民活動プラザ星園,市民活動プラザ星園,43.050818,141.357702,
北海道,札幌市,10-07,中央区南10条西3丁目 中島公園東側,中島公園東側,43.047932,141.356171,緯度経度は怪しい
北海道,札幌市,10-08,中央区南８西４丁目 鴨々川藻山橋,鴨々川藻山橋,43.05062174,141.3545114,
北海道,札幌市,10-09,中央区中島公園 地下鉄幌平橋駅,地下鉄幌平橋駅,43.044502,141.354141,緯度経度は怪しい
北海道,札幌市,11-01,中央区南３条西７丁目 資生館小学校北側,資生館小学校北側,43.05595,141.34758,緯度経度は怪しい
北海道,札幌市,11-02,中央区南４条西７丁目 資生館小学校南側,資生館小学校南側,43.054806,141.34787,緯度経度は怪しい
北海道,札幌市,11-03,中央区南６条西６丁目 札幌トヨペット札幌店,札幌トヨペット札幌店,43.0529697,141.3495125,
北海道,札幌市,11-04,中央区南５条西８丁目 プレミアホテルキャビン駐車場,プレミアホテルキャビン駐車場,43.053455,141.346603,緯度経度は怪しい
北海道,札幌市,12-01,中央区大通西13丁目 札幌市資料館南,札幌市資料館南,43.058456,141.33728,緯度経度は怪しい
北海道,札幌市,12-02,中央区大通西13丁目 札幌市資料館北,札幌市資料館北,43.058456,141.33728,緯度経度は怪しい
北海道,札幌市,12-03,中央区南３条西１６丁目 医大保健医療学部,医大保健医療学部,43.054272,141.331741,緯度経度は怪しい
北海道,札幌市,12-04,中央区南5条西17丁目 渥美工業㈱駐車場,渥美工業㈱駐車場,43.051952,141.330551,緯度経度は怪しい
北海道,札幌市,12-05,中央区南1条西18丁目 医大駐車場前,医大駐車場前,43.055927,141.32991,緯度経度は怪しい
北海道,札幌市,12-06,中央区南1条西16丁目 医大病院駐車場前,医大病院駐車場前,43.0563271,141.3332081,
北海道,札幌市,12-07,中央区南２条西１５丁目 二条小学校西側,二条小学校西側,43.055401,141.334869,緯度経度は怪しい
北海道,札幌市,12-08,中央区南３条西１４丁目 二条小学校南側,二条小学校南側,43.054649,141.33551,緯度経度は怪しい
北海道,札幌市,12-09,中央区南２条西１４丁目 二条小学校東側,二条小学校東側,43.055355,141.3367,緯度経度は怪しい
北海道,札幌市,12-10,中央区南２条西14丁目 南２条みゆき公園北側,南２条みゆき公園北側,43.0553948,141.3366682,
北海道,札幌市,13-01,中央区大通東6丁目 中央小学校西側,中央小学校西側,43.0627944,141.3660641,
北海道,札幌市,13-02,中央区大通東6丁目 中央小学校南側,中央小学校南側,43.0627944,141.3660641,
北海道,札幌市,13-03,中央区南４条東４丁目 新渡戸稲造記念公園,新渡戸稲造記念公園,43.057091,141.363159,緯度経度は怪しい
北海道,札幌市,13-04,中央区南４条東４丁目 橋台公園,橋台公園,43.057091,141.363159,緯度経度は怪しい
北海道,札幌市,13-05,中央区大通東１丁目 北海道電力駐車場,北海道電力駐車場,43.0615707,141.3576701,
北海道,札幌市,13-06,中央区大通東４丁目 あそぶべ公園,あそぶべ公園,43.0624333,141.3621005,
北海道,札幌市,13-07,中央区北１条東７丁目 東7丁目緑地,東7丁目緑地,43.0648407,141.3661711,
北海道,札幌市,13-08,中央区北２条東６丁目 永山記念公園南,永山記念公園南,43.0655645,141.3645082,
北海道,札幌市,13-09,中央区北2条東6丁目 永山記念公園東,永山記念公園東,43.0655645,141.3645082,
北海道,札幌市,14-01,中央区北１条東１０丁目 苗穂会館,苗穂会館,43.065395,141.372055,緯度経度は怪しい
