prefecture,city,number,address,name,lat,long,note
北海道,東川町,1,西町2丁目2番,第1投票区 道道旭川旭岳温泉線の設置場所 (位置情報が見つかりませんでした),43.697247,142.500748,緯度経度は怪しい
北海道,東川町,2,北町1丁目1番,第1投票区 道道旭川旭岳温泉線の設置場所,43.700291,142.508728,緯度経度は怪しい
北海道,東川町,3,東町1丁目1番,第1投票区 道道旭川旭岳温泉線の設置場所 (位置情報が見つかりませんでした),43.698872,142.512115,緯度経度は怪しい
北海道,東川町,4,東町3丁目1番,第1投票区 道道旭川旭岳温泉線の設置場所 (位置情報が見つかりませんでした),43.695728,142.516479,緯度経度は怪しい
北海道,東川町,5,1号南1番地,第1投票区 道道旭川旭岳温泉線の設置場所,43.686985,142.522537,緯度経度は怪しい
北海道,東川町,6,東3号南2番地,第1投票区 道道旭川旭岳温泉線の設置場所,43.680634,142.533951,緯度経度は怪しい
北海道,東川町,7,西町1丁目14番,第1投票区 道道東川東神楽旭川線の設置場所 (位置情報が見つかりませんでした),43.695946,142.503647,緯度経度は怪しい
北海道,東川町,8,西4号北20番地,第1投票区 道道瑞穂東川線の設置場所,43.724617,142.536209,緯度経度は怪しい
北海道,東川町,9,東町1丁目19番,第1投票区 町道１丁目道路の設置場所 (位置情報が見つかりませんでした),43.698872,142.512115,緯度経度は怪しい
北海道,東川町,10,西町5丁目1番,第2投票区 道道旭川旭岳温泉線の設置場所 (位置情報が見つかりませんでした),43.700584,142.491241,緯度経度は怪しい
北海道,東川町,11,北町8丁目1番,第2投票区 道道旭川旭岳温泉線の設置場所 (位置情報が見つかりませんでした),43.710979,142.489059,緯度経度は怪しい
北海道,東川町,12,北町9丁目1番,第2投票区 道道旭川旭岳温泉線の設置場所 (位置情報が見つかりませんでした),43.712345,142.485794,緯度経度は怪しい
北海道,東川町,13,北町7丁目1番,第2投票区 道道旭川旭岳温泉線の設置場所,43.709454,142.491806,緯度経度は怪しい
北海道,東川町,14,西町8丁目4番,第2投票区 町道西８号道路の設置場所,43.703903,142.481659,緯度経度は怪しい
北海道,東川町,15,北町12丁目2番,第3投票区 道道旭川旭岳温泉線の設置場所,43.717155,142.478302,緯度経度は怪しい
北海道,東川町,16,西9号北32番地,第3投票区 道道東川旭川線の設置場所,43.7313,142.49971,緯度経度は怪しい
北海道,東川町,17,西町10号北24番地,第3投票区 町道西１０号道路の設置場所,43.707733,142.477036,緯度経度は怪しい
北海道,東川町,18,西町10号北35番地,第3投票区 町道西１０号道路の設置場所,43.707733,142.477036,緯度経度は怪しい
北海道,東川町,19,西町8号北36番地,第3投票区 町道西８号道路の設置場所,43.703903,142.481659,緯度経度は怪しい
北海道,東川町,20,西6号北31番地,第4投票区 道道東川旭川線の設置場所,43.724026,142.518021,緯度経度は怪しい
北海道,東川町,21,キトウシ南1丁目1番,第4投票区 道道東川旭川線の設置場所,43.716152,142.529099,緯度経度は怪しい
北海道,東川町,22,西2号北31番地,第4投票区 道道瑞穂東川線の設置場所,43.708916,142.536972,緯度経度は怪しい
北海道,東川町,23,東4号北30番地,第4投票区 道道瑞穂東川線の設置場所,43.691898,142.554169,緯度経度は怪しい
北海道,東川町,24,東7号北30番地,第4投票区 道道瑞穂東川線の設置場所,43.686672,142.574295,緯度経度は怪しい
北海道,東川町,25,西5号北36番地,第4投票区 町道西５号道路の設置場所,43.719654,142.522217,緯度経度は怪しい
北海道,東川町,26,東2号北7線,第4投票区 町道北７線道路の設置場所,43.692822,142.537628,緯度経度は怪しい
北海道,東川町,27,東4号北7線,第4投票区 町道北７線道路の設置場所,43.691898,142.554169,緯度経度は怪しい
北海道,東川町,28,東5号南2番地,第5投票区 道道旭川旭岳温泉線の設置場所,43.674351,142.545425,緯度経度は怪しい
北海道,東川町,29,東8号南1番地,第5投票区 道道旭川旭岳温泉線の設置場所,43.663273,142.558426,緯度経度は怪しい
北海道,東川町,30,東10号北2番地,第5投票区 道道旭川旭岳温泉線の設置場所,43.670265,142.583511,緯度経度は怪しい
北海道,東川町,31,勇駒別,第5投票区 道道旭川旭岳温泉線の設置場所,43.670628,142.811981,緯度経度は怪しい
北海道,東川町,32,松山温泉,第5投票区 町道天人峡道路の設置場所,43.645527,142.834442,緯度経度は怪しい
