prefecture,city,number,address,name,lat,long
北海道,森町,1-1,御幸町,森町社会福祉協議会附近,42.107088,140.578759
北海道,森町,1-2,御幸町,御幸町小公園附近,42.107812,140.577654
北海道,森町,1-3,御幸町,旧森商工会議所附近,42.107371,140.576919
北海道,森町,1-4,本町,本町セブンイレブン附近,42.108551,140.571281
北海道,森町,1-5,清澄町,旧森小学校附近,42.10519,140.575374
北海道,森町,1-6,御幸町,森町役場附近,42.104843,140.576924
北海道,森町,1-7,清澄町,森町分庁舎前,42.102428,140.574145
北海道,森町,2-8,赤井川,埜畑商店倉庫附近,42.002271,140.633422
北海道,森町,2-9,赤井川,旧赤井川小学校前,42.003498,140.633444
北海道,森町,2-10,赤井川,民家附近,42.008011,140.63104
北海道,森町,2-11,駒ヶ岳,ちゃっぷ林館向附近,42.014834,140.642263
北海道,森町,2-12,赤井川,緑の村内,42.010131,140.696357
北海道,森町,3-13,駒ヶ岳,駒ヶ岳特別母と子の家前,42.03817,140.611299
北海道,森町,3-14,駒ヶ岳,旧セイコーマート駒ヶ岳店交差点付近,42.036617,140.6072109
北海道,森町,3-15,駒ヶ岳,旧駒ヶ岳小学校附近,42.033548,140.613365
北海道,森町,3-16,駒ヶ岳,日影館商店附近,42.0216492,140.6285028
北海道,森町,3-17,駒ヶ岳,開拓婦人ホーム附近,42.0448111,140.60285
北海道,森町,4-18,尾白内町,民家附近,42.116832,140.626298
北海道,森町,4-19,尾白内町,高瀬電気附近,42.115797,140.623895
北海道,森町,4-20,尾白内町,民家附近,42.115718,140.619582
北海道,森町,4-21,尾白内町,尾白内生活館附近,42.113808,140.619646
北海道,森町,4-22,尾白内町,尾白内神社附近,42.114715,140.616492
北海道,森町,4-23,尾白内町,岩本冷蔵庫附近,42.112948,140.616471
北海道,森町,4-24,尾白内町,尾白内郵便局向,42.112089,140.612715
北海道,森町,4-25,尾白内町,かね長水産附近,42.11306,140.6116
北海道,森町,4-26,尾白内町,民家附近,42.112614,140.608789
北海道,森町,4-27,尾白内町,民家附近,42.111388,140.60969
北海道,森町,4-28,尾白内町,民家向,42.110791,140.606927
北海道,森町,4-29,尾白内町,旧尾白内小学校附近,42.108666,140.606681
北海道,森町,4-30,尾白内町,尾白内南部生活改善センター附近,42.103429,140.612651
北海道,森町,6-31,港町,高佐土建向附近,42.11056,140.60012
北海道,森町,6-32,港町,旧港町保育所附近,42.110059,140.597797
北海道,森町,6-33,港町,ヤマホン佐藤本社附近,42.109565,140.595565
北海道,森町,6-34,港町,民家附近,42.108658,140.590619
北海道,森町,6-35,港町,森町漁村センター前,42.106955,140.593033
北海道,森町,6-36,東森町,松田商店附近,42.1064454,140.5958878
北海道,森町,6-37,東森町,糸谷水産加工附近,42.1060674,140.6008708
北海道,森町,7-38,新川町,民家向,42.108069,140.587229
北海道,森町,7-39,新川町,丹羽商店附近,42.107687,140.58342
北海道,森町,7-40,新川町,新川老人いこいの家附近,42.106095,140.585931
北海道,森町,7-41,新川町,民家附近,42.107202,140.580652
北海道,森町,7-42,新川町,旧北電変電所附近,42.105172,140.583592
北海道,森町,8-43,常盤町,常盤福祉会館附近,42.103675,140.587744
北海道,森町,8-44,常盤町,新川保育所附近,42.105291,140.587025
北海道,森町,8-45,常盤町,旧水車吉田商店附近,42.103484,140.585341
北海道,森町,8-46,常盤町,ポプラ団地入口附近,42.102569,140.588527
北海道,森町,8-47,常盤町,アカシヤ団地入口附近,42.104193,140.592143
北海道,森町,8-48,常盤町,さくら団地入口附近,42.103667,140.594085
北海道,森町,8-49,常盤町,新函館農協倉庫附近,42.101056,140.587487
北海道,森町,9-50,森川町,吉沢商店附近,42.100491,140.581296
北海道,森町,9-51,森川町,旧農協スタンド横附近,42.105713,140.579708
北海道,森町,9-52,森川町,旧幾世橋医院附近,42.105315,140.578185
北海道,森町,9-53,森川町,森川町小公園附近,42.105705,140.580867
北海道,森町,9-54,森川町,民家附近,42.101247,140.580803
北海道,森町,9-55,森川町,森川公住団地入口附近,42.102967,140.582659
北海道,森町,9-56,森川町,龍光寺入口附近,42.104209,140.578807
北海道,森町,9-57,森川町,新函館農協森支店附近,42.097339,140.578464
北海道,森町,9-58,森川町,ツルハドラッグ向,42.098143,140.583184
北海道,森町,10-59,姫川,森町児童デイサービスセンター附近,42.078891,140.587551
北海道,森町,10-60,姫川,民家附近,42.073388,140.586821
北海道,森町,11-61,白川,農業集落センター附近,42.08847,140.601241
北海道,森町,11-62,白川,民家附近,42.086511,140.600455
北海道,森町,12-63,上台町,旧森幼稚園附近,42.103291,140.572268
北海道,森町,12-64,上台町,国保病院正面附近,42.102702,140.567772
北海道,森町,12-65,上台町,国保病院裏附近,42.10271,140.566721
北海道,森町,12-66,上台町,JRアパート附近,42.105138,140.574172
北海道,森町,12-67,上台町,渡辺ハイツ附近,42.104211,140.569478
北海道,森町,12-68,上台町,小笠原商店附近,42.105158,140.567327
北海道,森町,12-69,上台町,民家附近,42.105647,140.572692
北海道,森町,12-70,上台町,向整形外科附近,42.104756,140.568513
北海道,森町,13-71,鳥崎町,鳥崎生活改善センター附近,42.105641,140.561576
北海道,森町,13-72,鳥崎町,鳥崎神社附近,42.11111,140.560096
北海道,森町,13-73,鳥崎町,鳥崎公住団地入口附近,42.107767,140.556523
北海道,森町,13-74,鳥崎町,民家附近,42.106597,140.566362
北海道,森町,13-75,鳥崎町,鳥崎団地入口附近,42.109772,140.567134
北海道,森町,13-76,鳥崎町,民家附近,42.109374,140.566093
北海道,森町,13-77,鳥崎町,鳥崎ゲートボール場附近,42.109104,140.563626
北海道,森町,14-78,富士見町,鷲ノ木生活館附近,42.112526,140.5469192
北海道,森町,14-79,富士見町,民家附近,42.112089,140.553841
北海道,森町,14-80,鷲ノ木町,鷲ノ木漁港附近,42.114373,140.545494
北海道,森町,14-81,富士見町,民家附近,42.11228,140.551041
北海道,森町,14-82,鷲ノ木町,民家附近,42.114452,140.543488
北海道,森町,15-83,蛯谷町,石谷消防会館附近,42.134823,140.507739
北海道,森町,15-84,本茅部町,旧石谷駅前附近,42.1357347,140.5070838
北海道,森町,15-85,本茅部町,民家前附近,42.140122,140.503716
北海道,森町,15-86,蛯谷町,石谷小学校入口附近,42.128705,140.514075
北海道,森町,15-87,蛯谷町,函バス蛯谷停留所附近（下り）,42.13176,140.510808
北海道,森町,16-88,石倉町,石倉生活館附近,42.160851,140.47136
北海道,森町,16-89,石倉町,村田商店附近,42.158405,140.474364
北海道,森町,16-90,石倉町,旧石倉小学校前バス停附近,42.15444,140.483385
北海道,森町,17-91,石倉町,石倉西部福祉館附近,42.175136,140.457386
北海道,森町,17-92,石倉町,石倉駅附近,42.173168,140.458625
北海道,森町,17-93,石倉町,民家附近,42.174755,140.45663
北海道,森町,18-94,濁川,濁川活性化センター附近,42.1207396,140.4444307
北海道,森町,18-95,濁川,濁川小学校附近,42.1227284,140.4459893
北海道,森町,18-96,濁川,にこりの湯附近,42.1247973,140.4550496
北海道,森町,20-97,砂原西2丁目,掛澗稲荷神社向,42.12132,140.638272
北海道,森町,20-98,砂原西1丁目,民家横,42.11941,140.634924
北海道,森町,20-99,砂原西1丁目,民家森側向,42.119856,140.631298
北海道,森町,20-100,砂原西1丁目,民家前,42.118073,140.62765
北海道,森町,21-101,砂原西3丁目,掛澗駅前,42.119665,140.646232
北海道,森町,21-102,砂原西3丁目,旧協和鉄工所跡向,42.123946,140.645953
北海道,森町,21-103,砂原西3丁目,砂原婦人会館横,42.122243,140.643743
北海道,森町,21-104,砂原西3丁目,民家前,42.122355,140.641791
北海道,森町,22-105,砂原西4丁目,旧木村商店横,42.128227,140.6596
北海道,森町,22-106,砂原西4丁目,マルセ坂本水産向,42.127639,140.656275
北海道,森町,22-107,砂原西4丁目,民家前,42.126493,140.652155
北海道,森町,22-108,砂原西4丁目,ワイエスフーズ向,42.125347,140.656532
北海道,森町,22-109,砂原西4丁目,民家横,42.125538,140.649837
北海道,森町,22-110,砂原西4丁目,粟野建設作業場向,42.122005,140.652841
北海道,森町,23-111,砂原2丁目,民家前,42.1254984,140.6737306
北海道,森町,23-112,砂原2丁目,民家横,42.123915,140.6731514
北海道,森町,23-113,砂原2丁目,桜田商店横,42.126365,140.669793
北海道,森町,23-114,砂原1丁目,masked,42.125235,140.663313
北海道,森町,23-115,砂原1丁目,度杭崎団地内,42.123946,140.663055
北海道,森町,23-116,砂原1丁目,山内木材工業前,42.127814,140.663098
北海道,森町,23-117,砂原1丁目,とら長向,42.124838,140.66696
北海道,森町,24-118,砂原3丁目,民家向,42.125202,140.682287
北海道,森町,24-119,砂原3丁目,民家横,42.122912,140.682861
北海道,森町,24-120,砂原3丁目,母と子の家前,42.1235687,140.6791862
北海道,森町,24-121,砂原3丁目,民家向,42.125538,140.677453
北海道,森町,25-122,砂原4丁目,民家前,42.126365,140.693761
北海道,森町,25-123,砂原4丁目,民家横,42.125602,140.691186
北海道,森町,25-124,砂原4丁目,民家横,42.122896,140.693353
北海道,森町,25-125,砂原4丁目,民家前,42.123023,140.684663
北海道,森町,25-126,砂原4丁目,民家前,42.124312,140.684985
北海道,森町,26-127,砂原5丁目,民家横,42.1263896,140.6982355
北海道,森町,26-128,砂原5丁目,ダキヤマニシ・スタンド横,42.1262378,140.6969477
北海道,森町,26-129,砂原6丁目,民家前,42.1279803,140.7036958
北海道,森町,26-130,砂原6丁目,茅部清掃車庫前,42.1296673,140.7027845
北海道,森町,26-131,砂原5丁目,彦澗集落センター裏,42.1288638,140.6998231
北海道,森町,26-132,砂原5丁目,民家横,42.1283466,140.6998172
北海道,森町,26-133,砂原5丁目,民家向,42.127265,140.697312
北海道,森町,27-134,砂原東4丁目,民家前,42.111913,140.741
北海道,森町,27-135,砂原東4丁目,民家向,42.1171028,140.7456883
北海道,森町,27-136,砂原東3丁目,民家前,42.1234924,140.73231
北海道,森町,27-137,砂原東3丁目,民家前,42.1215993,140.7365044
