prefecture,city,number,address,name,lat,long
北海道,江別市,1,江別市3条3丁目 17,中央児童公園,43.113361,141.558121
北海道,江別市,2,江別市4条7丁目 1,江別駅前公園東側,43.111526,141.555115
北海道,江別市,3,江別市萩ヶ岡  19,江別小学校跡地,43.110645,141.551971
北海道,江別市,4,江別市萩ヶ岡  8-2,萩ヶ岡児童センター前,43.110275,141.554398
北海道,江別市,5,江別市一番町 13-4,ＮＴＴ東日本江別ビル前,38.913589,139.841965
北海道,江別市,6,江別市萩ヶ岡  21-1,国道１２号３丁目通交差点萩ヶ岡側,43.110645,141.551971
北海道,江別市,7,江別市弥生町 18-4,子育て支援センターすくすく向かい,41.768269,140.70668
北海道,江別市,8,江別市弥生町 41,市道４丁目鉄西線交差点,43.104435,141.546341
北海道,江別市,9,江別市王子  6-1,中央通・学校通交差点,35.760567,139.739197
北海道,江別市,10,江別市王子  12,王子エフテックス保安本部前,43.116161,141.550446
北海道,江別市,11,江別市緑町東2丁目 55-2,消防団北部分団前,43.117329,141.545029
北海道,江別市,12,江別市緑町西2丁目 11,青年センター前,43.116123,141.543884
北海道,江別市,13,江別市若草町  2,３番通３丁目交差点,42.995987,144.37384
北海道,江別市,14,江別市弥生町  9,弥生公園,43.106827,141.541473
北海道,江別市,15,江別市若草町3-39,とだて歯科医院向かい,36.642181,136.949356
北海道,江別市,16,江別市元町  1-1,江別元町地区センター角,43.071121,141.657394
北海道,江別市,17,江別市元町  11-4,５丁目通のメイエール向ヶ丘向かい,41.765366,140.708099
北海道,江別市,18,江別市高砂町  55,５丁目鉄西線角,43.101437,141.541916
北海道,江別市,19,江別市高砂町  6,江別市役所入口,42.543098,140.768936
北海道,江別市,20,江別市高砂町  6,江別市民会館入口,42.543098,140.768936
北海道,江別市,21,江別市向ケ丘  26,旧江別高校グラウンド２番通角,43.104309,141.534744
北海道,江別市,22,江別市幸町  16,ほほじろ公園,43.100494,141.536713
北海道,江別市,23,江別市錦町 15-27,夜間急病センター向かい,38.261395,140.335388
北海道,江別市,24,江別市元江別本町  21,土木事務所入口,43.106129,141.526627
北海道,江別市,25,江別市元江別本町  5,もくれん公園,43.108589,141.531754
北海道,江別市,26,江別市向ケ丘  54,わくわく中央キッズクラブ前,43.105431,141.529785
北海道,江別市,27,江別市錦町  5,錦町公園北側,42.983841,144.382507
北海道,江別市,28,江別市中央町 16-1,消防学校グラウンド新栄通角,36.423237,139.802231
北海道,江別市,29,江別市中央町  38,やまばと公園,43.104359,141.51796
北海道,江別市,30,江別市新栄台  92,北海道農業共済組合研修所,43.106937,141.522385
北海道,江別市,31,江別市新栄台  57,中央中学校入口,43.10585,141.517197
北海道,江別市,32,江別市上江別東町 1-1,草野作工倉庫前,43.109386,141.557159
北海道,江別市,33,江別市上江別西町  12,すみれ公園,43.105656,141.552734
北海道,江別市,34,江別市上江別南町 １−２６,上江別自治会館前,43.106117,141.555984
北海道,江別市,35,江別市上江別西町 ４０,第一中学校入口,43.102993,141.548691
北海道,江別市,36,江別市上江別 ４２７,江南通 道道江別恵庭線交差点,43.100212,141.54715
北海道,江別市,37,江別市上江別 ４１９先,夕鉄バス５丁目通停留所横,43.101562,141.545425
北海道,江別市,38,江別市上江別 ４６４−９先,旧ベイクド・アルル向かい,43.098331,141.539581
北海道,江別市,39,江別市上江別南町 ３,上江別南町公園,43.10516,141.556473
北海道,江別市,40,江別市上江別南町 ２８−６,上江別南町２８番地先,43.101959,141.553787
北海道,江別市,41,江別市上江別東町 ３３,どんぐり公園,43.10569,141.56189
北海道,江別市,42,江別市上江別南町 ２３,くるみ公園,43.102123,141.556107
北海道,江別市,43,江別市ゆめみ野南町 ４,南大通橋,43.10183,141.560638
北海道,江別市,44,江別市ゆめみ野南町 ３１,上江別２号調整池,43.098701,141.564301
北海道,江別市,45,江別市ゆめみ野南町 ９−３,上江別小学校入口,43.099705,141.560287
北海道,江別市,46,江別市ゆめみ野東町 ２１,上江別公園,43.100922,141.566376
北海道,江別市,47,江別市ゆめみ野東町 ３２,みずなら公園,43.098705,141.569244
北海道,江別市,48,江別市東光町 ９,とうこう公園,43.112682,141.567291
北海道,江別市,49,江別市東光町 ２７−７,東光児童センター前,43.110741,141.566605
北海道,江別市,50,江別市東光町 ３１,泉の沼公園角,43.108932,141.567383
北海道,江別市,51,江別市東光町 １０５,かつら公園,43.111637,141.574448
北海道,江別市,52,江別市東光町 ３１,泉の沼公園南側,43.108932,141.567383
北海道,江別市,53,江別市萌えぎ野西 ２６−１,東江別１号調整池,43.112469,141.578156
北海道,江別市,54,江別市朝日町 ２５,江別太小学校前,43.107815,141.578049
北海道,江別市,55,江別市朝日町 ２２,かえで公園,43.106998,141.578766
北海道,江別市,56,江別市朝日町 １１−１２,区画整理記念会館横,39.467857,140.474533
北海道,江別市,57,江別市朝日町 ７,みずき公園,43.107483,141.573288
北海道,江別市,58,江別市あけぼの町 １１,あけぼの団地Ａ−４号棟横,43.101505,141.578415
北海道,江別市,59,江別市萌えぎ野東 １−１,江別太公園,43.106602,141.581741
北海道,江別市,60,江別市江別太 ５４２−２先,江別太本通南２線,43.107655,141.588196
北海道,江別市,61,江別市江別太 １４２,国道１２号 越後村交差点,43.099823,141.603348
北海道,江別市,62,江別市豊幌美咲町 １先,国道１２号 ＪＲ豊幌駅前,43.13588,141.624252
北海道,江別市,63,江別市豊幌花園町 ２３,豊幌公園,43.1301,141.620102
北海道,江別市,64,江別市豊幌花園町 １５,わくわく公園,43.132202,141.62207
北海道,江別市,65,江別市豊幌美咲町 ５６,かわせみ公園,43.131428,141.626541
北海道,江別市,66,江別市豊幌 ４１９,豊幌小学校前,43.127327,141.629547
北海道,江別市,67,江別市豊幌はみんぐ町１６－６,はみんぐ公園,43.137737,141.630463
北海道,江別市,68,江別市豊幌美咲町２３－３２,ふくじゅそう公園,43.134842,141.628326
北海道,江別市,69,江別市豊幌６８６－１０,豊幌地区センター横,43.134308,141.631729
北海道,江別市,70,江別市篠津８０５,北光小学校前,43.134285,141.544647
北海道,江別市,71,江別市美原１３７２,植村登宅斜め向かい,43.140221,141.558441
北海道,江別市,72,江別市美原２２４－３先,美原３１線南８号,43.16766,141.545319
北海道,江別市,73,江別市美原２９２,美原自治会館前,43.158314,141.553833
北海道,江別市,74,江別市美原６９４－１,豊栄会館前,42.771412,140.874619
北海道,江別市,75,江別市篠津５２－１,ＪＡ道央江別営農センター江別資材店前,43.131004,141.546112
北海道,江別市,76,江別市篠津２０７,長沢譲宅前,43.13916,141.518112
北海道,江別市,77,江別市篠津４０１,国道２７５号 篠津自治会館前,43.146568,141.51384
北海道,江別市,78,江別市篠津３７５,篠津第４部落会館横,43.14526,141.527664
北海道,江別市,79,江別市八幡２１先,荒井宅向かい,36.318577,140.049866
北海道,江別市,80,江別市八幡１０４－３,八幡自治会館前,43.162792,141.483337
北海道,江別市,81,江別市見晴台１７－１,対雁小学校体育館入口,43.111897,141.524002
北海道,江別市,82,江別市見晴台４２,ぎんなん公園,43.10918,141.523193
北海道,江別市,83,江別市見晴台８２,るんるん公園,43.1115,141.517197
北海道,江別市,84,江別市見晴台１００,いきいき公園,43.115459,141.516373
