prefecture,city,number,address,name,lat,long,note
北海道,清里町,1-1,羽衣町10番1,清里町役場前,43.831352,144.592941,緯度経度は怪しい
北海道,清里町,1-2,羽衣町14番2,地域資源活用交流促進施設前,43.831352,144.592941,緯度経度は怪しい
北海道,清里町,1-3,水元町8番3,道道摩周湖斜里線・水元5条通り交差点付近,43.842419,144.597809,緯度経度は怪しい
北海道,清里町,1-4,羽衣町47番1,農協機械センター前,43.831352,144.592941,緯度経度は怪しい
北海道,清里町,1-5,羽衣町42番1,3線道路・16号道路交差点付近,43.831352,144.592941,緯度経度は怪しい
北海道,清里町,1-6,字向陽941番1,道道向陽清里停線・1線道路交差点付近,43.825737,144.618164,緯度経度は怪しい
北海道,清里町,1-7,字上斜里274番3,旧上斜里地区総合地域施設跡地前,43.846275,144.577606,緯度経度は怪しい
北海道,清里町,1-8,字上斜里493番1,上斜里会館前,43.846275,144.577606,緯度経度は怪しい
北海道,清里町,1-9,字神威91番地先,東萱野会館前,43.812099,144.535843,緯度経度は怪しい
北海道,清里町,1-10,字江南263番1,江南総合研修センター前,43.786732,144.593246,緯度経度は怪しい
北海道,清里町,1-11,字江南370番1,道道江南清里停線・1線道路交差点付近,43.786732,144.593246,緯度経度は怪しい
北海道,清里町,2-12,札弦町9番5,札弦駐在所横,43.774597,144.522781,緯度経度は怪しい
北海道,清里町,2-13,札弦町323番地先,川向道路・工場通り交差点付近,43.774597,144.522781,緯度経度は怪しい
北海道,清里町,2-14,字神威1078番4地先,道道清里止別線・神威南道路交差点付近,43.812099,144.535843,緯度経度は怪しい
北海道,清里町,2-15,字神威787番2地先,神威地区研修集会施設前,43.812099,144.535843,緯度経度は怪しい
北海道,清里町,2-16,字神威547番2地先,道道清里止別線・20号道路交差点付近,43.812099,144.535843,緯度経度は怪しい
北海道,清里町,3-17,緑町9番3,道道摩周湖斜里線・緑駅前通り交差点付近,43.714394,144.507919,緯度経度は怪しい
北海道,清里町,3-18,緑町26番46,緑温泉東側向かい町有地,43.714394,144.507919,緯度経度は怪しい
北海道,清里町,3-19,緑町14番1,旧緑町小学校教員住宅横,43.714394,144.507919,緯度経度は怪しい
北海道,清里町,3-20,字青葉119番1地先,青葉会館前,43.733349,144.508286,緯度経度は怪しい
