prefecture,city,number,address,name,lat,long,note
北海道,湧別町,1,登栄床,中番屋会館前,44.194996,143.72699,緯度経度は怪しい
北海道,湧別町,2,登栄床,登栄床地区防災センター前,44.194996,143.72699,緯度経度は怪しい
北海道,湧別町,3,信部内・緑蔭,信部内地区会館前,44.227146,143.532516,緯度経度は怪しい
北海道,湧別町,4,上芭露,上芭露郵便局道路向かい,44.095634,143.640671,緯度経度は怪しい
北海道,湧別町,5,東芭露,上芭露地区公民館前,44.028458,143.643661,緯度経度は怪しい
北海道,湧別町,6,西芭露,東芭露地区公民館前,44.041882,143.588913,緯度経度は怪しい
北海道,湧別町,7,西芭露,西芭露ふるさとセンター前,44.041882,143.588913,緯度経度は怪しい
北海道,湧別町,8,志撫子,町道志撫子 畑田宅前,44.087173,143.688538,緯度経度は怪しい
北海道,湧別町,9,計呂地,町道志撫子地区公民館前,44.065533,143.718033,緯度経度は怪しい
北海道,湧別町,10,計呂地,旧計呂地地区公民館跡地前,44.065533,143.718033,緯度経度は怪しい
北海道,湧別町,11,北兵村三区,川西会館前,44.193802,143.610321,緯度経度は怪しい
北海道,湧別町,12,中湧別北町,北町 旧井上木材㈱横,44.191746,143.591309,緯度経度は怪しい
北海道,湧別町,13,中湧別中町,旧上湧別町商工会館跡地向かい,44.185921,143.595337,緯度経度は怪しい
北海道,湧別町,14,中湧別東町,泉団地入口,44.184204,143.598251,緯度経度は怪しい
北海道,湧別町,15,中湧別東町,文化センターＴＯＭ前,44.184204,143.598251,緯度経度は怪しい
北海道,湧別町,16,中湧別東町,アサヒ食品工業㈱横,44.184204,143.598251,緯度経度は怪しい
北海道,湧別町,17,中湧別南町,興農セラミックス㈱倉庫前,44.185001,143.584351,緯度経度は怪しい
北海道,湧別町,18,北兵村一区,旧よかり幼稚園前,44.167965,143.580734,緯度経度は怪しい
北海道,湧別町,19,北兵村一区,１０号線 町職員住宅前,44.167965,143.580734,緯度経度は怪しい
北海道,湧別町,20,北兵村一区,社会福祉会館前,44.167965,143.580734,緯度経度は怪しい
北海道,湧別町,21,北兵村一区,５の１中通入口横（国道２４２号線）,44.167965,143.580734,緯度経度は怪しい
北海道,湧別町,22,上湧別屯田市街地,湧別町役場上湧別庁舎前,44.147461,143.581879,緯度経度は怪しい
北海道,湧別町,23,南兵村三区,上湧別農村環境改善センター前,44.147938,143.552658,緯度経度は怪しい
北海道,湧別町,24,南兵村二区,４の３会館横,44.128887,143.575211,緯度経度は怪しい
北海道,湧別町,25,南兵村一区,４の２バス停留所横,44.11084,143.568024,緯度経度は怪しい
北海道,湧別町,26,札富美,４の１会館向かい,44.175735,143.534073,緯度経度は怪しい
北海道,湧別町,27,上富美,共栄の沢バス停留所横,44.110691,143.45224,緯度経度は怪しい
