prefecture,city,number,address,name,lat,long,note
北海道,湧別町,28,,旧計呂地地区公民館跡地前,44.10724,143.72931,
北海道,湧別町,29,,川西会館前,44.2001773,143.5871623,
北海道,湧別町,30,,５の３公民館前,44.1956518,143.6101109,
北海道,湧別町,31,,旭西３線と８号線交差点横,44.1956535,143.579906,
北海道,湧別町,32,,北町　旧井上木材㈱横,44.1837552,143.5976644,
北海道,湧別町,33,,旧上湧別町商工会館跡地向かい,44.1809063,143.5957815,
北海道,湧別町,34,,泉団地入口,44.1843416,143.5899432,
北海道,湧別町,35,,文化センターＴＯＭ前,44.1778561,143.6013253,
北海道,湧別町,36,,アサヒ食品工業㈱横,44.1845597,143.6064489,
北海道,湧別町,37,,興農セラミックス㈱倉庫前,44.1744707,143.5971739,
北海道,湧別町,38,,旧みのり幼稚園前,44.1768265,143.5914432,
北海道,湧別町,39,,１０号線　町職員住宅前,44.1693515,143.5978386,
北海道,湧別町,40,,社会福祉会館前,44.1640163,143.5946498,
北海道,湧別町,41,,５の１中通入口横（国道２４２号線）,44.1546559,143.5838342,
北海道,湧別町,42,,湧別町役場上湧別庁舎前,44.1445958,143.5735314,
北海道,湧別町,43,,上湧別農村環境改善センター前,44.1383904,143.560147,
北海道,湧別町,44,,４の３会館横,44.1308155,143.548658,
北海道,湧別町,45,,４の２バス停留所横,44.127336,143.5652932,
北海道,湧別町,46,,４の１会館向かい,44.1174618,143.5556598,
北海道,湧別町,47,,２８号線バス停留所横,44.1048903,143.5326715,
北海道,湧別町,48,,開盛住民センター前,44.0957684,143.540218,
北海道,湧別町,49,,富美地区住民センター前,44.1401938,143.5108105,
北海道,湧別町,50,,共栄の沢バス停留所横,44.117755,143.4694025,
