prefecture,city,number,address,name,lat,long,note
北海道,滝川市,1-1,滝川第一小学校前,滝川第一小学校前,43.584087,141.918579,緯度経度は怪しい
北海道,滝川市,1-2,水源公園前,水源公園前,43.557777,141.91037,緯度経度は怪しい
北海道,滝川市,1-3,一の坂町西3丁目7番(今村宅向),一の坂町西３丁目７番（今村宅向）,43.5672,141.908768,緯度経度は怪しい
北海道,滝川市,1-4,サニ-ハイツ前(幸町3丁目2番),サニーハイツ前（幸町３丁目２番）,43.557777,141.91037,緯度経度は怪しい
北海道,滝川市,1-5,JRアパ-ト前,JRアパート前,43.557777,141.91037,緯度経度は怪しい
北海道,滝川市,1-6,松庫公園前,松庫公園前,43.557777,141.91037,緯度経度は怪しい
北海道,滝川市,1-7,滝川第一小学校グラウンド西側,滝川第一小学校グラウンド西側,43.584087,141.918579,緯度経度は怪しい
北海道,滝川市,2-1,滝川第二小学校前(市道),滝川第二小学校前（市道）,43.584087,141.918579,緯度経度は怪しい
北海道,滝川市,2-2,スポ-ツセンタ-第2体育館入口(左側),滝川市スポーツセンター第２体育館入口（左側）,43.557777,141.91037,緯度経度は怪しい
北海道,滝川市,2-3,滝の川町東2丁目(国道沿・鉄塔横),滝の川町東2丁目（国道沿・鉄塔横）,43.583389,141.92691,緯度経度は怪しい
北海道,滝川市,2-4,はるにれ公園前,はるにれ公園前,43.557777,141.91037,緯度経度は怪しい
北海道,滝川市,2-5,北地区コミュニティセンタ-前,北地区コミュニティセンター前,43.59285,141.944992,緯度経度は怪しい
北海道,滝川市,2-6,東2号通東4丁目交差点,東２号通東４丁目交差点,43.579884,141.975311,緯度経度は怪しい
北海道,滝川市,2-7,東2号通東3丁目交差点,東２号通東３丁目交差点,43.579884,141.975311,緯度経度は怪しい
北海道,滝川市,2-8,西4会館横,西４会館横,43.593742,141.891769,緯度経度は怪しい
北海道,滝川市,3-1,花月地区児童センタ-前,滝川市花月地区児童センター前,43.551643,141.903229,緯度経度は怪しい
北海道,滝川市,3-2,ホテルスエヒロ向側駐車場(北側),ホテルスエヒロ向側駐車場（北側）,43.557777,141.91037,緯度経度は怪しい
北海道,滝川市,3-3,中島公園北側,中島公園北側,43.541344,141.894989,緯度経度は怪しい
北海道,滝川市,3-4,空知町1丁目2番(長谷川宅横),空知町１丁目２番（長谷川宅横）,43.5509402,141.9095609,
北海道,滝川市,3-5,ロ-タスバレ-西側(栄町1丁目10番),ロータスバレー西側（栄町１丁目１０番）,43.557777,141.91037,緯度経度は怪しい
北海道,滝川市,3-6,啓南団地入口,啓南団地入口,43.557777,141.91037,緯度経度は怪しい
北海道,滝川市,3-7,神部クリニック駐車場南側,神部クリニック駐車場南側,43.557777,141.91037,緯度経度は怪しい
北海道,滝川市,4-1,東滝川地区転作研修センタ-前,東滝川地区転作研修センター前,43.579884,141.975311,緯度経度は怪しい
北海道,滝川市,4-2,ほろくら広場前,ほろくら広場前,43.557777,141.91037,緯度経度は怪しい
北海道,滝川市,4-3,地方独立行政法人花・野菜技術センタ-入口,地方独立行政法人花・野菜技術センター入口,43.557777,141.91037,緯度経度は怪しい
北海道,滝川市,4-4,東栄団地児童遊園,東栄団地児童遊園,43.579884,141.975311,緯度経度は怪しい
北海道,滝川市,4-5,こすもす公園前,こすもす公園前,43.557777,141.91037,緯度経度は怪しい
北海道,滝川市,5-1,役所前(北側),滝川市役所前（北側）,43.557777,141.91037,緯度経度は怪しい
北海道,滝川市,5-2,本町児童公園(西側),本町児童公園（西側）,43.558979,141.905884,緯度経度は怪しい
北海道,滝川市,5-3,本町3丁目4番　雨竜園職員駐車場南側,本町３丁目４番　雨竜園職員駐車場南側,43.561207,141.90715,緯度経度は怪しい
北海道,滝川市,5-4,大町地区児童センタ-横,大町地区児童センター横,43.557487,141.911667,緯度経度は怪しい
北海道,滝川市,5-5,DAISO滝川本店駐車場前(南側),DAISO滝川本店駐車場前(南側）,43.557777,141.91037,緯度経度は怪しい
北海道,滝川市,5-6,大町4丁目8番南側(ベルコ東側),大町４丁目８番南側（ベルコ東側）,43.5600292,141.9153883,
北海道,滝川市,5-7,北門信用金庫駐車場,北門信用金庫駐車場,43.59285,141.944992,緯度経度は怪しい
北海道,滝川市,6-1,江陵中学校前(東側),江陵中学校前（東側）,43.636463,141.96788,緯度経度は怪しい
北海道,滝川市,6-2,江陵団地入口(自衛隊正門前バス停横),江陵団地入口（自衛隊正門前バス停横）,43.636463,141.96788,緯度経度は怪しい
北海道,滝川市,6-3,黄金町東1丁目1番(縄手宅南側),黄金町東１丁目１番（縄手宅南側）,43.572695,141.916515,
北海道,滝川市,6-4,黄金町西2丁目2番(札幌日産滝川店横),黄金町西２丁目２番（札幌日産滝川店横）,43.574903,141.916434,
北海道,滝川市,6-5,みずほ児童遊園前,みずほ児童遊園前,43.557777,141.91037,緯度経度は怪しい
北海道,滝川市,6-6,ぷらたなす公園前,ぷらたなす公園前,43.557777,141.91037,緯度経度は怪しい
北海道,滝川市,6-7,旧北炭�椛齔�工場跡地横,旧北炭�椛齔�工場跡地横,43.557777,141.91037,緯度経度は怪しい
北海道,滝川市,7-1,西小学校前(西側),西小学校前（西側）,43.593742,141.891769,緯度経度は怪しい
北海道,滝川市,7-2,扇町児童公園(東側),扇町児童公園（東側）,43.564369,141.890335,緯度経度は怪しい
北海道,滝川市,7-3,しらかば公園前,しらかば公園前,43.557777,141.91037,緯度経度は怪しい
北海道,滝川市,7-4,開西公園前,開西公園前,43.557777,141.91037,緯度経度は怪しい
北海道,滝川市,7-5,開西中学校前(西側),開西中学校前（西側）,43.557777,141.91037,緯度経度は怪しい
北海道,滝川市,7-6,西町8丁目7番(たつみ商店向),西町８丁目７番（たつみ商店向）,43.5684481,141.8947664,
北海道,滝川市,7-7,西町8丁目5番(北電しぶき寮前),西町８丁目５番（北電しぶき寮前）,43.5661565,141.8938645,
北海道,滝川市,8-1,東地区コミュニティセンタ-,東地区コミュニティセンター,43.579884,141.975311,緯度経度は怪しい
北海道,滝川市,8-2,旧滝川市コミュニティ防災センタ-前,旧滝川市コミュニティ防災センター前,43.557777,141.91037,緯度経度は怪しい
北海道,滝川市,8-3,空知興産�鞄倦､(官庁通り沿),空知興産�鞄倦､（官庁通り沿）,43.548996,141.906342,緯度経度は怪しい
北海道,滝川市,8-4,緑町公園,緑町公園,43.55608,141.917191,緯度経度は怪しい
北海道,滝川市,8-5,DAISO滝川バイパス店駐車場横　一丁目通り沿,DAISO滝川バイパス店駐車場横　一丁目通り沿,43.557777,141.91037,緯度経度は怪しい
北海道,滝川市,8-6,もみじ公園前,もみじ公園前,43.557777,141.91037,緯度経度は怪しい
北海道,滝川市,8-7,東町団地横(東二号通沿),東町団地横（東二号通沿）,43.557987,141.942566,緯度経度は怪しい
北海道,滝川市,9-1,滝川テクニカルセンタ-前(門左側),滝川テクニカルセンター前（門左側）,43.584087,141.918579,緯度経度は怪しい
北海道,滝川市,9-2,�叶V谷組滝川機材センタ-入口,�叶V谷組滝川機材センター入口,43.557777,141.91037,緯度経度は怪しい
北海道,滝川市,9-3,泉町2丁目15番(1丁目通沿),泉町２丁目１５番（１丁目通沿）,43.574448,141.8871,緯度経度は怪しい
北海道,滝川市,9-4,泉町団地横,泉町団地横,43.576447,141.896561,緯度経度は怪しい
北海道,滝川市,9-5,泉町1丁目19番角(宮崎宅向),泉町１丁目１９番角（宮崎宅向）,43.5720731,141.8872585,
北海道,滝川市,9-6,泉町1丁目6番(高橋宅横),泉町１丁目６番（高橋宅横）,43.57101060000001,141.8937657,
