prefecture,city,number,address,name,lat,long,note
北海道,蘭越町,1,７５９番地あけぼの団地入口,あけぼの団地入口,42.8091742,140.5283121,
北海道,蘭越町,2,２５８番地５蘭越町役場前,蘭越町役場前,42.8091573,140.5283537,
北海道,蘭越町,3,４３番地１蘭越町民センターらぶちゃんホール前,蘭越町民センターらぶちゃんホール前,42.80536499999999,140.528973,
北海道,蘭越町,4,５８６番地緑ヶ丘団地入口,緑ヶ丘団地入口,42.8041129,140.5420847,
北海道,蘭越町,5,８０番地ほう龍前,ほう龍前,42.8076977,140.5300979,
北海道,蘭越町,6,５３０番地高橋畳店前,高橋畳店前,42.8023521,140.5274779,
北海道,蘭越町,7,字豊園１６３番地豊国上地区集会所前,豊国上地区集会所前,42.8252861,140.5492509,
北海道,蘭越町,8,字大谷３５７番地１大谷団地入口,大谷団地入口,42.7998041,140.5115973,
北海道,蘭越町,9,字大谷２３番地国道・道道分岐点,国道・道道分岐点,42.79924339999999,140.4914086,
北海道,蘭越町,10,字富岡４１９番地３蘭越町克雪管理センター前,蘭越町克雪管理センター前,42.8349807,140.5283498,
北海道,蘭越町,11,昆布町１１４番地４昆布活性化センター前,昆布活性化センター前,42.7985462,140.5953854,
北海道,蘭越町,12,昆布町４４５番地昆布西地区集会所前,昆布西地区集会所前,42.8015597,140.5822215,
北海道,蘭越町,13,昆布町１１５番地９渓流堂前,渓流堂前,42.7968886,140.598761,
北海道,蘭越町,14,字黄金１３３番地黄金地区集会所前,黄金地区集会所前,42.8035818,140.6050454,
北海道,蘭越町,15,字立川８８番地奈良崎宅前,奈良崎宅前,42.7338289,140.5487188,緯度経度は怪しい
北海道,蘭越町,16,字湯里１４２番地５ハイグレードヴィラ管理事務所入口,ハイグレードヴィラ管理事務所入口,42.8219225,140.6091771,緯度経度は怪しい
北海道,蘭越町,17,字湯里２０２番地湯里地区集会所前,湯里地区集会所前,42.8245959,140.6219294,緯度経度は怪しい
北海道,蘭越町,18,字日出１００番地６日出ふれあいセンター前,日出ふれあいセンター前,42.82029,140.6008,緯度経度は怪しい
北海道,蘭越町,19,字吉国１４４番地丸田商店前,丸田商店前,42.836005,140.491955,
北海道,蘭越町,20,字三和４１４番地１三和コミュニティ会館ほたるの里前,三和コミュニティ会館ほたるの里前,42.8303929,140.4837135,
北海道,蘭越町,21,字三和５９６番地三和下地区集会所,三和下地区集会所,42.8214133,140.4642899,
北海道,蘭越町,22,字上里１０３７番地１蘭越町育苗施設前,蘭越町育苗施設前,42.8404506,140.4735386,緯度経度は怪しい
北海道,蘭越町,23,字共栄１６２番地共栄農事組合研修センター前,共栄農事組合研修センター前,42.832456,140.3952561,
北海道,蘭越町,24,名駒町２１０番地名駒地区生活改善センター前,名駒地区生活改善センター前,42.815361,140.447879,
北海道,蘭越町,25,名駒町６９番地三浦宅前（トンカラ）,三浦宅前（トンカラ）,42.8186361,140.4378002,
北海道,蘭越町,26,字清水３６番地清水地区集会所前,清水地区集会所前,42.8021517,140.4432828,緯度経度は怪しい
北海道,蘭越町,27,字鮎川２７３番地３鮎川地区集会所前,鮎川地区集会所前,42.7950318,140.4449935,
北海道,蘭越町,28,目名町３９３番地目名地区生活改善センタ一前,目名地区生活改善センタ一前,42.76089260000001,140.4623581,
北海道,蘭越町,29,目名町３０２番地内藤商店前（旧農協目名事業所前）,内藤商店前（旧農協目名事業所前）,42.7619242,140.4649468,
北海道,蘭越町,30,目名町１１６番地共有地区集会所前,共有地区集会所前,42.7699037,140.4604637,
北海道,蘭越町,31,字相生２６３番地相生３地区集会所前,相生３地区集会所前,42.7607631,140.4789233,緯度経度は怪しい
北海道,蘭越町,32,字三笠２９番地田辺宅前,田辺宅前,42.7762955,140.4421084,緯度経度は怪しい
北海道,蘭越町,33,字田下８２番地田下地区集会所前,田下地区集会所前,42.738515,140.4389667,
北海道,蘭越町,34,字貝川町道三笠貝川線終点 町道記念通り下賀老貝川線起点,町道三笠貝川線終点 町道記念通り下賀老貝川線起点,42.7498757,140.4292731,
北海道,蘭越町,35,字御成４２３番地御成地区生活改善センタ一前,御成地区生活改善センタ一前,42.8475997,140.4091306,
北海道,蘭越町,36,字御成１６４番地御成１地区集会所前,御成１地区集会所前,42.8416447,140.4164106,
北海道,蘭越町,37,字初田２４８番地２初田地区集会所前,初田地区集会所前,42.855297,140.4035987,緯度経度は怪しい
北海道,蘭越町,38,港町６１７番地介護予防拠点センター みなと前,介護予防拠点センター みなと前,42.8768067,140.3685304,
北海道,蘭越町,39,港町１０２番地永澤商店前,永澤商店前,42.876374,140.363925,
北海道,蘭越町,40,港町４２２番地丸山宅前,丸山宅前,42.8662516,140.3727462,
