prefecture,city,number,address,name,lat,long,note
北海道,豊浦町,1,旭町44－2,消防入口,42.586311,140.680848,
北海道,豊浦町,2,東雲町16－1,国保病院前,42.582883,140.716026,
北海道,豊浦町,3,東雲町66－2,中央公民館前,42.590416,140.68691,
北海道,豊浦町,4,船見町95－1,町民テニスコート入口,42.58611,140.716986,
北海道,豊浦町,5,船見町103－14,ウインザーホテル社員寮前,42.574722,140.75582,
北海道,豊浦町,6,船見町82－2,忠魂碑入口,42.5856284,140.7122163,
北海道,豊浦町,7,東雲町49－1,masked,42.5852633,140.730674,
北海道,豊浦町,8,東雲町130－6,朝日台子供会館前,42.581108,140.723158,
北海道,豊浦町,9,桜206－3,桜公民館前,42.60665,140.687877,
北海道,豊浦町,10,大和138－2,大和多目的集会所前,42.644026,140.733361,
北海道,豊浦町,11,美和117－26,美和公民館前,42.654637,140.715038,
北海道,豊浦町,12,山梨217－2,山梨公民館前,42.584501,140.711569,
北海道,豊浦町,13,新山梨408－5先,旧新山梨小学校入口,42.638449,140.667989,
北海道,豊浦町,14,新富700－3,新富へき地保健福祉館入口,42.669182,140.586586,
北海道,豊浦町,15,大岸166－11,大岸福祉の家前,42.587632,140.638575,
北海道,豊浦町,16,大岸97－59,いきいきセンター前,42.585498,140.67966,
北海道,豊浦町,17,大岸97－5,大岸小学校入口横,42.615322,140.63572,
北海道,豊浦町,18,豊泉136－15,旧幸豊園前,42.594093,140.647336,
北海道,豊浦町,19,大岸444－2,旧大岸小学校鉱山分校入口,42.594333,140.644657,
北海道,豊浦町,20,礼文華156－1,礼文華生活館前,42.57806,140.596531,
北海道,豊浦町,21,礼文華734,踏切付近防火水槽前,42.576406,140.601332,
北海道,豊浦町,22,礼文華162－14,礼文駅前停留所横,42.588368,140.590898,
北海道,豊浦町,23,浜町109,しおさい前,42.584338,140.705799,
北海道,豊浦町,24,船見町10,役場前,42.583421,140.711808,
北海道,豊浦町,25,旭町2－1,豊浦駅前,42.64161,140.647775,
北海道,豊浦町,26,海岸町51－1,海岸町福祉の家前,42.583183,140.715845,
北海道,豊浦町,27,海岸町10－3,masked,42.588393,140.719927,
北海道,豊浦町,28,幸町87－55,とわに一前,42.610737,140.653563,
北海道,豊浦町,29,浜町17－18,ふるさとドーム前,42.587146,140.701981,
北海道,豊浦町,30,高岡3－6,浜高岡入口,42.606833,140.673954,
