prefecture,city,number,address,name,lat,long,note
北海道,豊頃町,1-1,,豊頃町役場,42.8010504,143.5058522,
北海道,豊頃町,1-2,,下農野牛集会所,42.80862529597,143.47234725952,
北海道,豊頃町,1-3,,礼作別集会所,42.820336190453,143.45741271973,
北海道,豊頃町,1-4,,農野牛老人憩の家,42.8056458,143.4100727,
北海道,豊頃町,1-5,,牛首別線栄町交点,42.795778539207,143.5120010376,
北海道,豊頃町,1-6,,牛首別集会所,42.786456673488,143.49294662476,
北海道,豊頃町,1-7,,茂岩南区会館,42.766422510184,143.52633476257,
北海道,豊頃町,1-8,,旅来酪農センター,42.7261805,143.5886528,
北海道,豊頃町,2-1,,二宮構造改善センター,42.7691325,143.4416229,
北海道,豊頃町,2-2,,二宮東区会館,42.766233477782,143.4553527832,
北海道,豊頃町,2-3,,二宮西区会館前,42.7362043,143.4140486,
北海道,豊頃町,2-4,,湧洞酪農センター,42.659716662226,143.48972797394,
北海道,豊頃町,3-1,,統内生活センター国道入口,42.843814258248,143.4538936615,
北海道,豊頃町,3-2,,平和近隣センター,42.852435330485,143.42582702637,
北海道,豊頃町,3-3,,二里塚集会所,42.860300222541,143.43861579895,
北海道,豊頃町,4-1,,十弗農業センター,42.856534,143.500783,
北海道,豊頃町,4-2,,礼文内コミュニティセンター,42.8534347,143.5081527,
北海道,豊頃町,4-3,,十弗入口道道利別牛首別線交点,42.852435330485,143.4948348999,
北海道,豊頃町,4-4,,十弗西区会館,42.8472754,143.4978728,
北海道,豊頃町,5-1,,豊頃地域コミュニティセンター,42.8174042,143.5378104,
北海道,豊頃町,5-2,,旧豊頃小学校前,42.8145754,143.5202904,
北海道,豊頃町,5-3,,豊頃消防団,42.815771723814,143.53950977325,
北海道,豊頃町,5-4,,豊頃会館,42.816432805365,143.56023788452,
北海道,豊頃町,5-5,,町道豊頃中央線・国道38号交点,42.813221771632,143.54084014893,
北海道,豊頃町,5-6,,上幌岡会館,42.800438945566,143.53697776794,
北海道,豊頃町,6-1,,豊頃小学校国道入口,42.8145754,143.5202904,
北海道,豊頃町,6-2,,旧豊頃中学校,42.8126152,143.5172687,
北海道,豊頃町,6-3,,中央区児童公園,42.811742,143.5228866,
北海道,豊頃町,7-1,,大津地域コミュニティセンター,42.687031,143.649027,
北海道,豊頃町,7-2,,十勝発祥の地碑,42.6831009,143.6465983,
北海道,豊頃町,7-3,,開村50年記念碑,42.6879582,143.652284,
北海道,豊頃町,7-4,,長節酪農センター,42.675385,143.5822122,
