prefecture,city,number,address,name,lat,long
北海道,遠軽町,1,遠軽町大通北1丁目,北洋銀行遠軽支店横,44.0596888,143.5241594
北海道,遠軽町,2,遠軽町大通南1丁目,北海道新聞販売店前,44.0583471,143.5231876
北海道,遠軽町,3,遠軽町2条通北1丁目,道道遠軽芭露線と２条通交点,44.0576416,143.530144
北海道,遠軽町,4,遠軽町大通南1丁目,遠軽信用金庫本店横,44.0583471,143.5231876
北海道,遠軽町,5,遠軽町岩見通南1丁目,芸術文化交流プラザ駐車場,44.0586291,143.520405
北海道,遠軽町,6,遠軽町宮前町,宮前町林宅向かい,44.0582754,143.5167886
北海道,遠軽町,7,遠軽町西町1丁目,旧高齢者センター前,44.0572859,143.5123387
北海道,遠軽町,8,遠軽町西町1丁目,にし児童館前,44.0572859,143.5123387
北海道,遠軽町,9,遠軽町西町2丁目,瀧本皮膚科クリニック横,44.0533313,143.5087291
北海道,遠軽町,10,遠軽町西町2丁目,旧遠軽小学校前,44.0533313,143.5087291
北海道,遠軽町,11,遠軽町西町2丁目,西町住民センター向かい,44.0533313,143.5087291
北海道,遠軽町,12,遠軽町清川,４０号と清川西２線交点,44.0338423,143.4879091
北海道,遠軽町,13,遠軽町清川,清川会館前,44.0338423,143.4879091
北海道,遠軽町,14,遠軽町大通北5丁目,遠軽中学校横,44.0654088,143.5281161
北海道,遠軽町,15,遠軽町岩見通北４丁目,岩見通北４丁目,44.0644197,143.5236654
北海道,遠軽町,16,遠軽町１条通北3丁目,遠軽町役場緑地前,44.0613838,143.5287478
北海道,遠軽町,17,遠軽町2条通北5丁目,北５丁目通と２条通交点,44.0627962,143.5361192
北海道,遠軽町,18,遠軽町南町1丁目,遠軽高校テニスコート前,44.0523463,143.5255613
北海道,遠軽町,19,遠軽町南町3丁目,福路入口，田沢宅横,44.0488165,143.5248711
北海道,遠軽町,20,遠軽町南町3丁目,南小学校前,44.0488165,143.5248711
北海道,遠軽町,21,遠軽町南町3丁目,南町３丁目１１号通,44.0488165,143.5248711
北海道,遠軽町,22,遠軽町福路1丁目,みなみ公園前,44.0495214,143.5179159
北海道,遠軽町,23,遠軽町学田1丁目,学田第１児童公園前,44.0781916,143.5192608
北海道,遠軽町,24,遠軽町大通北10丁目,ツルハドラッグ遠軽店前,44.0732484,143.5324886
北海道,遠軽町,25,遠軽町大通北11丁目,遠軽雄武線と国道交点,44.0745905,143.533461
北海道,遠軽町,26,遠軽町大通北9丁目,旧遠軽魚菜卸売市場前,44.0719064,143.5315163
北海道,遠軽町,27,遠軽町岩見通北8丁目,学田住民センター向かい,44.071341,143.5264381
北海道,遠軽町,28,遠軽町丸大,丸大井上宅向かい,44.0688665,143.5117617
北海道,遠軽町,29,遠軽町見晴,見晴会館前,44.0490821,143.4795273
北海道,遠軽町,30,遠軽町社名淵,社名淵伯谷宅向かい,44.0744839,143.4560795
北海道,遠軽町,31,遠軽町寿町,岩橋モータース前,44.0392168,143.5201578
北海道,遠軽町,32,遠軽町豊里,旧出口商店前,44.0265164,143.5318548
北海道,遠軽町,33,遠軽町豊里,豊里公営住宅入口,44.0265164,143.5318548
北海道,遠軽町,34,遠軽町豊里,４０号と東１線交点,44.0265164,143.5318548
北海道,遠軽町,35,遠軽町向遠軽,自衛隊駐屯地前,44.046837,143.5585277
北海道,遠軽町,36,遠軽町東町2丁目,基幹集落センター前,44.0531937,143.5384954
北海道,遠軽町,37,遠軽町東町2丁目,東１線第２号橋,44.0531937,143.5384954
北海道,遠軽町,38,遠軽町東町3丁目,春雨橋前,44.0488169,143.5390568
北海道,遠軽町,39,遠軽町野上,野上会館前,44.062027,143.5279742
北海道,遠軽町,40,遠軽町瀬戸瀬東町,旧瀬戸瀬総合庁舎前,44.007835,143.4318244
北海道,遠軽町,41,遠軽町栄野,栄野会館前,44.0309703,143.4306267
北海道,遠軽町,42,遠軽町湯の里,湯の里会館前,43.9621601,143.4286619
北海道,遠軽町,43,遠軽町生田原,熊沢広正宅向かい,43.9430618,143.5042231
北海道,遠軽町,44,遠軽町生田原,生田原中央広場前,43.9430618,143.5042231
北海道,遠軽町,45,遠軽町生田原,渡辺正和宅向かい,43.9430618,143.5042231
北海道,遠軽町,46,遠軽町生田原,生田原福祉センター前,43.9430618,143.5042231
北海道,遠軽町,47,遠軽町生田原,大辻祐一宅前,43.9430618,143.5042231
北海道,遠軽町,48,遠軽町生田原,岩戸浩征宅前,43.9430618,143.5042231
北海道,遠軽町,49,遠軽町生田原,かぜる西前,43.9430618,143.5042231
北海道,遠軽町,50,遠軽町生田原八重,八重会館前,43.8755252,143.5475847
北海道,遠軽町,51,遠軽町生田原伊吹,プライムいくたはら前,43.8732464,143.4567154
北海道,遠軽町,52,遠軽町生田原清里,旧清里生活改善センター前,43.8316664,143.4712464
北海道,遠軽町,53,遠軽町生田原水穂,旧水穂生活改善センター向かい,44.0107142,143.5174249
北海道,遠軽町,54,遠軽町生田原安国,旧安国老人憩いの家前,43.9892759,143.5019056
北海道,遠軽町,55,遠軽町生田原安国,かぜる安国前,43.9892759,143.5019056
北海道,遠軽町,56,遠軽町生田原安国,安国栄行団地入口,43.9892759,143.5019056
北海道,遠軽町,57,遠軽町丸瀬布東町,前川正宅横,44.0103609,143.3415919
北海道,遠軽町,58,遠軽町丸瀬布東町,越後屋旅館駐車場前,44.0103609,143.3415919
北海道,遠軽町,59,遠軽町丸瀬布中町,木暮商店向かい,44.0047781,143.3362718
北海道,遠軽町,60,遠軽町丸瀬布水谷町,中央公民館,44.0127202,143.3250312
北海道,遠軽町,61,遠軽町丸瀬布天神町,水谷五差路,44.010373,143.29056
北海道,遠軽町,62,遠軽町丸瀬布新町,旧村松鉄工車両前,43.9992278,143.3451314
