prefecture,city,number,address,name,lat,long,note
北海道,釧路町,1-1,別保1丁目1番地,役場庁舎敷地(掲示板横植樹枡),42.99585, 144.46599,目視で確認済み
北海道,釧路町,1-2,別保1丁目98番地,旧役場庁舎敷地,42.99508, 144.46932,目視で確認済み
北海道,釧路町,1-3,別保4丁目39番地5地先,町道別保双河辺線敷地(五月橋詰),42.99356, 144.47386,目視で確認済み
北海道,釧路町,1-4,別保5丁目11番地,旧職員住宅敷地,42.9933, 144.46619,目視で確認済み
北海道,釧路町,1-5,別保7丁目28番地,日の出会館敷地(花壇前),42.99126, 144.47797,目視で確認済み
北海道,釧路町,1-6,別保南1丁目97番地,双河辺生活館敷地,42.98226, 144.48159,目視で確認済み
北海道,釧路町,1-7,字別保168番地21,共和会館敷地,43.0064439,144.4681222,
北海道,釧路町,1-8,字別保原野東5線35番地6,上別保会館敷地,43.01208, 144.51576,目視で確認済み
北海道,釧路町,2-1,字別保原野南25線59番地39地先,国道44号線敷地(ジルティーダンススタジオ横空地側),42.99642, 144.43925,目視で確認済み
北海道,釧路町,2-2,東陽大通西1丁目1番地1,保健福祉センター(あいぱーる)敷地,42.9971807,144.4350953,
北海道,釧路町,2-3,東陽西1丁目15番地13,東陽東公園敷地(フェンス南面),42.9989132,144.4349312,
北海道,釧路町,2-4,東陽西2丁目13番地9,東陽西公園敷地(フェンス南面),43.0008771,144.4272389,
北海道,釧路町,3-1,河野3丁目1番地,公営住宅敷地(遠矢コレクティブセンター前),43.03662, 144.45477,目視で確認済み
北海道,釧路町,3-2,河野7丁目52番地1,公民館敷地(駐車場植樹枡),43.03886, 144.45602,目視で確認済み
北海道,釧路町,3-3,河野10丁目13番地,町道遠矢床丹線敷地,43.03801, 144.45274,目視で確認済み
北海道,釧路町,3-4,よし野3丁目8番地2,くるみ公園敷地(フェンス東面),43.03813, 144.46,目視で確認済み
北海道,釧路町,4-1,緑1丁目18番地地先,町道第1グリーン団地中央線敷地(緑公園向い),43.04243, 144.46963,目視で確認済み
北海道,釧路町,4-2,南陽台10丁目5番地,町道遠野阿歴内線敷地(柏入口),43.04084, 144.46651,目視で確認済み
北海道,釧路町,4-3,南陽台4丁目42番地,町道遠野阿歴内線敷地(団地入口バス停前),43.04141, 144.46364,目視で確認済み
北海道,釧路町,4-4,柏東2丁目68番地,柏東公園敷地(フェンス南面),43.0356, 144.47044,目視で確認済み
北海道,釧路町,5-1,遠矢6丁目16番地,すみれ保育園敷地(フェンス西面),43.04621, 144.45526,目視で確認済み
北海道,釧路町,5-2,遠矢4丁目23番地5,町道遠矢1号線敷地(遠矢跨線橋入口),43.04762, 144.45777,目視で確認済み
北海道,釧路町,5-3,遠矢2丁目27番地先,国道391号敷地,43.04646, 144.45852,目視で確認済み
北海道,釧路町,5-4,字トリトウシ88番地312,とおや交流館108敷地(玄関横植樹枡),43.050085,144.4575731,
北海道,釧路町,5-5,鳥通西6丁目1番地地先,遠矢中学校敷地(道路脇),43.05348, 144.4644,目視で確認済み
北海道,釧路町,5-6,鳥通東2丁目1番地,町道三映団地1号線敷地(団地入口),43.0597, 144.46996,目視で確認済み
北海道,釧路町,5-7,字トリトウシ5番地5地先,国道391号敷地,43.064604,144.4796265,
北海道,釧路町,5-8,字トリトウシ原野南3線43番地11,細岡会館敷地,43.1046558,144.468461,
北海道,釧路町,5-9,字達古武49番地1,達古武町内会館敷地,43.09612, 144.507,目視で確認済み
北海道,釧路町,5-10,字達古武63番地7,西村商店敷地(細岡入口),43.0939499,144.5062808,
北海道,釧路町,6-1,字遠野58番地556地先,町道旧釧路網走線敷地(高台三叉路),43.04141, 144.4781,目視で確認済み
北海道,釧路町,6-2,字遠野原野西2線56番地5地先,町道遠野阿歴内線敷地(東遠野入口),43.04886, 144.49613,目視で確認済み
北海道,釧路町,6-3,字遠野原野西2線57番地1,東遠野ふれあいセンター敷地(緑地帯),43.04813, 144.49903,目視で確認済み
北海道,釧路町,6-4,字遠野84番地8地先,町道達古武5号線敷地(道道遠野別保線交点),43.05929, 144.50239,目視で確認済み
北海道,釧路町,7-1,遠矢南1丁目39番地,八幡神社敷地,43.0362272,144.456576,
北海道,釧路町,7-2,わらび3丁目1番地,床丹地区会館敷地,43.0292345,144.4555785,
北海道,釧路町,7-3,わらび3丁目17番地,わらび公園敷地(フェンス東面),43.03101, 144.45448,目視で確認済み
北海道,釧路町,7-4,わらび4丁目5番地1地先,町道別保床丹線敷地(わらび団地入口),43.03281, 144.45382,目視で確認済み
北海道,釧路町,7-5,字床丹114番地473地先,町道別保床丹線敷地,43.02262, 144.46865,目視で確認済み
北海道,釧路町,7-6,字別保原野南20線51番地33地先,町道旧釧路網走線敷地(釧望台団地入口),43.0222106,144.4431019,緯度経度は怪しい
北海道,釧路町,8-1,中央4丁目24番地地先,町道筑工団地2号線敷地(高橋工務店向い),43.00448, 144.42343,目視で確認済み
北海道,釧路町,8-2,中央6丁目20番地1,国道391号敷地(自衛隊入口),43.01006, 144.42918,目視で確認済み
北海道,釧路町,8-3,中央8丁目100番地地先,町道床丹5号線敷地(河野団地入口),43.01063, 144.43368,目視で確認済み
北海道,釧路町,8-4,中央9丁目12番地,天寧コミュニティセンター敷地,43.01314, 144.44147,目視で確認済み
北海道,釧路町,8-5,中央9丁目36番地,天寧郵便局敷地,43.01183, 144.4492,目視で確認済み
北海道,釧路町,9-1,字又飯時35番地2,協洋会館敷地,42.9420891,144.4939704,
