prefecture,city,number,address,name,lat,long,note
千葉県,多古町,1-1,水戸351,水戸３５１付近,35.722961,140.457855,緯度経度は怪しい
千葉県,多古町,1-2,島1983-1,旧島青年館前,35.721352,140.467392,緯度経度は怪しい
千葉県,多古町,1-3,多古1537-1,マルサンセレモニー多古町ホール前,35.738663,140.468384,緯度経度は怪しい
千葉県,多古町,1-4,多古2508-1,多古町商工会前,35.733498,140.466843,緯度経度は怪しい
千葉県,多古町,1-5,多古584,多古町役場前,35.73568,140.467514,緯度経度は怪しい
千葉県,多古町,1-6,多古2000-6,多古第一小学校体育館前,35.738663,140.468384,緯度経度は怪しい
千葉県,多古町,1-7,多古2743向側,時宝堂駐車場前,35.740234,140.466034,緯度経度は怪しい
千葉県,多古町,1-8,多古3243-4,多古高等学校正門前,35.738663,140.468384,緯度経度は怪しい
千葉県,多古町,1-9,多古215向側,高根区墓地前,35.74041,140.473022,緯度経度は怪しい
千葉県,多古町,2-1,林529,林共同利用施設入口,35.730698,140.448868,緯度経度は怪しい
千葉県,多古町,2-2,喜多658-6,喜多第二共同利用施設入口,35.735828,140.440857,緯度経度は怪しい
千葉県,多古町,2-3,喜多184-2,平野生花造花店斜向側,35.738613,140.450836,緯度経度は怪しい
千葉県,多古町,2-4,喜多987-1,喜多共同館前,35.742226,140.450241,緯度経度は怪しい
千葉県,多古町,2-5,染井184-2,染井184-2付近,35.736504,140.455704,緯度経度は怪しい
千葉県,多古町,2-6,染井341-3,染井ふれあい館前,35.740093,140.455643,緯度経度は怪しい
千葉県,多古町,2-7,染井545,染井546-1付近,35.7449,140.461136,緯度経度は怪しい
千葉県,多古町,3-1,間倉427向側,五辻バス停横,35.758266,140.428177,緯度経度は怪しい
千葉県,多古町,3-2,間倉309,間倉消防庫横,35.758266,140.428177,緯度経度は怪しい
千葉県,多古町,3-3,飯笹615向側,高木商店向側,35.759724,140.447357,緯度経度は怪しい
千葉県,多古町,3-4,飯笹506向側,大六天神社入口,35.755905,140.447815,緯度経度は怪しい
千葉県,多古町,3-5,飯笹591向側,飯笹バス停前,35.763054,140.445114,緯度経度は怪しい
千葉県,多古町,3-6,喜多井野63,井野消防庫横,35.75071,140.451019,緯度経度は怪しい
千葉県,多古町,3-7,喜多1091,大原集荷場横,35.739738,140.446457,緯度経度は怪しい
千葉県,多古町,4-1,鍛田103-8,鍛田103-8付近（鍛田73向側）,35.735554,140.467789,緯度経度は怪しい
千葉県,多古町,4-2,飯笹544-214,五辻駐在所向側（飯笹544-214）,35.763054,140.445114,緯度経度は怪しい
千葉県,多古町,4-3,飯笹1168-98,飯笹1168-98付近（飯笹1168-98）,35.773849,140.422607,緯度経度は怪しい
千葉県,多古町,4-4,間倉544-218,五辻共同利用施設横（間倉544-218）,35.769028,140.426819,緯度経度は怪しい
千葉県,多古町,4-5,間倉494-16,間倉494-16付近（間倉496）,35.766384,140.427917,緯度経度は怪しい
千葉県,多古町,4-6,飯笹1091-2,つつじヶ丘団地入口（飯笹1091-2）,35.769466,140.429108,緯度経度は怪しい
千葉県,多古町,4-7,飯笹797-4,飯笹797-4付近（飯笹788向側）,35.76561,140.442093,緯度経度は怪しい
千葉県,多古町,5-1,牛尾665-2,牛尾325向側,35.701859,140.461792,緯度経度は怪しい
千葉県,多古町,5-2,牛尾743-1,牛尾共同利用施設入口,35.701111,140.454712,緯度経度は怪しい
千葉県,多古町,5-3,牛尾2447,牛尾203向側,35.701859,140.461792,緯度経度は怪しい
千葉県,多古町,5-4,牛尾2034-3,旧多古第三小学校向側,35.710724,140.457413,緯度経度は怪しい
