prefecture,city,number,address,name,lat,long,note
千葉県,市原市,1-1,椎津461,鶴峰公会館、鶴峰小学校前,35.4730356,140.0403441,
千葉県,市原市,1-2,椎津230-1,鶴峰公会館、八坂神社前,35.472845,140.0353675,
千葉県,市原市,1-3,椎津1550,鶴峰公会館、鶴峰運動広場,35.4602022,140.0346181,
千葉県,市原市,1-4,椎津66,masked,35.4702352,140.0312124,緯度経度は怪しい
千葉県,市原市,1-5,椎津1131,鶴峰公会館、椎津保健福祉センター前,35.4692989,140.0419303,
千葉県,市原市,1-6,椎津1599,鶴峰公会館、鈴ヶ崎幼稚園付近,35.461087,140.0330057,
千葉県,市原市,1-7,椎津1098-1,鶴峰公会館、椎津保育所前,35.4682758,140.0405655,
千葉県,市原市,1-8,姉崎海岸132-1,鶴峰公会館、椎津第一公園,35.4725179,140.0304944,
千葉県,市原市,2-1,姉崎,上町中央公会堂、鈴ヶ崎駅東口ロータリー,35.4758348,140.0482204,緯度経度は怪しい
千葉県,市原市,2-2,姉崎,上町中央公会堂、鈴ヶ崎駅西口ロータリー,35.4758348,140.0482204,緯度経度は怪しい
千葉県,市原市,2-3,姉崎3丁目8,上町中央公会堂、姉崎東公園,35.4758348,140.0482204,緯度経度は怪しい
千葉県,市原市,2-4,姉崎2丁目3-1,上町中央公会堂、上町中央公民館前,35.4758348,140.0482204,緯度経度は怪しい
千葉県,市原市,2-5,姉崎2丁目12-1,上町中央公会堂、砂子公園2,35.4758348,140.0482204,緯度経度は怪しい
千葉県,市原市,2-6,姉崎2丁目12-1,上町中央公会堂、砂子公園1,35.4758348,140.0482204,緯度経度は怪しい
千葉県,市原市,2-7,姉崎西2-6,上町中央公会堂、姉崎西団3号公園,35.4780191,140.0389808,緯度経度は怪しい
千葉県,市原市,3-1,青葉台7丁目1-1,姉崎公民館体育室、みどりケ丘正面公園,35.4670846,140.0527148,
千葉県,市原市,3-2,青葉台7丁目24,姉崎公民館体育室、みどりケ丘西公園,35.4660287,140.0502145,
千葉県,市原市,3-3,青葉台7丁目18-4,姉崎公民館体育室、みどりヶ丘台団地,35.4664556,140.0501543,
千葉県,市原市,3-4,迎田41-1,姉崎公民館体育室、姉崎学校給食共同調理場前,35.4668897,140.0441882,
千葉県,市原市,3-5,姉崎2150-1,姉崎公民館体育室、姉崎公民館前,35.4713742,140.0457772,
千葉県,市原市,3-6,姉崎2156,姉崎公民館体育室、姉崎中学校前,35.4709197,140.0482231,緯度経度は怪しい
千葉県,市原市,3-7,青葉台6丁目23-1,姉崎公民館体育室、みどりヶ丘北公園,35.4682433,140.0492515,
千葉県,市原市,3-8,姉崎2520,姉崎公民館体育室、明神小学校入口バス停付近,35.4770734,140.0544435,
千葉県,市原市,3-9,青葉台7丁目2,姉崎公民館体育室、青葉台南公園,35.4660287,140.0502145,緯度経度は怪しい
千葉県,市原市,4-1,姉崎港128-1,富士見自治会館、保和工ロヂール前,35.5063054,140.2175894,緯度経度は怪しい
千葉県,市原市,4-2,姉崎西1丁目5-2,富士見自治会館、姉崎駐西口1号公園,35.4796646,140.043146,
千葉県,市原市,4-3,姉崎721,富士見自治会館、姉崎郵便局,35.4806155,140.0444678,
千葉県,市原市,4-4,姉崎海戸23,富士見自治会館、姉崎公園,35.4758348,140.0482204,緯度経度は怪しい
千葉県,市原市,4-5,姉崎899,富士見自治会館、富士見自治会館,35.48439219999999,140.0443943,
千葉県,市原市,4-6,姉崎125,富士見自治会館、姉崎第2公園,35.4758348,140.0482204,緯度経度は怪しい
千葉県,市原市,4-7,姉崎695-6,富士見自治会館、セブンイレブン前,35.4821252,140.0428633,
千葉県,市原市,4-8,姉崎979-1,masked,35.4866834,140.0480711,
千葉県,市原市,5-1,今津朝山177-5,千種コミュニティセンター、鉄寿司前,35.4877512,140.0540464,
千葉県,市原市,5-2,今津朝山426-1,千種コミュニティセンター、新神社入口,35.4896339,140.0516192,
千葉県,市原市,5-3,白塚207,千種コミュニティセンター、国保稲荷付近,35.4900122,140.0593359,
千葉県,市原市,5-4,今津朝山540-1,千種コミュニティセンター、白和神社前,35.4913931,140.0565867,
千葉県,市原市,5-5,今津朝山954-1,masked,35.4937863,140.0537792,
千葉県,市原市,5-6,千種1丁目4,千種コミュニティセンター、今津公園,35.4966893,140.0511775,緯度経度は怪しい
千葉県,市原市,5-7,千種2丁目1-2,千種コミュニティセンター、千種コミュニティセンター,35.4937995,140.0583197,
千葉県,市原市,5-8,千種3丁目9,千種コミュニティセンター、天羽川原南公園,35.4915974,140.0601661,
千葉県,市原市,6-1,姉崎1523,masked,35.4834803,140.0530975,
千葉県,市原市,6-2,姉崎1655,明神小学校体育館、大学病院通り歩道,35.4809704,140.0600268,
千葉県,市原市,6-3,姉崎1600,masked,35.4819135,140.056123,緯度経度は怪しい
千葉県,市原市,6-4,姉崎1850,明神小学校体育館、明神小学校東側フェンス,35.4787737,140.0502798,
千葉県,市原市,6-5,姉崎1952,masked,35.4762035,140.0463022,
千葉県,市原市,6-6,姉崎1850,明神小学校体育館、明神小学校正門南側フェンス,35.4787737,140.0502798,
千葉県,市原市,7-1,青葉台1丁目3-1,青葉台小学校体育館、弁天公園,35.4736281,140.0591133,
千葉県,市原市,7-2,畑木456,青葉台小学校体育館、根本春日神社前,35.4731855,140.0622629,
千葉県,市原市,7-3,青葉台5丁目1-4,青葉台小学校体育館、岩が谷公園,35.4724629,140.0548101,
千葉県,市原市,7-4,青葉台2丁目24-9,青葉台小学校体育館、青葉台自治会館横,35.4659438,140.0577758,
千葉県,市原市,7-5,青葉台3丁目22-6,青葉台小学校体育館、青葉台中央公園,35.4700986,140.0568187,
千葉県,市原市,7-6,青葉台1丁目10-1,青葉台小学校体育館、青葉台小学校裏,35.4709777,140.0600397,
千葉県,市原市,7-7,青葉台2丁目9-13,青葉台小学校体育館、花山公園,35.4681218,140.0591508,
千葉県,市原市,7-8,青葉台1丁目10-1,青葉台小学校体育館、青葉台小学校正門横,35.4709777,140.0600397,
千葉県,市原市,7-9,青葉台5丁目15-1,青葉台小学校体育館、矢戸ノ下公園,35.469009,140.0535749,
