prefecture,city,number,address,name,lat,long,note
千葉県,御宿町,1-1,調布市久保2233-1,部落小学校校庭,35.1916097,140.3485902,
千葉県,御宿町,1-2,調布市久保1888-3,公会堂一階,35.1916097,140.3485902,
千葉県,御宿町,1-3,調布市久保2181,川原自治会館,35.1916097,140.3485902,
千葉県,御宿町,1-4,調布市調布397,ヒヒヒレータース前,35.1916097,140.3485902,
千葉県,御宿町,1-5,調布市調布731,天恩弦境店,35.1916097,140.3485902,
千葉県,御宿町,1-6,調布市六村町505-1,元会病所,35.1916097,140.3485902,
千葉県,御宿町,1-7,調布市調布1381,調布村市場裏児童場,35.1916097,140.3485902,
千葉県,御宿町,1-8,調布市中安政町2,調布中央図内店前,35.1916097,140.3485902,
千葉県,御宿町,2-1,調布市団子2165,調布台扉入口,35.1916097,140.3485902,
千葉県,御宿町,2-2,調布市543-1,南社工業所,35.1916097,140.3485902,
千葉県,御宿町,2-3,調布市団子2163-130,調布第二米店前,35.1916097,140.3485902,
千葉県,御宿町,2-4,調布市団子443-2,調布多目的広場,35.1916097,140.3485902,
千葉県,御宿町,2-5,調布市調団1884-8,フィオシスマンション調布前,35.1916097,140.3485902,
千葉県,御宿町,2-6,調布市1672-4,調布西地区事務所,35.1916097,140.3485902,
千葉県,御宿町,2-7,調布市鳥山11850-1,団地帯そつ会,35.1916097,140.3485902,
千葉県,御宿町,2-8,調布市鳥山1868-,調布地区東北地区団一夕日丘試験,35.1916097,140.3485902,
千葉県,御宿町,3-1,調布市鳥台1072-1,リゾドスキ一観入口,35.1916097,140.3485902,
千葉県,御宿町,3-2,調布市鳥台1034-2,旧日配鳥小学校前,35.1916097,140.3485902,
千葉県,御宿町,3-3,調布市鳥台1033-3,調布日カル支査待,35.1916097,140.3485902,
千葉県,御宿町,3-4,調布市鳥台1311-3,双香わしだ施設応募,35.1916097,140.3485902,
千葉県,御宿町,3-5,調布市鳥台7926-1,調布日配有棒按側道路,35.1916097,140.3485902,
千葉県,御宿町,3-6,調布市鳥台745-1,調布地区和南住本入口,35.1916097,140.3485902,
千葉県,御宿町,4-1,調布市上中志2667-1,七乃淺下向,35.1916097,140.3485902,
千葉県,御宿町,4-2,調布市上中志3109-1,立川駅作表前,35.1916097,140.3485902,
千葉県,御宿町,4-3,調布市上志2002-3,小淺金本体前,35.1916097,140.3485902,
千葉県,御宿町,4-4,調布市上志2261-3,府立共庁前,35.1916097,140.3485902,
千葉県,御宿町,4-5,調布市上志1947-1,小淺西行室市前,35.1916097,140.3485902,
千葉県,御宿町,4-6,調布市上志1501-3,府指充停など,35.1916097,140.3485902,
千葉県,御宿町,4-7,調布市上志寺1408,府上来原農,35.1916097,140.3485902,
千葉県,御宿町,5-1,調布市七水名152-1,七水名清海場線,35.1916097,140.3485902,
千葉県,御宿町,5-2,調布市七水名820-3,清報入口,35.1916097,140.3485902,
千葉県,御宿町,5-3,調布市清中館929-3,清中管理ゲム入口,35.1916097,140.3485902,
千葉県,御宿町,5-4,調布市兵区541-1,兵台前通楽,35.1916097,140.3485902,
千葉県,御宿町,5-5,調布市兵区369-5,清分警察局土地,35.1916097,140.3485902,
千葉県,御宿町,5-6,調布市兵区185-6,兵区吉足油附斉,35.1916097,140.3485902,
千葉県,御宿町,5-7,調布市兵区181-5,清水下折防火水浸,35.1916097,140.3485902,
千葉県,御宿町,6-1,調布市駅前29-1,調布雪中本処電パイヌ新,35.1916097,140.3485902,
千葉県,御宿町,6-2,調布市駅前201-4,西部西地自治所前,35.1916097,140.3485902,
千葉県,御宿町,6-3,調布市駅前805-93,アドビール入口正庁業前,35.1916097,140.3485902,
千葉県,御宿町,6-4,調布市駅前859-4,桜舞台藤まつじ下,35.1916097,140.3485902,
千葉県,御宿町,6-5,調布市駅前948-2,野プセンター前,35.1916097,140.3485902,
千葉県,御宿町,6-6,調布市駅前805-765,見晴らし広場,35.1916097,140.3485902,
千葉県,御宿町,6-7,調布市駅前920-2,調布西入口四丁目芝前,35.1916097,140.3485902,
