prefecture,city,number,address,name,lat,long
千葉県,流山市,1,加１丁目,第1投票所 流山北小学校プレイルーム,35.85966333,139.9045639
千葉県,流山市,2,加３丁目,第1投票所 流山北小学校プレイルーム,35.86164778,139.9120153
千葉県,流山市,3,加６丁目,第1投票所 流山北小学校プレイルーム,35.8587975,139.9018153
千葉県,流山市,4,加３丁目,第1投票所 流山北小学校プレイルーム,35.8607375,139.9069697
千葉県,流山市,5,加３丁目,第1投票所 流山北小学校プレイルーム,35.85973194,139.90996
千葉県,流山市,6,加３丁目,第1投票所 流山北小学校プレイルーム,35.8620425,139.9097561
千葉県,流山市,7,加１丁目,第1投票所 流山北小学校プレイルーム,35.85933194,139.9025375
千葉県,流山市,1,平和台１丁目,第2投票所 流山市役所,35.85720833,139.90238
千葉県,流山市,2,平和台１丁目,第2投票所 流山市役所,35.85514917,139.9019367
千葉県,流山市,3,平和台２丁目,第2投票所 流山市役所,35.85368472,139.9039828
千葉県,流山市,4,平和台３丁目,第2投票所 流山市役所,35.85091028,139.9027731
千葉県,流山市,5,平和台４丁目,第2投票所 流山市役所,35.85356028,139.9065953
千葉県,流山市,6,平和台５丁目,第2投票所 流山市役所,35.85514222,139.9082047
千葉県,流山市,7,平和台５丁目,第2投票所 流山市役所,35.85604111,139.910145
千葉県,流山市,1,流山３丁目,第3投票所 流山小学校体育館,35.8529575,139.8994458
千葉県,流山市,2,流山２丁目,第3投票所 流山小学校体育館,35.85425111,139.9003242
千葉県,流山市,3,流山４丁目,第3投票所 流山小学校体育館,35.85136806,139.9008336
千葉県,流山市,4,流山２丁目,第3投票所 流山小学校体育館,35.85544778,139.8984031
千葉県,流山市,5,流山1丁目,第3投票所 流山小学校体育館,35.85595028,139.9015164
千葉県,流山市,6,流山３丁目,第3投票所 流山小学校体育館,35.85220139,139.8967764
千葉県,流山市,7,流山５丁目,第3投票所 流山小学校体育館,35.85067806,139.9004206
千葉県,流山市,1,流山,第4投票所 東谷自治会館,35.84506194,139.901335
千葉県,流山市,2,南流山５丁目,第4投票所 東谷自治会館,35.84314444,139.8993358
千葉県,流山市,3,流山９丁目,第4投票所 東谷自治会館,35.84860333,139.9011086
千葉県,流山市,4,流山９丁目,第4投票所 東谷自治会館,35.84741028,139.9010908
千葉県,流山市,5,流山９丁目,第4投票所 東谷自治会館,35.84727667,139.8986761
