prefecture,city,number,address,name,lat,long,note
千葉県,白井市,1-1,復1123番地先,白井市役所前,35.7907458,140.0555917,
千葉県,白井市,1-2,根105番地先,白井第一小学校前,35.7947183,140.0552703,
千葉県,白井市,1-3,根54番地先,白井中学校前,35.800804,140.0560327,
千葉県,白井市,1-4,白井377－6番地先,放置自転車保管場前,35.7994586,140.0625238,
千葉県,白井市,1-5,復1455番地先,masked,35.797331,140.0621579,
千葉県,白井市,1-6,白井429番地先,白井保育園前,35.7990475,140.064428,
千葉県,白井市,1-7,神々廻1191番地先,神宮寺前,35.800095,140.074768,緯度経度は怪しい
千葉県,白井市,1-8,神々廻1834番地先,神々廻木戸バス停前,35.809376,140.080353,緯度経度は怪しい
千葉県,白井市,1-9,根479－1番地先,白井市役所職員駐車場前,35.7910147,140.0527476,
千葉県,白井市,1-10,復1148－8番地先,白井市文化センター前,35.7909911,140.0583382,
千葉県,白井市,2-1,河原子153－2番地先,河原子バス停付近,35.8129935,140.0613332,
千葉県,白井市,2-2,中98－17番地先,公民センター前,35.825428,140.048538,緯度経度は怪しい
千葉県,白井市,2-3,今井92番地先,今井青年館前,35.83326220000001,140.060227,
千葉県,白井市,2-4,名内544番地先,東光院（名内）前,35.828156,140.059799,緯度経度は怪しい
千葉県,白井市,2-5,中181－2番地先,白井第二小学校前,35.8183744,140.0462773,
千葉県,白井市,2-6,中179－2番地先,白井第二小学校入口十字路,35.817108,140.046829,緯度経度は怪しい
千葉県,白井市,2-7,折立618－10番地先,ひまわり子ども園前,35.806042,140.0459071,
千葉県,白井市,2-8,富塚725番地先,富塚地区消防センター前,35.80637,140.0354626,
千葉県,白井市,3-1,谷田431番地先,八幡集会場前,35.7884335,140.0907467,
千葉県,白井市,3-2,谷田8番地先,薬王寺付近,35.784195,140.097092,緯度経度は怪しい
千葉県,白井市,3-3,清戸766番地先,福祉センター前,35.7983252,140.0945503,
千葉県,白井市,3-4,桜台2－18,十条一公園（テニスコート横）,35.8018058,140.1076995,
千葉県,白井市,3-5,十条－14番地先,十条一公民館前（フェンス）,35.811024,140.088928,緯度経度は怪しい
千葉県,白井市,3-6,谷田878－1番地先,西福寺付近,35.791519,140.091415,緯度経度は怪しい
千葉県,白井市,3-7,桜台2－15番地先,三本松公園前,35.8012917,140.1029606,
千葉県,白井市,3-8,桜台3－28番地先,桜台小学校前,35.8013671,140.0993464,
千葉県,白井市,3-9,桜台2－8番地先,二軒茶屋公園緑道沿,35.8007064,140.1052898,
千葉県,白井市,3-10,桜台3－10,柳堤公園,35.8032046,140.106334,
千葉県,白井市,4-1,平塚1856－2番地先,旧平塚えびや商店前,35.81609,140.078537,緯度経度は怪しい
千葉県,白井市,4-2,平塚1626－1番地先,平塚複合バス停付近,35.8218517,140.0778262,
千葉県,白井市,4-3,平塚1528－1番地先,平塚西地区集会場前,35.8218517,140.0778262,
千葉県,白井市,4-4,平塚939番地先,延命寺前,35.8222506,140.0839859,
千葉県,白井市,4-5,平塚503番地先,平塚503電話ボックス付近,35.8271255,140.0871544,
千葉県,白井市,5-1,冨士129番1,冨士公園,35.7679502,140.0183742,
千葉県,白井市,5-2,冨士33番地先,白井冨士郵便局前,35.7697137,140.0255933,
