prefecture,city,number,address,name,lat,long,note
千葉県,睦沢町,1-1,川島37番地15地先,,35.384312,140.340775,緯度経度は怪しい
千葉県,睦沢町,1-2,川島824番地先,川島交差点,35.384312,140.340775,緯度経度は怪しい
千葉県,睦沢町,1-3,上市場416番地2,上市場むつみニュータウン内公園,35.373581,140.333374,緯度経度は怪しい
千葉県,睦沢町,1-4,上市場905番地3,JA長生睦沢支所前,35.373581,140.333374,緯度経度は怪しい
千葉県,睦沢町,1-5,小滝557番地1,小滝元消防機庫脇,35.360584,140.339401,緯度経度は怪しい
千葉県,睦沢町,1-6,河須ケ谷247番地,河須ケ谷区民センター前,35.36388,140.34317,緯度経度は怪しい
千葉県,睦沢町,1-7,岩井959番地,元岩井バス待合所脇,35.350578,140.337982,緯度経度は怪しい
千葉県,睦沢町,1-8,川島1903番地9,川島うぐいす里コミュニティセンター地先,35.384312,140.340775,緯度経度は怪しい
千葉県,睦沢町,2-1,森252番地1地先,森広域農道交差点,35.358841,140.307648,緯度経度は怪しい
千葉県,睦沢町,2-2,上之郷426番地3,上之郷おだか食堂手前交差点,35.350868,140.310242,緯度経度は怪しい
千葉県,睦沢町,2-3,上之郷1654番地1,睦沢町立中央公民館前,35.350868,140.310242,緯度経度は怪しい
千葉県,睦沢町,2-4,下之郷1650番地1,睦沢町役場前,35.355518,140.325256,緯度経度は怪しい
千葉県,睦沢町,2-5,下之郷447番地1,下之郷小谷塚下交差点,35.355518,140.325256,緯度経度は怪しい
千葉県,睦沢町,2-6,大谷木800番地先,,35.372833,140.314636,緯度経度は怪しい
千葉県,睦沢町,2-7,大谷木1284番地2地先,,35.372833,140.314636,緯度経度は怪しい
千葉県,睦沢町,2-8,北山田222番地先,富貴楽橋付近,35.376701,140.322723,緯度経度は怪しい
千葉県,睦沢町,2-9,寺崎835番地1,寺崎消防機庫脇,35.384003,140.328781,緯度経度は怪しい
千葉県,睦沢町,3-1,大上3812番地4地先,,35.336887,140.289673,緯度経度は怪しい
千葉県,睦沢町,3-2,大上1966番地先,ライスセンター入口,35.336887,140.289673,緯度経度は怪しい
千葉県,睦沢町,3-3,大上3202番地1地先,元JA長生瑞沢支所付近,35.336887,140.289673,緯度経度は怪しい
千葉県,睦沢町,3-4,妙楽寺832番地13,妙楽寺寺台バス待合所脇,35.329014,140.271957,緯度経度は怪しい
千葉県,睦沢町,3-5,妙楽寺620番地2地先,妙楽寺中村集会所,35.329014,140.271957,緯度経度は怪しい
千葉県,睦沢町,3-6,佐貫529番地先,中里橋付近,35.339951,140.264694,緯度経度は怪しい
千葉県,睦沢町,3-7,佐貫774番地4,浅間神社付近,35.339951,140.264694,緯度経度は怪しい
千葉県,睦沢町,3-8,佐貫1657番地,,35.339951,140.264694,緯度経度は怪しい
千葉県,睦沢町,3-9,佐貫1452番地先,佐貫上姥神集会所前,35.339951,140.264694,緯度経度は怪しい
