prefecture,city,number,address,name,lat,long,note
千葉県,習志野市,1-1,津田沼2丁目3番16号,第一中学校南側,35.6851426,140.0198882,
千葉県,習志野市,1-2,津田沼1丁目23番,さくら公園東側,35.6901262,140.0265348,
千葉県,習志野市,1-3,津田沼1丁目4番,津田沼2丁目公園北側,35.6889404,140.0243801,
千葉県,習志野市,1-4,津田沼1丁目4番,津田沼2丁目公園東側,35.6889404,140.0243801,
千葉県,習志野市,1-5,津田沼3丁目11番,三前田第二集会所前橋横,35.6853906,140.0263052,
千葉県,習志野市,1-6,津田沼3丁目13番,津田沼1号公園,35.6865085,140.026947,
千葉県,習志野市,1-7,津田沼1丁目4番,健治台（青菖蒲恒麗園）花巻,35.6889404,140.0243801,
千葉県,習志野市,1-8,津田沼1丁目11番13号,東習志野小学校・東習志野車庫場,35.6914285,140.0214122,
千葉県,習志野市,2-1,津田沼4丁目52番2号,津田沼小学校東側,35.682951,140.0219737,
千葉県,習志野市,2-2,津田沼5丁目13番,津田沼25丁目公園,35.6828346,140.0256635,
千葉県,習志野市,2-3,津田沼2丁目6番,津田沼2丁目児童遊園,35.6861003,140.0208507,
千葉県,習志野市,2-4,津田沼2丁目9番,有田公園西側,35.6870725,140.0229362,
千葉県,習志野市,2-5,津田沼5丁目12番,京成津田沼駅前コーターミル水花庵,35.6830603,140.0240592,
千葉県,習志野市,2-6,津田沼5丁目14番,仁平農園集合東側,35.6820385,140.0261277,
千葉県,習志野市,2-7,津田沼3丁目4番,京成津田沼駅第二自転車駐車場,35.6842435,140.0259743,
千葉県,習志野市,2-8,津田沼6丁目8番,津田沼6丁目8番植え込み,35.6786181,140.0237383,
千葉県,習志野市,3-1,奏3丁目11番1号,鷺沼小学校正門前,35.6816407,140.0271941,緯度経度は怪しい
千葉県,習志野市,3-2,奏3丁目44番,養護老人ホーム白菊園西側,35.6816407,140.0271941,緯度経度は怪しい
千葉県,習志野市,3-3,奏3丁目9番,養護3丁目児童公園,35.7314369,139.9696732,緯度経度は怪しい
