prefecture,city,number,address,name,lat,long,note
千葉県,船橋市,1,東船橋３丁目３０－１宮本台北公園　南側,宮本台北公園　南側,35.7016162,140.0075189,
千葉県,船橋市,2,東船橋１丁目２８－１池の端公園　南側,池の端公園　南側,35.6989773,140.0017738,
千葉県,船橋市,3,宮本６丁目３３－１峰台小学校　裏門右側,峰台小学校　裏門右側,35.69915,139.997647,
千葉県,船橋市,4,東船橋３丁目４４－１東船橋第１号公園　西側,東船橋第１号公園　西側,35.7030749,140.0097428,
千葉県,船橋市,5,東船橋４丁目１９－１２宮本天神広場　南側,宮本天神広場　南側,35.6971626,140.0087987,
千葉県,船橋市,6,東船橋４丁目９－１宮本台公園　東側,宮本台公園　東側,35.6972984,140.0057802,
千葉県,船橋市,7,宮本６丁目１８－１宮本公民館　保育園向側,宮本公民館　保育園向側,35.697658,139.995092,
千葉県,船橋市,8,東船橋２丁目７ＪＲ東船橋駅第７自転車等駐車場　東側,ＪＲ東船橋駅第７自転車等駐車場　東側,35.7003364,140.0038488,
千葉県,船橋市,9,東船橋１丁目３８ＪＲ東船橋駅南口ロータリー　東側,ＪＲ東船橋駅南口ロータリー　東側,35.699591,140.0042745,
千葉県,船橋市,10,宮本６丁目３宮本６丁目公園　広場内植込み,宮本６丁目公園　広場内植込み,35.6997312,139.9939175,
千葉県,船橋市,11,市場１丁目８地方卸売市場北東側　交差点付近,地方卸売市場北東側　交差点付近,35.7050774,139.9929988,
千葉県,船橋市,12,masked,masked,35.7034278,139.9924634,
千葉県,船橋市,13,市場２丁目３－７海老川広場,海老川広場,35.7069348,139.9937387,
千葉県,船橋市,14,宮本１丁目１１－１１宮一公園,宮一公園,35.6986759,139.9925784,
千葉県,船橋市,15,宮本５丁目２－１船橋大神宮　東側入口右,船橋大神宮　東側入口右,35.696345,139.9932653,
千葉県,船橋市,16,宮本２丁目９大神宮下駅　北側フェンス,大神宮下駅　北側フェンス,35.69407,139.991392,
千葉県,船橋市,17,宮本７丁目１０－１宮本小学校　裏門右側,宮本小学校　裏門右側,35.694144,139.9964728,
千葉県,船橋市,18,宮本７丁目１０－１宮本小学校　正門右側,宮本小学校　正門右側,35.694144,139.9964728,
千葉県,船橋市,19,宮本７丁目１０－１宮本小学校　南門右側,宮本小学校　南門右側,35.694144,139.9964728,
