prefecture,city,number,address,name,lat,long,note
千葉県,茂原市,1-1,平代田中２丁目６－１光光,麻生ビル南側,35.3842546,139.6018214,緯度経度は怪しい
千葉県,茂原市,1-2,茂原６１４,波原小学校前,35.4258452,140.2927271,緯度経度は怪しい
千葉県,茂原市,1-3,波原６４１,パインマンション南,35.4285509,140.2881398,
千葉県,茂原市,1-4,波原７０５,湯谷公園,35.4285509,140.2881398,
千葉県,茂原市,1-5,八千代１丁目６,川口台公園,35.4240543,140.2962722,緯度経度は怪しい
千葉県,茂原市,1-6,八千代２丁目８,六井戸公園,35.4226447,140.2956276,
千葉県,茂原市,1-7,八千代２丁目１２－１２,中央西取家側,35.423371,140.2943387,
千葉県,茂原市,2-1,高師１３０８－４光光,波原公園第２駐車場南,35.4305134,140.2867049,
千葉県,茂原市,2-2,波原１０１,旧中央公民館前,35.4285509,140.2881398,
千葉県,茂原市,2-3,波原７－１,近藤歯科近,35.4285509,140.2881398,
千葉県,茂原市,2-4,波原１０１,波原市役所東側,35.4285509,140.2881398,
千葉県,茂原市,2-5,波原４０８,第一興業行波原支店駐車場東側,35.4285509,140.2881398,
千葉県,茂原市,2-6,波原３８９,妙慶梨寺近,35.4285509,140.2881398,
千葉県,茂原市,2-7,波原１４７－２,波原寺入口付近,35.4285509,140.2881398,
千葉県,茂原市,3-1,高師３９５－２,波原水産通り,35.4342424,140.3023238,
千葉県,茂原市,3-2,高師３９９,日野本通,35.4340073,140.2998132,
千葉県,茂原市,3-3,高師１６１－３光光,丹後変電所遊戯園東下,35.4356824,140.2956538,
千葉県,茂原市,3-4,高師２８６,長生高校前,35.432521,140.2972593,
千葉県,茂原市,3-5,高師３４２,妙慶梨寺付近,35.4310968,140.2994348,
千葉県,茂原市,3-6,高師町３丁目５,松方団地,35.43215199999999,140.2962722,
千葉県,茂原市,3-7,高師町１丁目１２,梅田中央公園前,35.4288429,140.2984578,
千葉県,茂原市,4-1,小林２３３２－１,佐川急波原倉庫側,35.4432141,140.2926668,
千葉県,茂原市,4-2,高師１７３５,ショッピングプラザアスモ前,35.4351508,140.2879651,
千葉県,茂原市,4-3,高師２１６５,町民保育園前,35.4384643,140.2937943,
千葉県,茂原市,4-4,高師２１４１,丹野町学習神社前,35.4364178,140.2923155,
