prefecture,city,number,address,name,lat,long,note
千葉県,銚子市,1-1,大内町10222番地の1,高神小学校校庭県道側門左側（敷地内フェンス）,35.73571,140.825012,緯度経度は怪しい
千葉県,銚子市,1-2,天王町10759番地,長崎町青年館（敷地内）,35.705467,140.85434,緯度経度は怪しい
千葉県,銚子市,1-3,外川町1丁目10630番地,銚子電鉄外川駅（橘内）,35.697689,140.857849,緯度経度は怪しい
千葉県,銚子市,1-4,外川町4丁目10357番地の1,外川児童遊園北側法面（法面）,35.7011382,140.8553386,
千葉県,銚子市,1-5,外川町2丁目11036番地先,千葉交通バス停（外川漁業会）脇（県道沿い）,35.697636,140.854752,緯度経度は怪しい
千葉県,銚子市,1-6,南町857番地 長谷川米豊方 高椅寺薬師堂山門左側,（コンクリート塀）,35.728703,140.838867,緯度経度は怪しい
千葉県,銚子市,1-7,南市西町568番地,加瀬新一宅西側（ブロック塀）,35.721382,140.837906,緯度経度は怪しい
千葉県,銚子市,1-8,明町5番地の3,銚子市大若青年館前（敷地内ブロック塀前）,35.734482,140.856857,緯度経度は怪しい
千葉県,銚子市,2-1,小船町8060番地の1,小船新町営住宅南側（敷地内フェンス）,35.769684,140.751038,緯度経度は怪しい
千葉県,銚子市,2-2,若町8508番地,忍田書並宅南側（空地）,35.733887,140.82663,緯度経度は怪しい
千葉県,銚子市,2-3,海鹿島町5447番地,海鹿島墓園（敷地内）,35.72472,140.864975,緯度経度は怪しい
千葉県,銚子市,2-4,椿町5124番地,椿町市営住宅B棟東側（敷地内）,35.734699,140.826569,緯度経度は怪しい
千葉県,銚子市,2-5,椿町5023番地,石毛佐右衛門宅向側稲荷神社西側（土上手）,35.734699,140.826569,緯度経度は怪しい
千葉県,銚子市,2-6,小畑町7756番地,市民センター東側（敷地内）,35.716335,140.852371,緯度経度は怪しい
千葉県,銚子市,2-7,海鹿島町5226番地の70,海鹿島町西青年館（敷地内フェンス）,35.724522,140.8586497,
千葉県,銚子市,3-1,松本町6202番地,植松町青年館跡地（敷地内）,35.73489,140.820358,緯度経度は怪しい
千葉県,銚子市,3-2,明神町1丁目1番地,銚子市立第一中学校体育館北側（敷地内）,35.734074,140.855316,緯度経度は怪しい
千葉県,銚子市,3-3,明神町1丁目1番地,銚子市立第一中学校東側門脇（敷地内）,35.734074,140.855316,緯度経度は怪しい
千葉県,銚子市,3-4,明神町1丁目37番地,銚子市第一保育所東側（コンクリート塀）,35.734482,140.856857,緯度経度は怪しい
千葉県,銚子市,3-5,明神町2丁目685番地の267,ボートタワー駐車場（敷地内）,35.736629,140.860153,緯度経度は怪しい
千葉県,銚子市,3-6,川口町2丁目6358番地,横山第一宅向側遊歩道入口（ガードレール）,35.740944,140.85527,緯度経度は怪しい
千葉県,銚子市,3-7,川口町1丁目203番地,銚子市漁業協同組合第2卸売市場駐車場（ガードレール）,35.737221,140.852448,緯度経度は怪しい
千葉県,銚子市,4-1,後飯町6番地の19,後飯町公園内中央紫客席客席出所側（敷地内）,35.7311684,140.8435494,
千葉県,銚子市,4-2,清水町2894番地,銚子市立清水小学校正門右側（フェンス）,35.731625,140.847885,緯度経度は怪しい
千葉県,銚子市,4-3,愛宕町364番地の1,高木喜美江宅（ブロック塀）,35.72802,140.849838,緯度経度は怪しい
千葉県,銚子市,4-4,愛宕町3109番地,永井克宅（ブロック塀）,35.730022,140.850525,緯度経度は怪しい
千葉県,銚子市,4-5,港町1764番地,田原義久宅（ブロック塀）,35.737099,140.845978,緯度経度は怪しい
千葉県,銚子市,4-6,通町1895番地,根徳商店（ブロック塀）,35.736481,140.848648,緯度経度は怪しい
千葉県,銚子市,4-7,幸町2丁目41番地,佐野長不動産 貸家（ブロック塀）,35.734951,140.850098,緯度経度は怪しい
千葉県,銚子市,5-1,新地町1468番地の20,銚子市漁業協同組合魚市場駐車場東側(漁港区域内カードレール),35.7345288,140.8409487,
千葉県,銚子市,5-2,和田町1番地の1,「東防児童遊園南西側」(フェンス),35.7343944,140.8441336,
千葉県,銚子市,5-3,陣屋町5番地の1,陣屋町公園左側団地側バス停前(敷地内),35.73021550000001,140.8382418,
千葉県,銚子市,5-4,前宿町1140番地,銚子市梅宮宿西側(敷地内),35.728218,140.843933,緯度経度は怪しい
千葉県,銚子市,5-5,腕白63番地,銚子市立市立病院駐車場西側(フェンス),35.734699,140.826569,緯度経度は怪しい
千葉県,銚子市,5-6,睦小川町2948番地の1,川福寺南東側旧消防庁隣(敷地内),35.734699,140.826569,緯度経度は怪しい
千葉県,銚子市,5-7,南小川町943番地,千葉県立銚子高等学校体育館南側(フェンス),35.723179,140.838501,緯度経度は怪しい
千葉県,銚子市,6-1,新生町1丁目1番地の1,新生公園北側(敷地内),35.734062,140.834351,緯度経度は怪しい
千葉県,銚子市,6-2,新生町2丁目11番地の1,中央さつき公園(敷地内),35.7311597,140.8347402,
千葉県,銚子市,6-3,末広町3番地の1,末広町広場南側(敷地内),35.7330339,140.8327344,
千葉県,銚子市,6-4,南原町15番地,JR銚子駅前タクシープール(植込み),35.721382,140.837906,緯度経度は怪しい
千葉県,銚子市,6-5,東芝町5番地の5,銚子市立双葉小学校正門脇駐車場(植込み),35.7308199,140.8293567,
千葉県,銚子市,6-6,東芝町4丁目1505番地,銚子寺北側(ブロック塀),35.730412,140.830017,緯度経度は怪しい
千葉県,銚子市,6-7,名洗町2154番地の2,千葉交通バス停(名洗入口)脇(空地),35.712002,140.837738,緯度経度は怪しい
千葉県,銚子市,7-1,君日町287番地,銚子市立春日小学校東側駐車場入口(フェンス),35.715672,140.864441,緯度経度は怪しい
千葉県,銚子市,7-2,君日町340番地の1,武末田橋東側(急地内),35.715672,140.864441,緯度経度は怪しい
千葉県,銚子市,7-3,清川町4丁目6番地,清川町第一公園テニスコート西側(敷地内),35.725662,140.819275,緯度経度は怪しい
千葉県,銚子市,7-4,君日町255番地の2,市営住宅尼斗共同北A棟南東側(敷地内),35.715672,140.864441,緯度経度は怪しい
千葉県,銚子市,7-5,君日町2102番地の3,市営住宅三崎団地児童遊園西側(敷地内),35.715672,140.864441,緯度経度は怪しい
千葉県,銚子市,7-6,三崎町2713番地,三崎町バス停脇(空地),35.716049,140.805008,緯度経度は怪しい
千葉県,銚子市,7-7,三崎町1180番地,銚子市三崎町青年館前(フェンス),35.716049,140.805008,緯度経度は怪しい
千葉県,銚子市,7-8,三崎町1076番地の3,市営住宅大谷津団地児童遊園東側(敷地内),35.716049,140.805008,緯度経度は怪しい
千葉県,銚子市,8-1,君日町2796番地,小池洋平宅向側(道路上),35.715672,140.864441,緯度経度は怪しい
千葉県,銚子市,8-2,君日台町9番地の3,丸池・平和公園南側(敷地内),35.715672,140.864441,緯度経度は怪しい
千葉県,銚子市,8-3,君日台町19番地の5,春日台町青年館(敷地内),35.715672,140.864441,緯度経度は怪しい
千葉県,銚子市,8-4,君日町2367番地の54,遠藤宅向側公園(敷地内),35.715672,140.864441,緯度経度は怪しい
千葉県,銚子市,8-5,君日町2689番地,市立銚子高校正門東側(敷地内),35.715672,140.864441,緯度経度は怪しい
千葉県,銚子市,8-6,上野町194番地の2,上野町公園南側(敷地内),35.724476,140.802216,緯度経度は怪しい
千葉県,銚子市,8-7,上野町317番地,上野町第二青年館西側(敷地内),35.720894,140.800201,緯度経度は怪しい
千葉県,銚子市,9-1,廣戸町31番地の2,銚子市立桃子中学校体育館入口右側(木槽),35.734699,140.826569,緯度経度は怪しい
千葉県,銚子市,9-2,三軒町17番地の1,三軒町公園北側横断歩道の東側(フェンス),35.7317167,140.8238343,
千葉県,銚子市,9-3,廣戸町22番地の1,唐子町公園北側(敷地内),35.734699,140.826569,緯度経度は怪しい
千葉県,銚子市,9-4,若宮町1番地の1,銚子市役所南側駐車場(敷地内),35.7341872,140.8273705,
千葉県,銚子市,9-5,廣戸町31番地の2,銚子市立桃子中学校東側(構),35.734699,140.826569,緯度経度は怪しい
千葉県,銚子市,9-6,若宮町1番地の1,銚子市役所北側駐車場東側(敷地内),35.7341872,140.8273705,
