prefecture,city,number,address,name,lat,long,note
埼玉県,さいたま市,1-1-1,西区大字峰岸14番地5,穂積神社遊園地 入口フェンス,35.929054,139.557648,緯度経度は怪しい
埼玉県,さいたま市,1-1-2,西区大字峰岸68番地,市営峰岸住宅 西側フェンス,35.93248,139.555527,緯度経度は怪しい
埼玉県,さいたま市,1-1-3,西区大字峰岸83番地8,峰岸北公園 東側フェンス,35.93248,139.555527,緯度経度は怪しい
埼玉県,さいたま市,1-1-4,西区大字宝来413番地,住宅 南側交差点の南西側水路フェンス,35.926792,139.55452,緯度経度は怪しい
埼玉県,さいたま市,1-1-5,西区大字宝来880番地1,北部配水場 東側フェンス,35.923031,139.556458,緯度経度は怪しい
埼玉県,さいたま市,1-1-6,西区大字宝来1280番地2,中宝来自治会館 北側水路フェンス,35.922459,139.559616,緯度経度は怪しい
埼玉県,さいたま市,1-1-7,西区大字宝来1062番地,大宮国際カントリー 入口看板の反対側水路フェンス,35.920719,139.555923,緯度経度は怪しい
埼玉県,さいたま市,1-2-1,西区大字中釘1506番地1,市立指扇北小学校 北側正門 水路フェンス,35.932861,139.57132,緯度経度は怪しい
埼玉県,さいたま市,1-2-2,西区大字中釘2060番地,中釘自治会館 東側ブロック塀,35.938263,139.571457,緯度経度は怪しい
埼玉県,さいたま市,1-2-3,西区大字高木1572番地6,高木天神公園 南側フェンス,35.938393,139.576187,緯度経度は怪しい
埼玉県,さいたま市,1-2-4,西区西大宮4丁目25番地2,高木第二最終処分場水処理施設 南側フェンス,35.9308973,139.5775059,
埼玉県,さいたま市,1-2-5,西区大字中釘1241番地,秋葉の森総合公園 駐車場入口脇の植込み,35.934654,139.564987,緯度経度は怪しい
埼玉県,さいたま市,1-2-6,西区西大宮4丁目49番地,西大宮4丁目第一公園 西側フェンス,35.932396,139.576645,緯度経度は怪しい
埼玉県,さいたま市,1-2-7,西区大字高木567番地3,市立指扇保育園 東側フェンス,35.927971,139.570801,緯度経度は怪しい
埼玉県,さいたま市,1-2-8,西区大字中釘806番地,秋葉神社公園 南側フェンス,35.930702,139.564728,緯度経度は怪しい
埼玉県,さいたま市,1-3-1,西区西大宮3丁目4番地2,西区役所西側駐車場 南側の植込み,35.9252445,139.5798299,
埼玉県,さいたま市,1-3-2,西区大字指扇1653番地1,古茂塚北公園 北側の植込み,35.917908,139.582886,緯度経度は怪しい
埼玉県,さいたま市,1-3-3,西区大字清河寺619番地3,清河寺バス停 東側道路フェンス,35.934799,139.584106,緯度経度は怪しい
埼玉県,さいたま市,1-3-4,西区西大宮1丁目43番地,西大宮1丁目第二公園 北側フェンス,35.923676,139.575012,緯度経度は怪しい
埼玉県,さいたま市,1-3-5,西区大字清河寺1260番地1,三共リース(株) 道路向かい側の路肩,35.93198,139.588974,緯度経度は怪しい
埼玉県,さいたま市,1-3-6,西区西大宮3丁目48番地,西消防署 南側フェンス,35.929474,139.580673,緯度経度は怪しい
埼玉県,さいたま市,1-3-7,西区西大宮1丁目5番地2,西大宮1丁目第一公園 北側フェンス,35.923607,139.5813297,
埼玉県,さいたま市,1-3-8,西区西大宮3丁目12番地2,西大宮3丁目第一公園 西側フェンス,35.9262096,139.5801678,
埼玉県,さいたま市,1-4-1,西区大字内野本郷965番地1,内野本郷大空公園 西側フェンス,35.937561,139.592224,緯度経度は怪しい
埼玉県,さいたま市,1-4-2,西区大字西新井124番地,大宮花の丘農林公苑 西側駐車場南側フェンス,35.939819,139.589905,緯度経度は怪しい
埼玉県,さいたま市,1-4-3,西区大字西新井64番地5,西新井自治会館 西側正門 右側フェンス,35.939011,139.586533,緯度経度は怪しい
埼玉県,さいたま市,1-4-4,西区大字内野本郷971番地63,上野原北公園 東側フェンス,35.938427,139.591812,緯度経度は怪しい
埼玉県,さいたま市,1-4-5,西区大字内野本郷693番地16,共栄橋付近 歩道フェンス,35.937901,139.594086,緯度経度は怪しい
埼玉県,さいたま市,1-4-6,西区大字内野本郷550番地6,セキ薬局・ミニストップの間 歩道植込み,35.935642,139.593903,緯度経度は怪しい
埼玉県,さいたま市,1-4-7,西区大字内野本郷449番地1,内野本郷バス停向かい側 歩道植込み,35.934547,139.592422,緯度経度は怪しい
埼玉県,さいたま市,1-5-1,西区宮前町1634番地,宮前町二丁目自治会館 西側,35.92947,139.595383,緯度経度は怪しい
埼玉県,さいたま市,1-5-2,西区宮前町1467番地,市立宮前中学校 北西側フェンス,35.929565,139.59819,緯度経度は怪しい
埼玉県,さいたま市,1-5-3,西区宮前町822番地2,(株)日新化成 向かい側道路フェンス,35.929073,139.584137,緯度経度は怪しい
埼玉県,さいたま市,1-5-4,西区宮前町1467番地,市立宮前中学校 南西側フェンス,35.929565,139.59819,緯度経度は怪しい
埼玉県,さいたま市,1-5-5,西区宮前町832番地1,住宅 南側水路フェンス,35.926125,139.589905,緯度経度は怪しい
埼玉県,さいたま市,1-5-6,西区宮前町1102番地1,宮前IC付近 道路フェンス,35.92725,139.589035,緯度経度は怪しい
埼玉県,さいたま市,1-5-7,西区宮前町376番地4,宮前公園 西側フェンス,35.924,139.595184,緯度経度は怪しい
埼玉県,さいたま市,1-6-1,西区三橋6丁目1558番地,市立大宮西中学校 西側フェンス,35.919586,139.589874,緯度経度は怪しい
埼玉県,さいたま市,1-6-2,西区三橋6丁目1709番地3,三橋プール 南側フェンス,35.921919,139.5852141,
埼玉県,さいたま市,1-6-3,西区三橋6丁目1587番地,総合療育センターひまわり学園 西側入口 左側フェンス,35.920925,139.590118,緯度経度は怪しい
埼玉県,さいたま市,1-6-4,西区宮前町541番地11,県南交通前交差点 北東向側フェンス,35.924973,139.588959,緯度経度は怪しい
埼玉県,さいたま市,1-6-5,西区三橋6丁目1181番地5,シティハイツ大宮三橋 8号棟西側フェンス,35.9171841,139.5852798,
埼玉県,さいたま市,1-6-6,西区三橋6丁目1181番地7,西第二公園 南側フェンス,35.916924,139.585587,緯度経度は怪しい
埼玉県,さいたま市,1-6-7,西区三橋6丁目1048番地1,西第三公園 南側フェンス(西部文化センターの向い側),35.917885,139.591019,緯度経度は怪しい
埼玉県,さいたま市,1-6-8,西区三橋6丁目1587番地,総合療育センターひまわり学園 南側フェンス,35.920925,139.590118,緯度経度は怪しい
埼玉県,さいたま市,1-7-1,西区三橋6丁目381番地1,市立三橋西保育園 入口西側フェンス,35.9128889,139.5860514,
埼玉県,さいたま市,1-7-2,西区三橋6丁目605番地2,県営大宮三橋西団地1号棟 南側フェンス,35.916424,139.589478,緯度経度は怪しい
埼玉県,さいたま市,1-7-3,西区三橋5丁目560番地4,三橋5丁目公園 西側フェンス,35.911041,139.594635,緯度経度は怪しい
埼玉県,さいたま市,1-7-4,西区三橋6丁目1218番地,三橋6丁目児童公園 東側植え込み,35.915203,139.585632,緯度経度は怪しい
埼玉県,さいたま市,1-7-5,西区三橋6丁目260番地,三橋6丁目南公園 北側フェンス,35.912514,139.591232,緯度経度は怪しい
埼玉県,さいたま市,1-7-6,西区三橋5丁目20番地2,三橋総合公園 北側駐車場入口 右側,35.914188,139.59404,緯度経度は怪しい
埼玉県,さいたま市,1-7-7,西区三橋5丁目790番地5,三橋総合公園 南側進入口の先のフェンス内,35.909534,139.595825,緯度経度は怪しい
埼玉県,さいたま市,1-8-1,西区三橋5丁目1359番地,市立大宮西小学校 校門横フェンス,35.904217,139.590866,緯度経度は怪しい
埼玉県,さいたま市,1-8-2,西区三橋5丁目936番地2,青葉公園 北側フェンス,35.906685,139.593475,緯度経度は怪しい
埼玉県,さいたま市,1-8-3,西区大字水判土388番地1,水判土公園チビッコ広場 北側,35.902039,139.590469,緯度経度は怪しい
埼玉県,さいたま市,1-8-4,西区三橋5丁目938番地,三橋5丁目自治会館 西側ブロック塀,35.906685,139.593475,緯度経度は怪しい
埼玉県,さいたま市,1-8-5,西区三橋5丁目1862番地,三橋5丁目東公園 入口,35.904205,139.595261,緯度経度は怪しい
埼玉県,さいたま市,1-8-6,西区三橋5丁目2212番地1,三橋5丁目南公園 東側フェンス,35.901672,139.594208,緯度経度は怪しい
埼玉県,さいたま市,1-8-7,西区大字水判土62番地1,水判土交差点 北側市有地 (馬防柵),35.898724,139.590897,緯度経度は怪しい
埼玉県,さいたま市,1-9-1,西区大字佐知川299番地16,春光園うえみず 入口西側フェンス,35.903896,139.587372,緯度経度は怪しい
埼玉県,さいたま市,1-9-2,西区大字佐知川228番地118,佐知川原公園 東側フェンス,35.905983,139.587494,緯度経度は怪しい
埼玉県,さいたま市,1-9-3,西区大字佐知川385番地19,佐知川原第3公園 北側フェンス,35.905643,139.586243,緯度経度は怪しい
埼玉県,さいたま市,1-9-4,西区大字佐知川221番地1,市立大宮西小学校 南西角フェンス,35.90369,139.590057,緯度経度は怪しい
埼玉県,さいたま市,1-9-5,西区大字佐知川1123番地1,市営植水住宅集会所 西側フェンス,35.900265,139.583954,緯度経度は怪しい
埼玉県,さいたま市,1-9-6,西区大字佐知川1123番地1,市営植水住宅1号棟 南側フェンス,35.900265,139.583954,緯度経度は怪しい
埼玉県,さいたま市,1-9-7,西区大字佐知川粕田44番地,佐知川公園 東側フェンス,35.902847,139.583389,緯度経度は怪しい
埼玉県,さいたま市,1-10-1,西区プラザ46番18号,大宮プラザ自治会館入口フェンス(中央通り側),35.9071221,139.5792292,
埼玉県,さいたま市,1-10-2,西区プラザ339番25号,プラザ3号公園 西側フェンス,35.907539,139.578201,緯度経度は怪しい
埼玉県,さいたま市,1-10-3,西区プラザ444番57号,プラザ1号公園 北側フェンス,35.907539,139.578201,緯度経度は怪しい
埼玉県,さいたま市,1-10-4,西区プラザ754番28号,プラザ中央公園 北側フェンス,35.907539,139.578201,緯度経度は怪しい
埼玉県,さいたま市,1-10-5,西区プラザ36番,愛徳幼稚園 西向側(水路側)フェンス,35.906045,139.5778966,
埼玉県,さいたま市,1-10-6,西区プラザ754番28号,プラザ中央公園 南側フェンス,35.907539,139.578201,緯度経度は怪しい
埼玉県,さいたま市,1-10-7,西区プラザ620番87号,プラザ2号公園 北側フェンス,35.907539,139.578201,緯度経度は怪しい
埼玉県,さいたま市,1-10-8,西区大字佐知川1471番地1,金山墓地 北側ブロック塀,35.901707,139.578186,緯度経度は怪しい
埼玉県,さいたま市,1-11-1,西区大字指扇325番地17,五味貝戸東公園 北側入口フェンス,35.909416,139.585571,緯度経度は怪しい
埼玉県,さいたま市,1-11-2,西区大字指扇1185番地6,下戸緑地公園南側,35.911564,139.579773,緯度経度は怪しい
埼玉県,さいたま市,1-11-3,西区大字指扇636番地2,井戸尻公園 東側フェンス,35.908787,139.57988,緯度経度は怪しい
埼玉県,さいたま市,1-11-4,西区大字指扇1078番地,県営大宮指扇団地 北西側水路フェンス,35.912338,139.579285,緯度経度は怪しい
埼玉県,さいたま市,1-11-5,西区大字指扇291番地,指扇道下公園 西側フェンス,35.909008,139.585434,緯度経度は怪しい
埼玉県,さいたま市,1-11-6,西区大字指扇1570番地13,古茂塚第二公園 南側フェンス,35.916065,139.58168,緯度経度は怪しい
埼玉県,さいたま市,1-11-7,西区大字指扇104番地9,青葉西公園 東側フェンス,35.908276,139.588547,緯度経度は怪しい
埼玉県,さいたま市,1-11-8,西区大字指扇331番地,五味貝戸自治会館 東側ブロック塀,35.909008,139.585434,緯度経度は怪しい
埼玉県,さいたま市,1-12-1,西区西大宮1丁目49番地34,市立指扇小学校 西側正門横フェンス,35.9221842,139.5722706,
埼玉県,さいたま市,1-12-2,西区大字指扇3363番地7,大西公園 南側フェンス(LM大宮指扇第2の北側),35.918468,139.577301,緯度経度は怪しい
埼玉県,さいたま市,1-12-3,西区大字指扇領別所109番地3,宮脇公園 西側フェンス,35.923187,139.567398,緯度経度は怪しい
埼玉県,さいたま市,1-12-4,西区大字宝来1656番地39,指扇駅北口ロータリー 中央植え込み,35.917316,139.564911,緯度経度は怪しい
埼玉県,さいたま市,1-12-5,西区大字指扇領別所382番地110,住友2号公園 南側フェンス,35.9221,139.564026,緯度経度は怪しい
埼玉県,さいたま市,1-12-6,西区大字指扇領別所109番地48,住友3号公園 北側フェンス,35.923187,139.567398,緯度経度は怪しい
埼玉県,さいたま市,1-12-7,西区大字高木300番地31,指扇団地公園 南側フェンス,35.92598,139.56958,緯度経度は怪しい
埼玉県,さいたま市,1-12-8,西区大字宝来1760番地11,大宮宝来ハイツ公園 南側フェンス,35.919125,139.558456,緯度経度は怪しい
埼玉県,さいたま市,1-13-1,西区大字指扇2804番地1,赤羽自治会館入口付近フェンス,35.916328,139.570984,緯度経度は怪しい
埼玉県,さいたま市,1-13-2,西区大字指扇2856番地245,指扇台東公園 西側フェンス,35.916344,139.572159,緯度経度は怪しい
埼玉県,さいたま市,1-13-3,西区大字指扇2826番地3,鎮守公園 東側フェンス,35.916344,139.572159,緯度経度は怪しい
埼玉県,さいたま市,1-13-4,西区大字指扇2617番地2,赤羽根第1公園 南東側フェンス,35.916573,139.567383,緯度経度は怪しい
埼玉県,さいたま市,1-13-5,西区大字指扇2809番地1,指扇氷川神社 南側入口付近,35.916344,139.572159,緯度経度は怪しい
埼玉県,さいたま市,1-13-6,西区大字指扇1958番地143,やよい公園 東側フェンス,35.914452,139.574799,緯度経度は怪しい
埼玉県,さいたま市,1-13-7,西区大字指扇1958番地269,わかば公園 南側フェンス,35.914452,139.574799,緯度経度は怪しい
埼玉県,さいたま市,1-14-1,西区大字土屋1766番地1,市立土屋中学校 西側フェンス,35.911091,139.571518,緯度経度は怪しい
