prefecture,city,number,address,name,lat,long,note
埼玉県,ときがわ町,1-1,大字五明113-2,十王堂北側(第一中野原踏切西側県道),36.020496,139.275558,緯度経度は怪しい
埼玉県,ときがわ町,1-2,大字玉川2781,根際個人宅西側,36.011303,139.292953,緯度経度は怪しい
埼玉県,ときがわ町,1-3,大字玉川2490,ときがわ町役場本庁舎ATM付近,36.008869,139.296692,緯度経度は怪しい
埼玉県,ときがわ町,1-4,大字玉川2458-1,シェアハウス“まちんなか”前,36.006947,139.296524,緯度経度は怪しい
埼玉県,ときがわ町,1-5,大字玉川1572,旧佐々木印刷西側,36.010292,139.298248,緯度経度は怪しい
埼玉県,ときがわ町,1-6,大字玉川1121-2,忍田肉店西側,36.009438,139.302826,緯度経度は怪しい
埼玉県,ときがわ町,1-7,大字玉川1870-1,薬師堂前,36.003738,139.298798,緯度経度は怪しい
埼玉県,ときがわ町,2-1,大字玉川4355-1,新玉川橋西交差点南側,36.010292,139.298248,緯度経度は怪しい
埼玉県,ときがわ町,2-2,大字玉川4615,春日集落センタ-前,36.010292,139.298248,緯度経度は怪しい
埼玉県,ときがわ町,2-3,大字玉川4869-2,和田橋北側,36.010292,139.298248,緯度経度は怪しい
埼玉県,ときがわ町,2-4,大字玉川318-1,和田橋南側交差点,36.010292,139.298248,緯度経度は怪しい
埼玉県,ときがわ町,2-5,大字玉川882,ときがわ町玉川運動場西側,36.011463,139.311249,緯度経度は怪しい
埼玉県,ときがわ町,2-6,大字田黒161-1,(有)小野田材木店西側,36.027393,139.293884,緯度経度は怪しい
埼玉県,ときがわ町,2-7,大字田黒524-2,個人宅前,36.027393,139.293884,緯度経度は怪しい
埼玉県,ときがわ町,2-8,大字田黒438-1,ふれあいセンタ-田黒前,36.024639,139.298233,緯度経度は怪しい
埼玉県,ときがわ町,3-1,大字五明1167-1,個人宅入口,36.020496,139.275558,緯度経度は怪しい
埼玉県,ときがわ町,3-2,大字五明1324-1,個人宅南側,36.02024919999999,139.276539,
埼玉県,ときがわ町,3-3,大字五明730-1,みはし(株)玉川配送センタ-北側,36.020496,139.275558,緯度経度は怪しい
埼玉県,ときがわ町,3-4,大字五明1534-1,(社福)よし乃郷西側,36.020496,139.275558,緯度経度は怪しい
埼玉県,ときがわ町,3-5,大字日影178-1,県道日影信号機南東側,36.023113,139.256042,緯度経度は怪しい
埼玉県,ときがわ町,3-6,大字日影537-3,日影分館西150メ-トル先左側,36.023113,139.256042,緯度経度は怪しい
埼玉県,ときがわ町,3-7,大字日影435-2,小北林道頂上三叉路,36.023113,139.256042,緯度経度は怪しい
埼玉県,ときがわ町,3-8,大字日影890-1,東光寺入口道路へ進行右側畑,36.02153,139.264832,緯度経度は怪しい
埼玉県,ときがわ町,4-1,大字番匠348-1,個人宅裏,36.005203,139.294312,緯度経度は怪しい
埼玉県,ときがわ町,4-2,大字番匠235-1,個人宅西側,36.001541,139.289993,緯度経度は怪しい
埼玉県,ときがわ町,4-3,大字番匠766-1,個人宅裏,36.001541,139.289993,緯度経度は怪しい
埼玉県,ときがわ町,4-4,大字番匠476-1,明覚駅前,36.001541,139.289993,緯度経度は怪しい
埼玉県,ときがわ町,4-5,大字番匠628-4,個人宅前,36.001541,139.289993,緯度経度は怪しい
埼玉県,ときがわ町,4-6,大字番匠723-1,番匠第2踏切脇,36.001541,139.289993,緯度経度は怪しい
埼玉県,ときがわ町,4-7,大字番匠824-1,子育地蔵前,36.001026,139.287811,緯度経度は怪しい
埼玉県,ときがわ町,5-1,大字馬場327-3,旧寿し和越生寄り左側,35.99752,139.281067,緯度経度は怪しい
埼玉県,ときがわ町,5-2,大字本郷57-2,個人宅入口,36.009022,139.274368,緯度経度は怪しい
埼玉県,ときがわ町,5-3,大字本郷894-2,本田橋交差点西側別所入口,36.009022,139.274368,緯度経度は怪しい
埼玉県,ときがわ町,5-4,大字別所278-2,別所バス停付近,36.009304,139.260757,緯度経度は怪しい
埼玉県,ときがわ町,5-5,大字桃木325-1,八幡神社鳥居前,36.000122,139.262665,緯度経度は怪しい
埼玉県,ときがわ町,5-6,大字桃木32,役場第2庁舎西側田中交差点付近,36.004238,139.273285,緯度経度は怪しい
埼玉県,ときがわ町,5-7,大字桃木32,都幾川公民館北側,36.004238,139.273285,緯度経度は怪しい
埼玉県,ときがわ町,5-8,大字関堀271-1,個人宅西側,36.000172,139.276535,緯度経度は怪しい
埼玉県,ときがわ町,6-1,大字瀬戸元上308-1,個人宅前,35.997692,139.269882,緯度経度は怪しい
埼玉県,ときがわ町,6-2,大字瀬戸元上241-1,旧正木屋酒店北側信号機付近,35.997692,139.269882,緯度経度は怪しい
埼玉県,ときがわ町,6-3,大字瀬戸元下158-5,瀬戸団地入口,35.992306,139.272476,緯度経度は怪しい
埼玉県,ときがわ町,6-4,大字瀬戸元下115,個人宅脇,35.992306,139.272476,緯度経度は怪しい
埼玉県,ときがわ町,6-5,大字大附248-1,長谷川金型製作所手前,35.991158,139.256866,緯度経度は怪しい
埼玉県,ときがわ町,6-6,大字大附423-2,大附そば道場入口バス停前,35.991158,139.256866,緯度経度は怪しい
埼玉県,ときがわ町,7-1,大字西平757-1,とき庵西側,35.997231,139.235703,緯度経度は怪しい
埼玉県,ときがわ町,7-2,大字西平1838,西川原バス停脇,35.997231,139.235703,緯度経度は怪しい
埼玉県,ときがわ町,7-3,大字西平81-4,関根バス停前,35.997231,139.235703,緯度経度は怪しい
埼玉県,ときがわ町,7-4,大字雲河原387-1,雲河原コミュニティセンタ-入口,36.017715,139.243088,緯度経度は怪しい
埼玉県,ときがわ町,7-5,大字大野2091-14,個人宅前,35.998623,139.210907,緯度経度は怪しい
