prefecture,city,number,address,name,lat,long,note
埼玉県,ふじみ野市,1-1,西原2丁目6番地,福岡小学校正門隣,35.874546,139.527786,緯度経度は怪しい
埼玉県,ふじみ野市,1-2,西原2丁目6番地,福岡小学校東側(入口南側),35.874546,139.527786,緯度経度は怪しい
埼玉県,ふじみ野市,1-3,長宮1丁目2番地,上福岡歴史民俗資料館,35.875805,139.528214,緯度経度は怪しい
埼玉県,ふじみ野市,1-4,滝1丁目6番地,(有)吉野水道工業所北側畑,35.879936,139.527908,緯度経度は怪しい
埼玉県,ふじみ野市,1-5,築地2丁目1番地,丸文酒店東側畑,35.8735319,139.5302269,
埼玉県,ふじみ野市,1-6,滝2丁目2番地,滝・長宮公園南西側,35.8782142,139.5276814,
埼玉県,ふじみ野市,1-7,長宮2丁目1番,滝保育所北側,35.876659,139.527985,緯度経度は怪しい
埼玉県,ふじみ野市,2-1,福岡1丁目2番,上野台小学校正門隣,35.878597,139.521378,緯度経度は怪しい
埼玉県,ふじみ野市,2-2,清見1丁目7番地,清見第1公園(北側),35.881748,139.518768,緯度経度は怪しい
埼玉県,ふじみ野市,2-3,清見4丁目2番地,清見第2公園(南側),35.884468,139.520615,緯度経度は怪しい
埼玉県,ふじみ野市,2-4,元福岡2丁目16番,元福岡集会所,35.8852332,139.5157507,
埼玉県,ふじみ野市,2-5,元福岡3丁目7番,防衛庁第1公園,35.8868523,139.5171027,
埼玉県,ふじみ野市,2-6,川崎310番地,葦原中学校南側,35.888268,139.517242,緯度経度は怪しい
埼玉県,ふじみ野市,2-7,川崎310番地,葦原中学校正門左側,35.888268,139.517242,緯度経度は怪しい
埼玉県,ふじみ野市,3-1,上野台1丁目1番,3号棟と6号棟の間,35.8780321,139.5187729,
埼玉県,ふじみ野市,3-2,上野台1丁目2番,9号棟北側立体駐車場北側,35.8765697,139.5184455,
埼玉県,ふじみ野市,3-3,上野台1丁目5番(福岡中央公園内),ファミリ-マ-ト南側上野台団地バス停付近,35.8754503,139.5171808,
埼玉県,ふじみ野市,3-4,上野台1丁目5番(福岡中央公園内),11号棟南側歩道沿い,35.8754503,139.5171808,
埼玉県,ふじみ野市,3-5,上野台1丁目3番地,14号棟と17号棟の間の駐車場前,35.875489,139.5181366,
埼玉県,ふじみ野市,3-6,上野台1丁目5番(福岡中央公園内),福岡中央公園(第一生命北側),35.8754503,139.5171808,
埼玉県,ふじみ野市,3-7,上野台1丁目5番(福岡中央公園内),19号棟西側歩道出入口,35.8754503,139.5171808,
埼玉県,ふじみ野市,4-1,上野台3丁目3番,福岡中学校(グラウンド側),35.8753222,139.5219543,
埼玉県,ふじみ野市,4-2,上野台3丁目2番,福岡中央公園(ニュ-フジ北側),35.8743192,139.520801,
埼玉県,ふじみ野市,4-3,富士見台671番,富士見台第1公園,35.87138,139.522568,緯度経度は怪しい
埼玉県,ふじみ野市,4-4,富士見台671番,富士見台第2公園,35.87138,139.522568,緯度経度は怪しい
埼玉県,ふじみ野市,4-5,福岡中央2丁目3番,官舎公園北側植え込み,35.8723492,139.5172617,
埼玉県,ふじみ野市,4-6,上野台3丁目3番,福岡中学校(上福岡図書館側),35.8753222,139.5219543,
埼玉県,ふじみ野市,4-7,富士見台4番,富士見台公園,35.8720901,139.5215566,
埼玉県,ふじみ野市,5-1,駒林元町3丁目7番,元町西公園南側,35.865761,139.523071,緯度経度は怪しい
埼玉県,ふじみ野市,5-2,駒林元町1丁目6番,元町東公園西側,35.8668929,139.5268859,
埼玉県,ふじみ野市,5-3,駒西3丁目6番,駒西小学校東側,35.8678389,139.523227,
埼玉県,ふじみ野市,5-4,新駒林1丁目3番,鈴木公園,35.8694973,139.5244996,
埼玉県,ふじみ野市,5-5,駒西2丁目9番,上福岡ゲ-トボ-ル場,35.866494,139.521318,
埼玉県,ふじみ野市,5-6,新駒林4丁目3番,新駒林公園東側,35.8703779,139.5296701,
埼玉県,ふじみ野市,5-7,駒林859番地,駒林会館入口フェンス,35.869602,139.533096,緯度経度は怪しい
埼玉県,ふじみ野市,6-1,上福岡2丁目4番,上福岡2丁目集会所,35.87378,139.5163869,
