prefecture,city,number,address,name,lat,long,note
埼玉県,三芳町,第一投票区-1,大字北永井350番地,三芳中学校前,35.830513,139.516068,緯度経度は怪しい
埼玉県,三芳町,第一投票区-2,大字北永井343番地,三芳小学校前,35.830513,139.516068,緯度経度は怪しい
埼玉県,三芳町,第一投票区-3,大字上富414番地5,上富第3区第2集会所,35.827641,139.517105,緯度経度は怪しい
埼玉県,三芳町,第一投票区-4,大字藤久保1118番地1,三芳町運動公園駐車場北側,35.827538,139.527374,緯度経度は怪しい
埼玉県,三芳町,第一投票区-5,大字藤久保1047番地1,三芳町浄水場,35.830246,139.523743,緯度経度は怪しい
埼玉県,三芳町,第一投票区-6,大字北永井285番地1,北永井第1区集会所,35.833702,139.513977,緯度経度は怪しい
埼玉県,三芳町,第一投票区-7,大字藤久保1054番地5,藤久保第4区集会所前,35.831276,139.530487,緯度経度は怪しい
埼玉県,三芳町,第二投票区-1,大字上富1909番地1,上富第1区集会所,35.841114,139.496414,緯度経度は怪しい
埼玉県,三芳町,第二投票区-2,大字上富1490番地1,木ノ宮第3子供広場北側,35.83567,139.497116,緯度経度は怪しい
埼玉県,三芳町,第二投票区-3,大字上富188番地4,消防団第2分団車庫前,35.830898,139.505173,緯度経度は怪しい
埼玉県,三芳町,第二投票区-4,大字上富317番地1,上富中・下子供広場,35.8283,139.507812,緯度経度は怪しい
埼玉県,三芳町,第二投票区-5,大字上富1152番地,masked,35.824535,139.50209,緯度経度は怪しい
埼玉県,三芳町,第二投票区-6,大字上富1002番地1,天理教三芳分教会前,35.823868,139.505402,緯度経度は怪しい
埼玉県,三芳町,第二投票区-7,大字上富866番地,masked,35.8362478,139.4987576,緯度経度は怪しい
埼玉県,三芳町,第二投票区-8,大字上富1552番地21,木ノ宮第1子供広場東側,35.837589,139.494232,緯度経度は怪しい
埼玉県,三芳町,第三投票区-1,大字竹間沢4番地2,通西子供広場,35.825706,139.533325,緯度経度は怪しい
埼玉県,三芳町,第三投票区-2,大字竹間沢555番地1,竹間沢公民館,35.82729,139.543716,緯度経度は怪しい
埼玉県,三芳町,第三投票区-3,大字竹間沢601番地1,masked,35.825058,139.544876,緯度経度は怪しい
埼玉県,三芳町,第三投票区-4,大字竹間沢877番地,消防団第5分団車庫北側,35.822567,139.547562,緯度経度は怪しい
埼玉県,三芳町,第三投票区-5,大字竹間沢550番地1,竹間沢小学校体育館入口側フェンス,35.82729,139.543716,緯度経度は怪しい
埼玉県,三芳町,第三投票区-6,大字竹間沢550番地1,竹間沢小学校東側フェンス,35.82729,139.543716,緯度経度は怪しい
埼玉県,三芳町,第三投票区-7,大字竹間沢285番地3,(株)T&K前,35.825832,139.538864,緯度経度は怪しい
埼玉県,三芳町,第四投票区-1,大字藤久保200番地42,マミ-マ-ト屋上駐車場出入口前空き地,35.840836,139.528732,緯度経度は怪しい
埼玉県,三芳町,第四投票区-2,大字藤久保7230番地,図書館駐車場,35.83725,139.531204,緯度経度は怪しい
