prefecture,city,number,address,name,lat,long,note
埼玉県,加須市,1-1,中央1丁目11-41,加須市商工会館北側フェンス,36.1257482,139.5975053,
埼玉県,加須市,1-2,中央2丁目5-19,中央2丁目町内会館フェンス,36.1242435,139.5988462,
埼玉県,加須市,1-3,富士見町347-1,富士パーキングの東側,36.1207673,139.5956361,
埼玉県,加須市,1-4,元町1-2,民家北側ブロック塀,36.1222799,139.598815,
埼玉県,加須市,1-5,富士見町376-1,富士見公園南側,36.1194348,139.5965265,
埼玉県,加須市,1-6,中央1丁目,加須駅北口ロータリー内植込み,36.1236457,139.5958186,
埼玉県,加須市,1-7,富士見町,加須駅南口ロータリー内,36.1221864,139.5959526,
埼玉県,加須市,2-1,本町4-25,加須小学校校舎北側フェンス,36.124752,139.6037553,
埼玉県,加須市,2-2,本町4-25,加須小学校校舎南側フェンス,36.123399,139.6041979,
埼玉県,加須市,2-3,本町18-27,粕壁屋駐車場北側,36.1265789,139.6029225,
埼玉県,加須市,2-4,東栄1丁目4-3,加須幼稚園南側フェンス,36.1225667,139.6038541,
埼玉県,加須市,2-5,東栄1丁目1372-1,東栄公園東側フェンス,36.1215301,139.6056883,
埼玉県,加須市,2-6,東栄2丁目1164-1,駐車場東側畑,36.1249806,139.6084374,
埼玉県,加須市,2-7,東栄2丁目15-36,栄楽公園南側フェンス,36.1221626,139.6101729,
埼玉県,加須市,3-1,南町2-19,みどり公園地南側フェンス,36.1202422,139.6015866,
埼玉県,加須市,3-2,南町3-51,加須コミュニティセンター南側フェンス,36.120199,139.6002547,
埼玉県,加須市,3-3,南町9-48,民家西側ブロック塀,36.1185669,139.5969086,
埼玉県,加須市,3-4,下高柳1932-1,加須市社会福祉協議会本所東側,36.1135515,139.6042973,
埼玉県,加須市,3-5,南町15-86,ミナミハイツ南側フェンス,36.117545,139.6015565,
埼玉県,加須市,3-6,南町1460-1,南町遊園地南側フェンス,36.1190801,139.6032372,
埼玉県,加須市,3-7,久下1775,民家南側ブロック塀,36.1167901,139.609403,
埼玉県,加須市,4-1,久下1丁目5,久本公園南側フェンス,36.1208921,139.6084912,
埼玉県,加須市,4-2,久下1丁目23,久下公園南側野立て,36.1182825,139.6092583,
埼玉県,加須市,4-3,久下2丁目9,久下中央公園西側フェンス,36.1209269,139.6131656,
埼玉県,加須市,4-4,久下4丁目14,久下南公園東側フェンス,36.1166754,139.6189181,
埼玉県,加須市,4-5,久下4丁目50-1,久下浄水場西側フェンス,36.1167179,139.6154192,
埼玉県,加須市,4-6,久下5丁目7,久下東公園南側フェンス,36.120521,139.6184956,
埼玉県,加須市,4-7,久下5丁目15,久下北公園南側フェンス,36.1200835,139.6210679,
埼玉県,加須市,5-1,不動岡859-33,開発公園No.36-2フェンス,36.1374595,139.5900747,
埼玉県,加須市,5-2,不動岡3丁目,不動岡北みどり公園,36.136551,139.5839176,
埼玉県,加須市,5-3,不動岡2丁目9-18,不動尊西側石塀,36.1355885,139.5848858,
埼玉県,加須市,5-4,不動岡3丁目272,不動岡東いちょう公園,36.1352036,139.5833811,
埼玉県,加須市,5-5,不動岡3丁目27-5,不動岡高校発祥之地公園フェンス,36.1369511,139.5814843,
埼玉県,加須市,5-6,不動岡2丁目829-1,不動岡公園東側,36.1358105,139.5878868,
埼玉県,加須市,5-7,不動岡2丁目829-1,不動岡公園北側,36.1363499,139.5871908,
埼玉県,加須市,6-1,下谷47,民家東側ブロック塀,36.1464468,139.582572,
埼玉県,加須市,6-2,下谷295,民家北側ブロック塀,36.1502144,139.587233,
埼玉県,加須市,6-3,下谷1681,商店北側空地,36.147727,139.5923574,
埼玉県,加須市,6-4,下谷741,民家東側ブロック塀,36.1531356,139.5884218,
埼玉県,加須市,6-5,下谷1316,民家西側垣根,36.1505586,139.5934502,
埼玉県,加須市,6-6,下谷1086,土木プラント北側フェンス,36.1460249,139.6024386,
埼玉県,加須市,7-1,岡古井152-1,民家西側,36.1382997,139.5786478,
埼玉県,加須市,7-2,岡古井176,民家南側(県道際)畑,36.1402124,139.5720468,
埼玉県,加須市,7-3,岡古井435,阿弥陀堂北西側畑,36.1483883,139.5747183,
埼玉県,加須市,7-4,岡古井380,田地先,36.1448618,139.5763437,
埼玉県,加須市,7-5,岡古井1249-1,通殿社敷地,36.1397078,139.5758658,
埼玉県,加須市,8-1,上三俣1268,民家フェンス,36.1363051,139.6095841,
埼玉県,加須市,8-2,上三俣2255,パストラルかぞ南側,36.1355608,139.6042672,
埼玉県,加須市,8-3,北小浜1164-1,安野自動車南側空地,36.1344534,139.6124396,
埼玉県,加須市,8-4,上三俣590,JAほくさい加須中央支店,36.1300186,139.6061494,
埼玉県,加須市,8-5,上三俣1777,三俣北部集会場西側ブロック塀,36.1433207,139.6140467,
埼玉県,加須市,8-6,北小浜1039-6,北小浜第1調整池東側フェンス,36.1313482,139.6114253,
埼玉県,加須市,8-7,睦町1丁目12-20,睦町浄水場フェンス,36.1266192,139.6083202,
埼玉県,加須市,9-1,三俣2丁目8-8,三俣二丁目中央きずな公園南側フェンス,36.1308713,139.6041635,
埼玉県,加須市,9-2,三俣2丁目1-1,市役所本庁舎西側植込,36.1312117,139.6008863,
埼玉県,加須市,9-3,下三俣590,加須市民体育館フェンス,36.1354939,139.6024103,
埼玉県,加須市,9-4,諏訪1丁目10,諏訪公園南側フェンス,36.1316387,139.5979556,
埼玉県,加須市,9-5,三俣1丁目9,三俣一丁目東公園東側,36.1327676,139.5995875,
埼玉県,加須市,9-6,三俣1丁目18-6,三俣一丁目西公園西側,36.1356182,139.5976742,
埼玉県,加須市,9-7,三俣2丁目13,三俣二丁目南公園,36.1294955,139.6043697,
埼玉県,加須市,10-1,多門寺489-1,(旧)こぐれ建設資材置場北側,36.1323817,139.6206264,
埼玉県,加須市,10-2,多門寺150-3,民家東側ブロック塀,36.1255408,139.6214418,
埼玉県,加須市,10-3,多門寺1031,多門寺又根集会所東側,36.1392486,139.6226447,
埼玉県,加須市,10-4,北篠崎225,医王寺西側ブロック塀(野立て),36.1290669,139.6354443,
埼玉県,加須市,10-5,北篠崎1987-1,北篠崎集会所西側フェンス,36.1325902,139.6335717,
埼玉県,加須市,10-6,北篠崎1814-1,masked,36.1335291,139.6418983,
