prefecture,city,number,address,name,lat,long,note
埼玉県,吉川市,1-1,平沼316番地,県道越谷流山線芳川神社北側道路植樹帯,35.885345,139.842285,緯度経度は怪しい
埼玉県,吉川市,1-2,平沼73番地,吉川小学校正門北側フェンス,35.884106,139.839661,緯度経度は怪しい
埼玉県,吉川市,1-3,平沼73番地,吉川小学校北側駐車場入口付近フェンス,35.884106,139.839661,緯度経度は怪しい
埼玉県,吉川市,1-4,大字保28番地1付近,月の公園西側植栽,35.879967,139.840759,緯度経度は怪しい
埼玉県,吉川市,1-5,平沼一丁目22番地4,NTT東日本電話交換センタ-南側フェンス,35.8853546,139.8452147,
埼玉県,吉川市,1-6,平沼一丁目16番地8,武蔵野銀行正面前いちょう通り西側道路植樹帯,35.884684,139.8444691,
埼玉県,吉川市,1-7,平沼一丁目4番地4,ロ-ソンストア100前いちょう通り東側道路植樹帯,35.8826068,139.8442342,
埼玉県,吉川市,1-8,保一丁目33番地,保公園東側植栽,35.882511,139.846024,緯度経度は怪しい
埼玉県,吉川市,2-1,吉川二丁目34番地5,山一不動産西側県道葛飾吉川松伏線,35.8962909,139.840131,
埼玉県,吉川市,2-2,吉川二丁目1番地13,保健センタ-正面入り口付近,35.8911848,139.84197,
埼玉県,吉川市,2-3,吉川1568番地,民家西側ブロック塀,35.886993,139.839966,緯度経度は怪しい
埼玉県,吉川市,2-4,吉川一丁目79番地,二郷半用水路さくら通り東側フェンス(香取橋),35.889015,139.844131,緯度経度は怪しい
埼玉県,吉川市,2-5,吉川二丁目38番地10,木売落し西側ガ-ドレ-ル,35.8974203,139.8420947,
埼玉県,吉川市,2-6,吉川一丁目14番地21,おひさま保育園南方交差点付近いちょう通り西側道路植樹帯,35.888416,139.842789,緯度経度は怪しい
埼玉県,吉川市,3-1,須賀367番地1,新川橋西側T字路ガ-ドレ-ル,35.900124,139.837021,緯度経度は怪しい
埼玉県,吉川市,3-2,川藤694番地1,武輝神社南側,35.9062607,139.839541,
埼玉県,吉川市,3-3,川藤592番地2付近,コミュニティ協議会広報掲示板横ガ-ドレ-ル,35.902399,139.8358911,
埼玉県,吉川市,3-4,川藤518番地1,よこまちの杜西側フェンス,35.902481,139.83905,緯度経度は怪しい
埼玉県,吉川市,3-5,川藤14番地1,彩凛会南側,35.8989145,139.8419878,
埼玉県,吉川市,3-6,川藤3394番地2,県道川藤野田線飯島不動産北側農地西側フェンス,35.902546,139.848953,緯度経度は怪しい
埼玉県,吉川市,3-7,川藤3252番地1,元店舗東側農地県道川藤野田線飯島不動産北側農地西側フェンス,35.903919,139.8526,緯度経度は怪しい
埼玉県,吉川市,4-1,拾壱軒538番地1,飯島鋼管入口北側ブロック塀,35.9245594,139.8384069,
埼玉県,吉川市,4-2,南広島980番地2,民家ブロック塀北側,35.9164197,139.8451385,
埼玉県,吉川市,4-3,南広島843番地,県道中井松伏線消防団第3分団機材置場東側植栽帯,35.91959,139.847122,緯度経度は怪しい
埼玉県,吉川市,4-4,南広島1490番地1,旭小学校正門北側フェンス,35.91959,139.847122,緯度経度は怪しい
埼玉県,吉川市,4-5,川藤2529番地付近,県道中井松伏線(川藤北交差点)北東植樹帯,35.912025,139.850174,緯度経度は怪しい
埼玉県,吉川市,5-1,上内川1605番地1,吉川市民農園北側フェンス,35.9279342,139.8510011,
埼玉県,吉川市,5-2,下内川437番地,正覚院東側空地,35.924858,139.860291,緯度経度は怪しい
埼玉県,吉川市,5-3,下内川740番地付近,下内川公会堂西側敷地,35.923515,139.858276,緯度経度は怪しい
埼玉県,吉川市,5-4,下内川1649番地,民家付近西側水路フェンス,35.921295,139.858322,緯度経度は怪しい
埼玉県,吉川市,5-5,八子新田357番地2,恵鏡庵東側水路フェンス,35.9168451,139.8642188,
埼玉県,吉川市,5-6,八子新田589番地1,農業集落排水施設八鍋クリ-ンセンタ-東側水路フェンス,35.916084,139.864975,緯度経度は怪しい
埼玉県,吉川市,6-1,上笹塚40番地2,県道三郷松伏線(鍋小路交差点)南西ガ-ドレ-ル,35.902435,139.85791,緯度経度は怪しい
埼玉県,吉川市,6-2,深井新田2251番地,防火水槽敷地,35.906898,139.873672,緯度経度は怪しい
埼玉県,吉川市,6-3,上笹塚三丁目136番地1,東中学校正門西側植樹帯,35.9033869,139.8663953,
埼玉県,吉川市,6-4,上笹塚一丁目67番地1,屋外市民プ-ル正面入口東側フェンス,35.903038,139.858612,緯度経度は怪しい
埼玉県,吉川市,6-5,会野谷496番地,吉川市水道課事務所フェンス,35.89743,139.859802,緯度経度は怪しい
埼玉県,吉川市,6-6,関新田1118番地,県道三郷松伏線民家東側フェンス,35.899372,139.87001,緯度経度は怪しい
埼玉県,吉川市,6-7,平方新田1369番地2,平方新田集会所東側ブロック塀,35.897961,139.875397,緯度経度は怪しい
埼玉県,吉川市,7-1,中井二丁目47番地1,JAさいかつ三輪野江支店東側植樹帯,35.895267,139.861908,緯度経度は怪しい
埼玉県,吉川市,7-2,中井三丁目263付近,県道加藤平沼線(皿沼橋)北側フェンス,35.890347,139.870407,緯度経度は怪しい
埼玉県,吉川市,7-3,中島一丁目426番地,亀田屋商店南西側ガ-ドレ-ル,35.8811071,139.8718813,
埼玉県,吉川市,7-4,加藤438番地,東部市民サ-ビスセンタ-敷地内植樹帯,35.886379,139.879303,緯度経度は怪しい
埼玉県,吉川市,7-5,吉屋二丁目180番地,浄幽寺入口南側ブロック塀,35.890919,139.879715,緯度経度は怪しい
埼玉県,吉川市,7-6,吉屋707番地,礎電線入口西側水路フェンス,35.89323,139.881271,緯度経度は怪しい
埼玉県,吉川市,7-7,加藤635番地1,三輪野江小学校正門西側フェンス,35.8855629,139.883226,
埼玉県,吉川市,8-1,飯島30番地1,県道三郷松伏線東側路肩,35.880032,139.88295,緯度経度は怪しい
埼玉県,吉川市,8-2,土場161番地,土場集会所南側フェンス,35.876709,139.880707,緯度経度は怪しい
埼玉県,吉川市,8-3,三輪野江1371番地2,三輪神社東側フェンス,35.8757686,139.8840635,
埼玉県,吉川市,8-4,三輪野江1447番地,市道3-475民家付近防災倉庫前,35.873203,139.883316,緯度経度は怪しい
埼玉県,吉川市,8-5,三輪野江1928番地2,定勝寺入口信号南東側フェンス,35.870453,139.886063,緯度経度は怪しい
埼玉県,吉川市,8-6,三輪野江二丁目153番地,民家北側ブロック塀,35.868237,139.876251,緯度経度は怪しい
