prefecture,city,number,address,name,lat,long,note
埼玉県,吉見町,1-1,谷口96番地,元木商会東側交差点,36.039324,139.4657376,
埼玉県,吉見町,1-2,東野二丁目11番地,東野第一公園入口東側,36.0405393,139.4679347,
埼玉県,吉見町,1-3,東野三丁目15番地6,古名集会所東脇,36.0406311,139.472946,
埼玉県,吉見町,1-4,東野五丁目20番地1,東野ふれあいセンタ-入口,36.037693,139.4716932,
埼玉県,吉見町,1-5,丸貫328番地,牛見堂東側太陽光パネル前,36.0441605,139.4681924,
埼玉県,吉見町,1-6,下銀谷23番地1,下銀谷集会所前,36.031287,139.4685496,
埼玉県,吉見町,1-7,万光寺89番地,セブンイレブン吉見町東店交差点,36.0328109,139.473091,
埼玉県,吉見町,1-8,蚊斗谷71番地先,柴崎建設東側(土手下集積所),36.0361637,139.4860999,
埼玉県,吉見町,2-1,高尾新田154番地,照稲神社(高蓮集会所)東側,36.0334307,139.4930294,
埼玉県,吉見町,2-2,江和井1555番地,東第二小学校西側交差点,36.0259873,139.4938728,
埼玉県,吉見町,2-3,大串2843番地,荒川荘入口,36.0195343,139.4880282,
埼玉県,吉見町,2-4,江和井282番地5,荒井橋西交差点花壇,36.0202436,139.4962169,
埼玉県,吉見町,2-5,飯島新田706番地,飯島新田集会所南側,36.0242112,139.4825181,
埼玉県,吉見町,3-1,蚊斗谷132番地,東公民館入口,36.0322153,139.4840826,
埼玉県,吉見町,3-2,荒子479番地2,新荒子バス停留所(回転場),36.0220314,139.4769926,
埼玉県,吉見町,3-3,荒子758番地,上荒子バス停留所(集積所),36.0242319,139.4713943,
埼玉県,吉見町,3-4,大串2244番地,大串毘沙門公園東側,36.0223879,139.4687392,
埼玉県,吉見町,3-5,大串756番地1,大串登戸集会所南側,36.0270319,139.4632735,
埼玉県,吉見町,3-6,大串583番地1,大串交差点東側,36.0257318,139.4583344,
埼玉県,吉見町,4-1,前河内1番地,前河内日吉神社南側,36.0254928,139.4559486,
埼玉県,吉見町,4-2,前河内309番地1,南公民館入口,36.0264056,139.4528835,
埼玉県,吉見町,4-3,江綱727番地1,江綱集会所南側丁字路,36.0222504,139.4465719,
埼玉県,吉見町,4-4,久保田931番地1,消防団1-2詰所北側,36.0264969,139.4481221,
埼玉県,吉見町,4-5,江綱1270番地,(有)渡辺興業資材置場入口,36.0238977,139.4436823,
埼玉県,吉見町,4-6,南吉見1481番地1,江口集会所西側,36.0254068,139.4403034,
埼玉県,吉見町,4-7,久保田1110番地1,久保田中組公民館東側,36.0298185,139.4471075,
埼玉県,吉見町,5-1,久保田2435番地6,(株)仙台銘板入口,36.0335703,139.4494222,
埼玉県,吉見町,5-2,久保田1737番地,道の駅「いちごの里よしみ」バス停東側,36.0374078,139.4582974,
埼玉県,吉見町,5-3,下細谷411番地,吉見町役場東側,36.0394548,139.4539934,
埼玉県,吉見町,5-4,下細谷343番地,下細谷集会所北側,36.0413639,139.4509554,
埼玉県,吉見町,5-5,下細谷1番地,吉見中学校入口,36.0469409,139.4497328,
埼玉県,吉見町,5-6,久保田1725番地1,吉見ヶ丘団地公園,36.0365469,139.4556224,
埼玉県,吉見町,6-1,北吉見309番地1,百穴入口岩窟売店前回転場,36.0372299,139.4197847,
埼玉県,吉見町,6-2,北吉見765番地1,根古屋集会所前西側道路,36.0398528,139.4262057,
埼玉県,吉見町,6-3,南吉見2074番地3,西が丘小学校入口,36.0395205,139.4318414,
埼玉県,吉見町,6-4,南吉見511番地1,流川バス停前,36.0344663,139.4293634,
埼玉県,吉見町,6-5,南吉見1607番地1,亀の甲バス停前,36.0337739,139.4370314,
埼玉県,吉見町,6-6,久米田682番地1,明治牛乳販売所南側交差点,36.0357282,139.4404977,
埼玉県,吉見町,6-7,久米田194番地8,久米田バス停前,36.0356423,139.4458422,
埼玉県,吉見町,7-1,長谷1236番地41,ネオ通線手押信号機交差点(松ノ平入口),36.0546711,139.4229223,
埼玉県,吉見町,7-2,北吉見1340番地1,新吉見団地入口(集積所裏),36.0479051,139.4237305,
埼玉県,吉見町,7-3,北吉見1453番地1先,北向地蔵北側,36.0483092,139.4276932,
埼玉県,吉見町,7-4,北吉見1717番地1,西部ふれあいセンタ-入口,36.0496101,139.4253367,
埼玉県,吉見町,8-1,御所286番地1先,吉見観音入口東側,36.0516496,139.4402644,
埼玉県,吉見町,8-2,和名6番地1,西小学校入口(あいさつ坂入口),36.0499478,139.4343721,
埼玉県,吉見町,8-3,黒岩3番地3,八丁湖入口交差点南側,36.0496544,139.4442513,
埼玉県,吉見町,8-4,和名812番地,消防団2-3詰所西側,36.0435833,139.4456059,
埼玉県,吉見町,8-5,和名933番地,医療施設もえぎ野北側丁字路,36.0401413,139.4448467,
埼玉県,吉見町,8-6,北吉見2823番地,西公民館入口交差点,36.0456348,139.4365439,
埼玉県,吉見町,9-1,長谷868番地1,消防団2-1詰所前,36.0614507,139.4250876,
埼玉県,吉見町,9-2,長谷703番地1,大沼入口丁字路,36.059237,139.433301,
埼玉県,吉見町,9-3,田甲818番地4,小峰商店東側,36.0659772,139.4282306,
埼玉県,吉見町,9-4,田甲1105番地,田甲集会所東側,36.0679501,139.4319687,
埼玉県,吉見町,9-5,田甲1477番地先,福聚寺東側集積所付近,36.0721744,139.4310569,
埼玉県,吉見町,9-6,田甲1901番地,ポンポン山入口町営駐車場,36.0682907,139.436715,
埼玉県,吉見町,9-7,田甲1182番地297,前山団地交差点西側,36.063552,139.4318514,
埼玉県,吉見町,10-1,山ノ下820番地1,稲荷神社東側,36.0671737,139.4400416,
埼玉県,吉見町,10-2,中曽根255番地,中曽根集会所前,36.0762308,139.4435025,
埼玉県,吉見町,10-3,上砂522番地,上砂ごみ集積所付近,36.0718175,139.4487697,
埼玉県,吉見町,10-4,上砂284番地,上砂農村研修所前,36.071582,139.4525363,
