prefecture,city,number,address,name,lat,long,note
埼玉県,坂戸市,1-1,東坂戸一丁目1番,上谷小学校,35.951923,139.44371,緯度経度は怪しい
埼玉県,坂戸市,1-2,大字中小坂483番地1,輝自動車鈑金塗装脇,35.949158,139.444443,緯度経度は怪しい
埼玉県,坂戸市,1-3,大字中小坂763番地1,中小坂前窪レクリエ-ション施設,35.948112,139.438293,緯度経度は怪しい
埼玉県,坂戸市,1-4,大字中小坂896番地,永昌庵,35.947651,139.435898,緯度経度は怪しい
埼玉県,坂戸市,1-5,東坂戸一丁目652番地,東坂戸団地入口バス停留所脇,35.952766,139.441193,緯度経度は怪しい
埼玉県,坂戸市,1-6,東坂戸一丁目1番地,上谷小学校門脇,35.951923,139.44371,緯度経度は怪しい
埼玉県,坂戸市,1-7,東坂戸二丁目457番地,東坂戸団地バス停留所(北側)脇,35.954018,139.448029,緯度経度は怪しい
埼玉県,坂戸市,1-8,東坂戸二丁目211番地3,東坂戸駐在所前バス停留所前,35.954018,139.448029,緯度経度は怪しい
埼玉県,坂戸市,2-1,大字横沼268番地6,民家東側十字路,35.965862,139.450073,緯度経度は怪しい
埼玉県,坂戸市,2-2,大字紺屋421番地,小島屋酒店向側,35.957024,139.449051,緯度経度は怪しい
埼玉県,坂戸市,2-3,大字横沼153番地3,三芳野地域交流センタ-,35.964729,139.442017,緯度経度は怪しい
埼玉県,坂戸市,2-4,大字横沼389番地1,民家前,35.965916,139.445999,緯度経度は怪しい
埼玉県,坂戸市,2-5,大字小沼343番地,小沼バス停留所前,35.97213,139.438843,緯度経度は怪しい
埼玉県,坂戸市,2-6,大字青木501番地2,ニッカン工業(株)北側空き地,35.965801,139.435196,緯度経度は怪しい
埼玉県,坂戸市,2-7,大字青木746番地2,住吉中学校北側,35.966587,139.429428,緯度経度は怪しい
埼玉県,坂戸市,2-8,大字青木884番地1,青木バス停留所前,35.966454,139.433243,緯度経度は怪しい
埼玉県,坂戸市,3-1,大字島田70番地,民家東側,35.98632,139.408783,緯度経度は怪しい
埼玉県,坂戸市,3-2,大字赤尾1910番地3,赤尾レクリエ-ション施設,35.987267,139.434402,緯度経度は怪しい
