prefecture,city,number,address,name,lat,long,note
埼玉県,宮代町,1-1,字西原278,福祉交流館すてっぷ宮代,36.0095564,139.7267192,
埼玉県,宮代町,1-2,字山崎550-1,宮代第一中継ポンプ場正門脇,36.0151984,139.7267648,
埼玉県,宮代町,1-3,字山崎777-1,新しい村,36.0176136,139.7194938,
埼玉県,宮代町,1-4,字西原505-5,西原団地集会所,36.0134584,139.7144548,
埼玉県,宮代町,1-5,字中109,中集会所,36.0058184,139.7243693,
埼玉県,宮代町,1-6,字金原295,はらっパ-ク宮代,36.0050825,139.7178884,
埼玉県,宮代町,1-7,字山崎12,いきがい活動センタ-,36.0120176,139.7207166,
埼玉県,宮代町,1-8,字姫宮190-1,姫宮神社南側交差点付近(民家南側),36.0084474,139.7342943,
埼玉県,宮代町,2-1,字東668,姫宮保育園,36.003597,139.7335222,
埼玉県,宮代町,2-2,字東122-1,中寺集会所,36.0027885,139.7287904,
埼玉県,宮代町,2-3,字東411-4,東集会所,36.0017176,139.7322216,
埼玉県,宮代町,2-4,東姫宮1-688-222,ひめみや音楽院前,36.0056768,139.7356693,
埼玉県,宮代町,2-5,東姫宮1-1,姫宮駅西口ロ-タリ-,36.0039648,139.738601,
埼玉県,宮代町,2-6,東姫宮2-904-140,にじ広場,35.9998877,139.7386244,
埼玉県,宮代町,2-7,東姫宮2-11-24,姫宮南団地集会所西側フェンス,35.9992904,139.7373562,
埼玉県,宮代町,3-1,字川端647-3,川端公民館脇,36.0068511,139.7436124,
埼玉県,宮代町,3-2,字川端304-4,サ-パス宮代北側,36.0069598,139.7388131,
埼玉県,宮代町,3-3,川端1-332-23,姫宮駅東口,36.0041618,139.7391466,
埼玉県,宮代町,3-4,川端4-2-10,川端4交差点西側押しボタン信号付近(民家脇),36.0018434,139.7409948,
埼玉県,宮代町,3-5,川端3-4,川端広場,36.0037796,139.7412944,
埼玉県,宮代町,3-6,字宮東373-2,内野集会所,36.0141296,139.7458911,
埼玉県,宮代町,3-7,字宮東863,宮東テニスコ-ト,36.0097802,139.7480546,
埼玉県,宮代町,4-1,百間5-8-48,東小学校正門,36.0223453,139.7316521,
埼玉県,宮代町,4-2,字中島216,東小学校プ-ル前,36.0219199,139.7338318,
埼玉県,宮代町,4-3,字中島386-1,若宮集会所付近,36.0184733,139.7395208,
埼玉県,宮代町,4-4,百間2-2,赤羽医院前,36.0264264,139.7261223,
埼玉県,宮代町,4-5,百間2-6,佐藤質店前,36.0260829,139.7288544,
埼玉県,宮代町,4-6,百間5-1-29,百間公民館,36.023357,139.730209,緯度経度は怪しい
埼玉県,宮代町,4-7,字中島94,中須集会所,36.0169936,139.7356231,
埼玉県,宮代町,5-1,宮代3-7-38,百間中学校正門,36.0192948,139.7272763,
埼玉県,宮代町,5-2,宮代3-790-1,南彩農協宮代支店,36.019215,139.726013,緯度経度は怪しい
埼玉県,宮代町,5-3,字道佛2-12,道佛南公園,36.014408,139.733307,緯度経度は怪しい
埼玉県,宮代町,5-4,宮代2-1-33,東小学校分教場跡,36.0208018,139.729689,
埼玉県,宮代町,5-5,宮代1-7,地下道入口,36.0224159,139.7308201,
埼玉県,宮代町,5-6,字道佛1-6,きりかぶ公園,36.018196,139.732559,緯度経度は怪しい
埼玉県,宮代町,5-7,字宮代2-8-6,道佛集会所,36.017815,139.728027,緯度経度は怪しい
埼玉県,宮代町,6-1,笠原1-1-1,進修館脇(東武動物公園駅前通り),36.022561,139.7241129,
埼玉県,宮代町,6-2,笠原1-4-1,宮代町役場前,36.0227468,139.7223244,
埼玉県,宮代町,6-3,中央2-9-3,新道集会所,36.0232721,139.7270493,
埼玉県,宮代町,6-4,字百間1132-1,町立図書館駐車場前,36.018986,139.723404,緯度経度は怪しい
埼玉県,宮代町,6-5,中央1-701-4,東武動物公園駅西口ロ-タリ-,36.0244872,139.7255012,
埼玉県,宮代町,6-6,本田4-396-1,辰新田集会所,36.0241393,139.7206947,
埼玉県,宮代町,6-7,字百間1092-1,みやしろ保育園前,36.021237,139.7203162,
埼玉県,宮代町,7-1,学園台2-862-208,学園台集会所,36.0297228,139.713726,
埼玉県,宮代町,7-2,大字須賀1125-1,須賀集会所,36.0314201,139.7094485,
埼玉県,宮代町,7-3,学園台1-8,学園台宮前幼児公園(東武伊勢崎線脇),36.0297807,139.7168877,
埼玉県,宮代町,7-4,学園台2-1,学園台けやき公園(日本工業大学学友館裏),36.0284803,139.7162983,
埼玉県,宮代町,7-5,学園台3-8,学園台あおぎり公園(学園台3丁目内),36.0261359,139.7166598,
