prefecture,city,number,address,name,lat,long,note
埼玉県,幸手市,1-1,中3丁目5-32,masked,36.079149,139.7218758,
埼玉県,幸手市,1-2,中3丁目11-41,幸手小学校前,36.0754288,139.7219656,
埼玉県,幸手市,1-3,中2丁目7-2,県道幸手停車場線脇,36.0729198,139.7192799,
埼玉県,幸手市,1-4,中3-20,中3丁目児童公園,36.075115,139.721863,緯度経度は怪しい
埼玉県,幸手市,1-5,中1丁目18-11,天神神社前,36.0768121,139.7174916,
埼玉県,幸手市,1-6,中1丁目1-23,幸手駅東口駅前広場,36.0739512,139.7148675,
埼玉県,幸手市,1-7,中4丁目6,日第41号踏切道側,36.079075,139.715775,緯度経度は怪しい
埼玉県,幸手市,2-1,北1丁目2-31,宝持寺裏水路脇フェンス,36.0839332,139.7167737,
埼玉県,幸手市,2-2,北1丁目17-59,県立幸手桜高等学校脇フェンス南西側,36.0856032,139.7194517,
埼玉県,幸手市,2-3,北1丁目7-4,幸手中学校前,36.0818263,139.7191125,
埼玉県,幸手市,2-4,北1丁目10-28,ベルク北店内防火水槽脇,36.081681,139.7214978,
埼玉県,幸手市,2-5,北2丁目10-10,県道さいたま幸手線脇,36.0855057,139.7215751,
埼玉県,幸手市,2-6,北2丁目17-7,共和タクシ-前,36.083924,139.7233278,
埼玉県,幸手市,2-7,北1丁目17-59,県立幸手桜高等学校グラウンド裏フェンス北東側,36.0856032,139.7194517,
埼玉県,幸手市,3-1,外国府間679,国道4号外国府間信号機西側先,36.103519,139.723923,緯度経度は怪しい
埼玉県,幸手市,3-2,高須賀445-1,行幸橋バス停側,36.09704070000001,139.7207585,
埼玉県,幸手市,3-3,高須賀96,常福寺前ガ-ドレ-ル,36.095387,139.71669,緯度経度は怪しい
埼玉県,幸手市,3-4,松石11-2,松石集会所前,36.097298,139.708923,緯度経度は怪しい
埼玉県,幸手市,3-5,円藤内479,行幸小学校前,36.0943884,139.7099297,
埼玉県,幸手市,3-6,千塚238-15,マルコ-ストア側,36.0900461,139.7099208,
埼玉県,幸手市,3-7,千塚909-2,セブンイレブン幸手千塚店側,36.0907857,139.7022817,
埼玉県,幸手市,4-1,西2丁目11-7,ひまわり歯科医院東側先,36.0859482,139.7149776,
埼玉県,幸手市,4-2,西1丁目11-18,新井庫三商店倉庫前,36.08293889999999,139.7154418,
埼玉県,幸手市,4-3,下川崎391-2,西中学校前,36.0826,139.706039,緯度経度は怪しい
埼玉県,幸手市,4-4,下川崎225-2,安楽院東側ガ-ドレ-ル,36.0838219,139.7041489,
埼玉県,幸手市,4-5,中川崎364-1,川崎公会堂前,36.079552,139.702545,緯度経度は怪しい
埼玉県,幸手市,4-6,中5丁目21,県道幸手久喜線幸橋側信号機西側先,36.0769458,139.7069238,
埼玉県,幸手市,4-7,中5丁目4-51,牛村病院前フェンス,36.0780088,139.7143655,
埼玉県,幸手市,4-8,下川崎242,長倉小学校横フェンス,36.0858744,139.7092674,
埼玉県,幸手市,5-1,香日向4丁目5-2,幸手市コミュニティセンタ-正面入口,36.0870697,139.7022888,
埼玉県,幸手市,5-2,香日向4丁目5-1,旧香日向小学校前,36.087594,139.7013086,
埼玉県,幸手市,5-3,香日向1丁目16,中央通りイト-ピアホ-ムサ-ビス反対側,36.086514,139.699768,緯度経度は怪しい
埼玉県,幸手市,5-4,香日向3丁目13,千塚西公園中央通り沿い,36.0882052,139.6952855,
埼玉県,幸手市,5-5,香日向2丁目26,かえで通り突当たり市道739号,36.08493,139.695145,緯度経度は怪しい
埼玉県,幸手市,5-6,香日向1丁目19,ゆりのき通り突当たり市道739号,36.084908,139.698669,緯度経度は怪しい
埼玉県,幸手市,5-7,香日向2丁目7,中川崎公園北側,36.0855278,139.6969607,
埼玉県,幸手市,6-1,南3丁目5,幸手駅西口駅前広場,36.0742379,139.7144341,
埼玉県,幸手市,6-2,南2丁目2-37,南2丁目幼児公園側,36.0710516,139.7121747,
埼玉県,幸手市,6-3,南2丁目8-1,まちづくり事業課事務所脇,36.0682319,139.7103519,
埼玉県,幸手市,6-4,上高野778,マルエツ幸手上高野店4号沿い,36.067017,139.716202,緯度経度は怪しい
埼玉県,幸手市,6-5,上高野1194,南公民館前,36.0620549,139.7132289,
埼玉県,幸手市,6-6,南1丁目9-8,前田食品倉庫前,36.0714719,139.7176537,
埼玉県,幸手市,6-7,上高野1丁目4,調節池フェンス,36.066006,139.719666,緯度経度は怪しい
埼玉県,幸手市,6-8,上高野1308-1,ジョイフル本田駐車場フェンス,36.061119,139.716187,緯度経度は怪しい
埼玉県,幸手市,7-1,幸手5270-1,田沼駐車場前フェンス,36.063004,139.721771,緯度経度は怪しい
埼玉県,幸手市,7-2,緑台1丁目17,東武上高野小公園前,36.064739,139.7218559,
埼玉県,幸手市,7-3,緑台1丁目49,東武中央公園前,36.0647835,139.7240906,
埼玉県,幸手市,7-4,東1丁目11-19,スカイフ-ズ西側先,36.0689729,139.7207864,
埼玉県,幸手市,7-5,緑台1丁目24,幸手東交番北側先,36.067665,139.724548,緯度経度は怪しい
埼玉県,幸手市,7-6,緑台2丁目1-7,中央公民館脇,36.0691187,139.7263244,
埼玉県,幸手市,7-7,緑台2丁目5-25,図書館前,36.0680552,139.7283884,
埼玉県,幸手市,8-1,東2丁目8-10,ビッグエ-駐車場フェンス,36.0696456,139.7243686,
埼玉県,幸手市,8-2,東2丁目24-15,農協低温常温倉庫前,36.0733107,139.7240051,
埼玉県,幸手市,8-3,東2丁目36-24,幸手耳鼻咽喉科駐車場反対側,36.0717838,139.7272594,
埼玉県,幸手市,8-4,幸手1958-1,児童館前,36.0715659,139.7296584,
埼玉県,幸手市,8-5,幸手1961-2,日本保健医療大学北キャンパス前,36.0726073,139.7308351,
埼玉県,幸手市,8-6,東3丁目8-3,幸手商工会前,36.0752195,139.7241304,
埼玉県,幸手市,8-7,東3丁目16-6,グル-プホ-ムフロ-ラ幸手南側先,36.076078,139.7267751,
埼玉県,幸手市,9-1,東4丁目25,東第2公園前,36.0761238,139.7291988,
埼玉県,幸手市,9-2,東4丁目6-8,市役所南側,36.0780995,139.7258312,
埼玉県,幸手市,9-3,東4丁目6-8,市役所前,36.0780995,139.7258312,
埼玉県,幸手市,9-4,東4丁目28-13,東4丁目交差点しだれ桜前,36.0780796,139.72972,
埼玉県,幸手市,9-5,東5丁目20,東5丁目2区公園前,36.079502,139.729675,緯度経度は怪しい
埼玉県,幸手市,9-6,東5丁目12,東5丁目遊水池前,36.079769,139.728149,緯度経度は怪しい
埼玉県,幸手市,9-7,東5丁目3-27,東5-2町内会館南側先,36.0806316,139.7256905,
埼玉県,幸手市,10-1,権現堂3051-2,メゾンドスリジエ東側,36.088745,139.728119,緯度経度は怪しい
埼玉県,幸手市,10-2,北3丁目9-5,北3丁目集会所前,36.0866513,139.726151,
埼玉県,幸手市,10-3,北3丁目6,権現堂河岸前ガ-ドレ-ル,36.086548,139.729752,緯度経度は怪しい
埼玉県,幸手市,10-4,権現堂117,中田商会西側先,36.088745,139.728119,緯度経度は怪しい
埼玉県,幸手市,10-5,権現堂180,権現堂集落農業センタ-前ガ-ドレ-ル,36.083488,139.73381,緯度経度は怪しい
埼玉県,幸手市,10-6,内国府間867,北公民館前,36.0914183,139.7224338,
埼玉県,幸手市,10-7,内国府間641,関東梯子(株),36.088688,139.7207313,
埼玉県,幸手市,11-1,上吉羽1054-1,権現堂第一揚水機場北先,36.0801193,139.7386768,
埼玉県,幸手市,11-2,上吉羽715,岡田自動車販売前民家前,36.076454,139.737717,緯度経度は怪しい
埼玉県,幸手市,11-3,神明内570,権現堂川小学校前,36.0746729,139.7428748,
埼玉県,幸手市,11-4,神明内1466,神明内集会所前,36.0718244,139.7444637,
埼玉県,幸手市,11-5,木立1513,老人福祉センタ-前,36.0729522,139.7499703,
埼玉県,幸手市,11-6,神明内184,市営サッカ-場前,36.0742449,139.7434881,
埼玉県,幸手市,11-7,木立1779-5,ひばりヶ丘桜泉園前,36.085006,139.7475026,
埼玉県,幸手市,11-8,木立328,(株)東久前フェンス,36.0787838,139.7520169,
埼玉県,幸手市,12-1,上宇和田382-1,上宇和田バス停前,36.075836,139.764236,緯度経度は怪しい
埼玉県,幸手市,12-2,中島154-2,中島集会所前,36.079269,139.776947,緯度経度は怪しい
埼玉県,幸手市,12-3,下吉羽201-5,香取神社参道,36.070423,139.764099,緯度経度は怪しい
埼玉県,幸手市,12-4,下吉羽399,吉羽バス停北側先,36.0651205,139.76407,
埼玉県,幸手市,12-5,惣新田2600,中島土地改良区事務所前,36.0622235,139.7648128,
埼玉県,幸手市,12-6,下宇和田1228,東公民館東側入口,36.070045,139.767365,緯度経度は怪しい
埼玉県,幸手市,12-7,惣新田2176,喜光工業資材置場前フェンス,36.0779241,139.7710135,
埼玉県,幸手市,12-8,惣新田1212,旧吉田幼稚園前,36.0779241,139.7710135,
埼玉県,幸手市,12-9,惣新田1965,国道4号バイパス芝原交差点西側先,36.0779241,139.7710135,
埼玉県,幸手市,13-1,中野569-2,県道惣新田幸手線埼葛広域農道交差点脇,36.057968,139.758408,緯度経度は怪しい
埼玉県,幸手市,13-2,平野294,第二浄水場前(水道部),36.061329,139.758011,緯度経度は怪しい
埼玉県,幸手市,13-3,平須賀2414,市民文化体育館前,36.06741,139.736496,緯度経度は怪しい
埼玉県,幸手市,13-4,神扇1581,神扇天神八幡神社,36.0604217,139.7483205,
埼玉県,幸手市,13-5,平須賀394,八代小学校前,36.057831,139.735199,緯度経度は怪しい
埼玉県,幸手市,13-6,戸島321,旧消防団機具庫,36.0510647,139.7415233,
埼玉県,幸手市,13-7,平須賀2丁目489,日本保健医療大学南キャンパス前,36.0586535,139.7293792,
埼玉県,幸手市,13-8,天神島254,トット保育園,36.0650127,139.7275497,
埼玉県,幸手市,13-9,戸島見立2945-1,水路橋上,36.049633,139.732971,緯度経度は怪しい
埼玉県,幸手市,14-1,栄2番90,さかえ小学校裏,36.0607645,139.7216264,
埼玉県,幸手市,14-2,栄1番8,栄1-8号棟前,36.059402,139.719986,緯度経度は怪しい
埼玉県,幸手市,14-3,栄2番10,栄2-10号棟前(公園脇),36.0586998,139.7207981,
埼玉県,幸手市,14-4,栄3番9,栄3-9号棟集会所前,36.0567632,139.7204899,
埼玉県,幸手市,14-5,栄6番9,栄6-9号棟前,36.0537753,139.7202433,
埼玉県,幸手市,14-6,栄4番15,栄4-15号棟斜め前,36.0552244,139.7211538,
埼玉県,幸手市,14-7,吉野41-8-4,中継ポンプ場前,36.059288,139.725342,緯度経度は怪しい
