prefecture,city,number,address,name,lat,long,note
埼玉県,東松山市,1-1,松葉町1丁目1番58号,市役所本庁舎東側植込み,36.042066,139.400508,
埼玉県,東松山市,1-2,松葉町1丁目1番16号,松山第一小学校北側フェンス,36.042893,139.3988738,
埼玉県,東松山市,1-3,本町1丁目3番36号先,上沼公園西側、上沼旅館北,36.043514,139.404439,
埼玉県,東松山市,1-4,本町1丁目4番17号先,上沼公園北東側,36.04428,139.405337,
埼玉県,東松山市,1-5,加美町12番2号,加美町自治会公会堂,36.047162,139.40504,
埼玉県,東松山市,1-6,小松原町6番地,小松原町公園南側,36.04525,139.407856,
埼玉県,東松山市,1-7,小松原町16番地,諏訪公園南側,36.044182,139.410723,
埼玉県,東松山市,2-1,材木町5番12号先,東松山市文書庫南側,36.038618,139.403262,
埼玉県,東松山市,2-2,材木町6番18号先,材木町第一公園西側,36.040807,139.400964,緯度経度は怪しい
埼玉県,東松山市,2-3,材木町1番24号,市役所立体駐車場北側,36.04102,139.404633,緯度経度は怪しい
埼玉県,東松山市,2-4,松葉町1丁目26番,八幡神社付近庚申塔西側,36.041289,139.403311,
埼玉県,東松山市,2-5,材木町1番24号,市役所立体駐車場西側,36.041595,139.401019,緯度経度は怪しい
埼玉県,東松山市,2-6,材木町23番2号先,東松山市商工会駐車場入口,36.0402337,139.3979779,
埼玉県,東松山市,2-7,材木町1番13号,(株)大丸縫製西側,36.0413904,139.4008775,
埼玉県,東松山市,3-1,本町2丁目10番10号先,下沼公園東側,36.03769,139.406111,
埼玉県,東松山市,3-2,箭弓町1丁目19番19号先,東電箭弓変電所北側,36.033877,139.404157,
埼玉県,東松山市,3-3,神明町2丁目5番7号先,しんめい広場北側,36.032853,139.407495,
埼玉県,東松山市,3-4,箭弓町1丁目7番先,箭弓町第一公園東側(税務署前),36.036613,139.403776,
埼玉県,東松山市,3-5,箭弓町1丁目7番先,箭弓町第一公園西側,36.036419,139.40294,
埼玉県,東松山市,3-6,箭弓町1丁目5339番地3,東松山駅東口ロータリー南東側(植え込み),36.034441,139.402366,緯度経度は怪しい
埼玉県,東松山市,3-7,箭弓町1丁目5258番地1,箭弓町広場(ピオパーク)南側(植え込み),36.0368019,139.4014438,緯度経度は怪しい
埼玉県,東松山市,4-1,松本町1丁目542番地4,ポケットパーク北側,36.0406802,139.4072233,緯度経度は怪しい
埼玉県,東松山市,4-2,松本町1丁目4695番地11,松本町一丁目緑地南側,36.037504,139.40907,緯度経度は怪しい
埼玉県,東松山市,4-3,御茶山町7番地3,すぱーく東松山西側,36.035191,139.409362,
埼玉県,東松山市,4-4,六反町4番地,東中学校南側(正門西),36.034782,139.41365,緯度経度は怪しい
埼玉県,東松山市,4-5,六反町12番地,六反町児童公園西側,36.035288,139.415288,緯度経度は怪しい
埼玉県,東松山市,4-6,松本町1丁目9番9号先,松山市民活動センター駐車場北側,36.039064,139.410218,
埼玉県,東松山市,4-7,砂田町7番地,砂田第2公園北側,36.041805,139.413441,緯度経度は怪しい
埼玉県,東松山市,5-1,松葉町2丁目6番11号,松山中学校南側,36.041588,139.397251,
埼玉県,東松山市,5-2,松葉町2丁目6番11号,松山中学校北側,36.042713,139.397128,
埼玉県,東松山市,5-3,松葉町2丁目5番36号,県営滝の本団地北側,36.041358,139.39485,
埼玉県,東松山市,5-4,松葉町2丁目4番56号,東和銀行森林公園出張所西側,36.045023,139.3910879,
埼玉県,東松山市,5-5,松葉町3丁目11番15号,(有)武蔵スバル商会東側フェンス,36.0391614,139.3927649,
埼玉県,東松山市,5-6,松葉町2丁目10番24号,masked,36.043916,139.39562,
埼玉県,東松山市,5-7,松山町2丁目1番17号,masked,36.042046,139.390451,
埼玉県,東松山市,6-1,松山町1丁目6番10号,松山高等学校南側(正門西),36.044635,139.396682,
埼玉県,東松山市,6-2,松山町3丁目5番53号先,市ノ川公会堂北側,36.047924,139.392956,
埼玉県,東松山市,6-3,松山町2丁目6番22号先,前山公園北側,36.04579,139.388422,
埼玉県,東松山市,6-4,松山町2丁目7番48号,masked,36.045051,139.387418,
埼玉県,東松山市,6-5,大字市ノ川649番地1,市ノ川氷川公園北側,36.0485696,139.3931535,緯度経度は怪しい
埼玉県,東松山市,6-6,大字市ノ川569番地1,市の川通線第一公園北側フェンス,36.0486441,139.3903513,緯度経度は怪しい
埼玉県,東松山市,6-7,松山町1丁目15番41号先,いちのかわ保育園駐車場東側,36.047701,139.397182,
埼玉県,東松山市,7-1,美原町1丁目12番,加美町公園南側,36.047275,139.404124,緯度経度は怪しい
埼玉県,東松山市,7-2,大字松山2416番地8,市民病院駐車場東側,36.053722,139.406912,緯度経度は怪しい
埼玉県,東松山市,7-3,大字松山1804番地59,白坂団地内児童公園南側,36.055551,139.404041,緯度経度は怪しい
埼玉県,東松山市,7-4,大字松山1895番地2,北中学校南側フェンス,36.057906,139.400472,
埼玉県,東松山市,7-5,大字野田457番地3,野田自治会館,36.059162,139.38897,緯度経度は怪しい
埼玉県,東松山市,7-6,大字野田1306番地1,県立東松山特別支援学校東側,36.053248,139.386392,緯度経度は怪しい
埼玉県,東松山市,7-7,大字市ノ川30番地,市の川小学校南側フェンス,36.0509649,139.3985072,緯度経度は怪しい
埼玉県,東松山市,8-1,御茶山町12番地,御茶山町児童公園西側,36.034258,139.410171,緯度経度は怪しい
埼玉県,東松山市,8-2,御茶山町14番地14,東松山市民文化センター駐車場東側,36.033834,139.411844,緯度経度は怪しい
埼玉県,東松山市,8-3,六軒町12番地7,福島駐車場北側,36.034558,139.416719,
埼玉県,東松山市,8-4,五領町14番地3,県営五領団地3号棟北側,36.031752,139.418264,
埼玉県,東松山市,8-5,五領町8番地,五領町近隣公園北側,36.031798,139.415137,緯度経度は怪しい
埼玉県,東松山市,8-6,五領町8番地,五領町近隣公園南側,36.030471,139.416528,緯度経度は怪しい
埼玉県,東松山市,8-7,御茶山町19番地4,masked,36.03258,139.40879,緯度経度は怪しい
埼玉県,東松山市,9-1,大字柏崎710番地1,masked,36.02578,139.418086,緯度経度は怪しい
埼玉県,東松山市,9-2,山崎町21番地,東松山市上下水道庁舎東側,36.0265278,139.4267819,緯度経度は怪しい
埼玉県,東松山市,9-3,大字柏崎182番地1,(株)タカハシ北側空き地,36.023838,139.426435,緯度経度は怪しい
埼玉県,東松山市,9-4,山崎町11番地,山崎町児童公園北側,36.029216,139.424313,緯度経度は怪しい
埼玉県,東松山市,9-5,五領町12番地89先(12-97),五領町北児童公園北東側,36.030188,139.417463,
埼玉県,東松山市,9-6,新宿町21番地,新宿町児童公園東側,36.03228,139.421764,緯度経度は怪しい
埼玉県,東松山市,9-7,新宿町14番地,新宿小学校西側(正門南),36.033105,139.419154,緯度経度は怪しい
埼玉県,東松山市,10-1,箭弓町1丁目5292番地2,東松山駅西口駅舎西側,36.034721,139.401297,緯度経度は怪しい
