prefecture,city,number,address,name,lat,long,note
埼玉県,松伏町,1-1,田中3-29-1,田中第一公園北側,35.920273,139.806747,緯度経度は怪しい
埼玉県,松伏町,1-2,田中1-22-1,田中第三公園南側,35.922314,139.810577,緯度経度は怪しい
埼玉県,松伏町,1-3,田中1-4-6,松伏第二小学校西側,35.92543,139.813461,緯度経度は怪しい
埼玉県,松伏町,1-4,田中3-20-1,田中第二公園北側,35.923325,139.806763,緯度経度は怪しい
埼玉県,松伏町,1-5,田中1-12-6,前野ハイツ前,35.923843,139.811737,緯度経度は怪しい
埼玉県,松伏町,1-6,松伏3084-1,レオネクストSeason前,35.919445,139.812653,緯度経度は怪しい
埼玉県,松伏町,1-7,田中2-13,田中第四公園北側,35.925182,139.809814,緯度経度は怪しい
埼玉県,松伏町,2-1,大字松伏2838-1,内前野会館前,35.921513,139.815247,緯度経度は怪しい
埼玉県,松伏町,2-2,田中1-1-1,松伏交番裏,35.927017,139.814987,緯度経度は怪しい
埼玉県,松伏町,2-3,大字松伏2424,役場正門,35.926071,139.815536,緯度経度は怪しい
埼玉県,松伏町,2-4,大字松伏3164-4,内前野交差点西側,35.921207,139.813858,緯度経度は怪しい
埼玉県,松伏町,2-5,大字松伏2489-1,内前野公園,35.922352,139.816223,緯度経度は怪しい
埼玉県,松伏町,2-6,松伏3091,共栄フ-ド冷凍倉庫向かい水路沿い,35.919445,139.812653,緯度経度は怪しい
埼玉県,松伏町,2-7,上赤岩1217-1,内前野真空ステ-ション前,35.920128,139.817734,緯度経度は怪しい
埼玉県,松伏町,3-1,松葉1-7-1,栃木銀行付近,35.927319,139.822922,緯度経度は怪しい
埼玉県,松伏町,3-2,大字松伏2255,かがり火公園南側,35.929237,139.817673,緯度経度は怪しい
埼玉県,松伏町,3-3,松伏1985,いしい歯科医院前,35.925503,139.818375,緯度経度は怪しい
埼玉県,松伏町,3-4,松葉1-6-3,松伏町児童館ちびっ子らんど北側,35.926994,139.82193,緯度経度は怪しい
埼玉県,松伏町,3-5,大字松伏840-1,松本農機南側水路沿い,35.918854,139.811417,緯度経度は怪しい
埼玉県,松伏町,3-6,松葉1-5-3,いなげや西側交差点植込み,35.926533,139.822357,緯度経度は怪しい
