prefecture,city,number,address,name,lat,long,note
埼玉県,熊谷市,1-1,仲町19番地,市民ホール 南側,36.1472844,139.3827316,
埼玉県,熊谷市,1-2,仲町67番地1,八木橋百貨店 東側,36.1455289,139.3823331,
埼玉県,熊谷市,1-3,本町1丁目12番地,千形児童遊園 西側,36.1459005,139.3844501,
埼玉県,熊谷市,1-4,本町2丁目68番地,コミュニティひろば 南西側,36.1440246,139.3866025,
埼玉県,熊谷市,1-5,本町2丁目6番地,コミュニティひろば 駐車場 東側,36.1445913,139.3876018,
埼玉県,熊谷市,1-6,宮町2丁目39番地1,市役所前,36.1467031,139.3883555,
埼玉県,熊谷市,1-7,宮町2丁目37番地2,中央公園 北側,36.1484453,139.3909274,
埼玉県,熊谷市,2-1,鎌倉町248番地,星川 北側,36.1438722,139.3827278,
埼玉県,熊谷市,2-2,鎌倉町138番地,星川 南側,36.1438059,139.3827233,
埼玉県,熊谷市,2-3,星川1丁目28番地,星川 北側,36.1430038,139.3856241,
埼玉県,熊谷市,2-4,星川1丁目38番地,星川 南側,36.1429417,139.3855938,
埼玉県,熊谷市,2-5,本町1丁目174番地,市営本町駐車場 南側,36.1440503,139.3842819,
埼玉県,熊谷市,2-6,本町1丁目174番地,市営本町駐車場 北側,36.1444773,139.3845265,
埼玉県,熊谷市,2-7,鎌倉町41番地,鎌倉陸橋高架下 子供広場 東側,36.1437384,139.3808014,
埼玉県,熊谷市,3-1,中西4丁目2535番地1,土地区画整理事務所管理地,36.1490664,139.3981149,
埼玉県,熊谷市,3-2,中西4丁目2524番地7,土地区画整理事務所北,36.1481788,139.3995713,
埼玉県,熊谷市,3-3,末広3丁目4番1号,熊谷東小学校 西側,36.1454622,139.3954468,
埼玉県,熊谷市,3-4,末広3丁目4番1号,熊谷東小学校 南側,36.1446933,139.3959162,
埼玉県,熊谷市,3-5,末広4丁目4番22号,銀座保育所 北側,36.1459439,139.3996444,
埼玉県,熊谷市,3-6,末広4丁目14番1号,(株)リケン 北側,36.1448679,139.3994741,
埼玉県,熊谷市,3-7,上之2589番地1,(有)三協自動車整備工場 西側,36.1468984,139.4048721,
埼玉県,熊谷市,4-1,末広2丁目131番地,熊谷女子高校 北側,36.145444,139.3922431,
埼玉県,熊谷市,4-2,末広2丁目121番地,熊谷女子高校 テニスコート 東南側,36.1450411,139.3937237,
埼玉県,熊谷市,4-3,末広2丁目131番地,熊谷女子高校 西側,36.1446643,139.3913795,
埼玉県,熊谷市,4-4,末広2丁目131番地,熊谷女子高校 南側,36.1439278,139.3920232,
埼玉県,熊谷市,4-5,末広2丁目133番地,埼玉県産業技術総合センター北部研究所 南側,36.1434285,139.393852,
埼玉県,熊谷市,4-6,筑波3丁目21番地5,星川 北側,36.141179,139.3915925,
埼玉県,熊谷市,4-7,筑波3丁目73番地,星川 南側,36.1411209,139.3915722,
埼玉県,熊谷市,5-1,銀座3丁目1番地,東公園 南側,36.142437,139.3955505,
埼玉県,熊谷市,5-2,銀座3丁目1番地,東公園 東側,36.1426666,139.3959609,
埼玉県,熊谷市,5-3,銀座2丁目137番地,駅東第1公園,36.1384149,139.3962514,
埼玉県,熊谷市,5-4,銀座4丁目701番地42,熊谷南団地子供広場,36.1389753,139.3985286,
埼玉県,熊谷市,5-5,銀座7丁目154番地,駅東第3公園 西側,36.1362597,139.3990133,
埼玉県,熊谷市,5-6,銀座7丁目286番地,駅東第4公園 北側,36.1357364,139.3991715,
埼玉県,熊谷市,5-7,銀座6丁目9番地,平戸中継ポンプ場 西側,36.1388183,139.4015976,
埼玉県,熊谷市,6-1,伊勢町104番地,伊勢町ふれあい公園 西側,36.1448726,139.3720704,
埼玉県,熊谷市,6-2,宮本町98番地1,鎌倉陸橋高架下 南子供広場 西側,36.1424307,139.3802758,
埼玉県,熊谷市,6-3,伊勢町113番地,伊勢町ふれあい公園 東側,36.1444134,139.3736208,
埼玉県,熊谷市,6-4,見晴町460番地,見晴公園 北側,36.1411117,139.3731434,
埼玉県,熊谷市,6-5,見晴町430番地,荒川土手,36.1393664,139.3753554,
埼玉県,熊谷市,6-6,榎町343番地,熊谷南小学校 西側,36.1389529,139.37842,
埼玉県,熊谷市,6-7,榎町343番地,熊谷南小学校 北側(正門東),36.1393861,139.3796002,
埼玉県,熊谷市,7-1,桜町1丁目6番地10,熊谷地方気象台 南側,36.1499734,139.3804863,
埼玉県,熊谷市,7-2,本石1丁目10番地,本石公園 北側,36.14887,139.3795046,
埼玉県,熊谷市,7-3,本石1丁目10番地,本石公園 南側,36.1485473,139.3793061,
埼玉県,熊谷市,7-4,本石2丁目137番地1,イオン 北側 駐車場入口,36.1461489,139.3773051,
埼玉県,熊谷市,7-5,本石2丁目150番地1,イオン 東南側 駐車場入口,36.1452306,139.3796037,
埼玉県,熊谷市,7-6,本石2丁目135番地2,イオン 南側 植木場,36.1446721,139.3794126,
埼玉県,熊谷市,7-7,本石2丁目135番地2,イオン 西側 植木場,36.1456749,139.377299,
埼玉県,熊谷市,8-1,桜町2丁目8番15号,東京電力(株)熊谷変電所 南側,36.1519031,139.3813222,
埼玉県,熊谷市,8-2,石原3丁目1番地1,石原小学校 西側,36.1516089,139.376392,
埼玉県,熊谷市,8-3,石原3丁目1番地1,石原小学校 北側,36.1524384,139.377422,
埼玉県,熊谷市,8-4,石原1丁目132番地,日産サティオ埼玉北販売(株) 北側,36.1522411,139.3734409,
埼玉県,熊谷市,8-5,石原1750番地19,かめの道遊歩道 東側,36.1488255,139.3714468,
埼玉県,熊谷市,8-6,石原2026番地1,かめの道遊歩道 東側,36.1470213,139.3722193,
埼玉県,熊谷市,8-7,石原1652番地,石原公園 北側,36.1486068,139.37212,
埼玉県,熊谷市,9-1,石原1134番地24,石原羽黒子供公園広場 東側,36.1533916,139.3660089,
埼玉県,熊谷市,9-2,石原1531番地,民家前 南側,36.1481485,139.3688772,
