prefecture,city,number,address,name,lat,long,note
埼玉県,狭山市,1-1,狭山31番2号,入間第二用水路,35.8679688,139.4167874,
埼玉県,狭山市,1-2,狭山1885番地1,峰公園東側,35.8644147,139.4192342,
埼玉県,狭山市,1-3,狭山9番8号,峰公民館内,35.8646537,139.4186475,
埼玉県,狭山市,1-4,狭山565番地6,粕谷自動車北側畑,35.8668078,139.4198913,
埼玉県,狭山市,1-5,狭山709番地3,県道126号と交差する西武新宿線北側,35.8669645,139.4241013,
埼玉県,狭山市,1-6,狭山19番16号,グリューネンラオム狭山6号棟東側,35.8678582,139.4219243,
埼玉県,狭山市,1-7,狭山1885番地1,峰公園西側,35.8642516,139.4188694,
埼玉県,狭山市,2-1,入間川2丁目32番7号,市民会館入口交差点、南東側歩道植込,35.8633264,139.4080578,
埼玉県,狭山市,2-2,入間川2丁目23番32号,菅一自治会館南側,35.8606621,139.4084032,
埼玉県,狭山市,2-3,入間川2丁目33番1号,市民会館西側,35.8620729,139.4092032,
埼玉県,狭山市,2-4,入間川2丁目7番23号,入間川東小学校西側,35.8598724,139.4129993,
埼玉県,狭山市,2-5,入間川2丁目2番25号,中央図書館南側,35.8583269,139.4113297,
埼玉県,狭山市,2-6,入間川3丁目3533番地2,狭山市中央公共駐車場北側,35.8584448,139.408468,
埼玉県,狭山市,2-7,入間川2丁目7番41号,入間川幼稚園,35.8595262,139.4145001,
埼玉県,狭山市,3-1,入間川3丁目4465番地,入間川第3子供広場,35.8547546,139.4045721,
埼玉県,狭山市,3-2,入間川4丁目16番4号,コミュニティセンター前,35.8537554,139.402639,
埼玉県,狭山市,3-3,入間川3丁目3897番地,入間川第1子供広場,35.8559666,139.4075641,
埼玉県,狭山市,3-4,入間川4丁目14番8号,中央児童館東側,35.8517248,139.4017414,
埼玉県,狭山市,3-5,入間川3丁目35番9号,下諏訪自治会館広場,35.8571798,139.402896,
埼玉県,狭山市,3-6,稲荷山1丁目38番地1,稲荷山公園踏切前植込,35.845426,139.3982927,
