prefecture,city,number,address,name,lat,long,note
埼玉県,皆野町,1-1,大字下田野1078番地2,下田野公会堂裏,36.0833261,139.1169631,
埼玉県,皆野町,1-2,大字下田野933番地2,赤城神社入口,36.0826324,139.1188822,
埼玉県,皆野町,1-3,大字皆野2864番地1,皆野長瀞インタ-入口交差点,36.0754173,139.1154314,
埼玉県,皆野町,1-4,大字皆野2754番地3,上田治療院横,36.0776963,139.1095486,
埼玉県,皆野町,1-5,大字皆野2465番地1,親鼻駅入口交差点,36.0785944,139.1057758,
埼玉県,皆野町,1-6,大字皆野2335番地2,黒沢鉄工事務所横,36.0777961,139.1033164,
埼玉県,皆野町,1-7,大字皆野2228番地1,皆野総合センタ-入口,36.0785842,139.0979009,
埼玉県,皆野町,1-8,大字皆野1798番地1,皆野交番裏通り交差点,36.075143,139.1052051,
埼玉県,皆野町,2-1,大字皆野1348番地1,皆野小学校前,36.0733795,139.0993811,
埼玉県,皆野町,2-2,大字皆野1420番地1,皆野町役場庁舎前,36.0713549,139.0980586,
埼玉県,皆野町,2-3,大字皆野1097番地,JAちちぶアグリホ-ル皆野駐車場前,36.0694186,139.0925758,
埼玉県,皆野町,2-4,大字皆野967番地1,町バス発着所横,36.0690892,139.0950335,
埼玉県,皆野町,2-5,大字皆野951番地1,小林時計店前,36.067239,139.0926511,
埼玉県,皆野町,2-6,大字皆野1522番地,腰道蓑山参道根岸側,36.0665733,139.100001,
埼玉県,皆野町,2-7,大字皆野535番地4,町田鉄工所ガス貯蔵庫前,36.064895,139.0949811,
埼玉県,皆野町,3-1,大字金崎62番地1,設楽商店跡地横,36.0833464,139.1098531,
埼玉県,皆野町,3-2,大字金崎230番地1,旧焼き鳥やまぶき横,36.0836232,139.1046591,
埼玉県,皆野町,3-3,大字国神652番地1,琴平神社入口信号機横,36.0789225,139.0921176,
埼玉県,皆野町,3-4,大字国神828番地2,石黒石材先,36.0828821,139.0841425,
埼玉県,皆野町,3-5,大字大渕280番地,皆野町消防団第二分団詰所入口,36.0743576,139.08917,
埼玉県,皆野町,3-6,大字大渕430番地,大渕交差点,36.0696052,139.085392,
埼玉県,皆野町,3-7,大字野巻89番地,万作ぶどう園販売所横,36.0649446,139.0736008,
埼玉県,皆野町,3-8,大字野巻250番地,桜谷入口付近皆野側,36.0645328,139.0692975,
埼玉県,皆野町,4-1,大字金沢1582番地1,塩入橋際,36.0935212,139.0787788,
埼玉県,皆野町,4-2,大字金沢1106番地,大平入口,36.0966191,139.0797984,
埼玉県,皆野町,4-3,大字金沢1061番地,妙部橋上,36.0987572,139.0792322,
埼玉県,皆野町,4-4,大字金沢2154番地,発明神社入口皆野側,36.1049104,139.0797822,
埼玉県,皆野町,4-5,大字金沢2644番地1,皆野町消防団第4分団詰所駐車場内,36.1095955,139.0786825,
埼玉県,皆野町,4-6,大字金沢332番地1,若林瓦店,36.1157209,139.0793576,
埼玉県,皆野町,4-7,大字金沢259番地1,金沢生活改善センタ-前,36.1173959,139.0786738,
埼玉県,皆野町,4-8,大字金沢3056番地2,加増バス停,36.1158121,139.0711305,
埼玉県,皆野町,5-1,大字下日野沢456番地,根古屋集会所前,36.0844347,139.0784966,
埼玉県,皆野町,5-2,大字下日野沢1183番地1,風戸入口日野橋際,36.0833069,139.0692583,
埼玉県,皆野町,5-3,大字下日野沢1543番地1,藤原入口皆野側,36.0840796,139.059042,
埼玉県,皆野町,5-4,大字下日野沢3370番地4,重木入口,36.0835301,139.0504238,
埼玉県,皆野町,5-5,大字上日野沢1944番地4,奈良尾入口,36.0837785,139.0402454,
埼玉県,皆野町,5-6,大字上日野沢1905番地1,小前入口バス停横,36.0815242,139.0352244,
埼玉県,皆野町,5-7,大字上日野沢1692番地,門平高札場前,36.0863329,139.0315523,
埼玉県,皆野町,5-8,大字上日野沢732番地3,町営バス立沢バス停付近,36.0807786,139.0262121,
埼玉県,皆野町,6-1,大字三沢496番地1,高橋重機皆野側,36.0703206,139.1227473,
埼玉県,皆野町,6-2,大字三沢613番地3,芳ノ入観光トイレ駐車場,36.0663261,139.1304729,
埼玉県,皆野町,6-3,大字三沢921番地1,日本電信電話株式会社三沢交換局前,36.059408,139.130575,
埼玉県,皆野町,6-4,大字三沢1588番地1,三沢農業集落センタ-前,36.056835,139.1310686,
埼玉県,皆野町,6-5,大字三沢1606番地,三沢小学校前,36.0557359,139.1309807,
埼玉県,皆野町,6-6,大字三沢1795番地5,村田茸園向,36.0503657,139.1319214,
埼玉県,皆野町,6-7,大字三沢1854番地,中柿橋向,36.0451959,139.1308128,
埼玉県,皆野町,6-8,大字三沢2072番地,旧山十商店前,36.0420869,139.1304534,
埼玉県,皆野町,6-9,大字三沢2719番地,曽根坂一路塚,36.0354733,139.1277512,
