prefecture,city,number,address,name,lat,long,note
埼玉県,美里町,1-1,阿那志1402先,上川輪集会所前のフェンス,36.187946,139.188675,緯度経度は怪しい
埼玉県,美里町,1-2,阿那志1170-2,南阿那志集会所前の駐車場,36.186756,139.187134,緯度経度は怪しい
埼玉県,美里町,1-3,阿那志687-1,masked,36.192329,139.177429,緯度経度は怪しい
埼玉県,美里町,1-4,阿那志1038-1,masked,36.193596,139.182861,緯度経度は怪しい
埼玉県,美里町,1-5,阿那志551-1,ミムリンパ-ク(旧農村公園)東塀,36.187946,139.188675,緯度経度は怪しい
埼玉県,美里町,1-6,根木34-4,旧埼玉ひびきの農協東児玉支店前の塀,36.196789,139.179352,緯度経度は怪しい
埼玉県,美里町,1-7,阿那志276-8,松澤工務店西の雑種地,36.204117,139.183838,緯度経度は怪しい
埼玉県,美里町,2-1,関45-1,消防第一分団車庫の西側空地(芝原),36.193932,139.186813,緯度経度は怪しい
埼玉県,美里町,2-2,関445-1,masked,36.192951,139.191284,緯度経度は怪しい
埼玉県,美里町,2-3,関362-1,関集会所東の敷地(木と木の間),36.193474,139.194077,緯度経度は怪しい
埼玉県,美里町,2-4,関1112,倉柱集会所,36.189877,139.20076,緯度経度は怪しい
埼玉県,美里町,2-5,関1883-1,川輪集会所フェンス,36.18766,139.204788,緯度経度は怪しい
埼玉県,美里町,2-6,関235先,町田建設作業場西(町道西側)路肩(大関),36.199043,139.193665,緯度経度は怪しい
埼玉県,美里町,3-1,小茂田267-1,小茂田リサイクルセンタ-東側砂利敷,36.20377,139.187653,緯度経度は怪しい
埼玉県,美里町,3-2,小茂田775-2南,masked,36.2066,139.189819,緯度経度は怪しい
埼玉県,美里町,3-3,小茂田890-1,masked,36.208881,139.186569,緯度経度は怪しい
埼玉県,美里町,3-4,小茂田342-1,masked,36.205933,139.185394,緯度経度は怪しい
埼玉県,美里町,3-5,小茂田350,勝輪寺前,36.206089,139.18338,緯度経度は怪しい
埼玉県,美里町,4-1,下児玉1138-4,masked,36.206249,139.180344,緯度経度は怪しい
埼玉県,美里町,4-2,下児玉984-2,masked,36.208477,139.177017,緯度経度は怪しい
埼玉県,美里町,4-3,下児玉686,下児玉公会堂北側塀の東,36.205669,139.170914,緯度経度は怪しい
埼玉県,美里町,4-4,下児玉536-5,masked,36.203125,139.167999,緯度経度は怪しい
埼玉県,美里町,4-5,下児玉231先,masked,36.199944,139.16568,緯度経度は怪しい
埼玉県,美里町,5-1,北十条606先,masked,36.201054,139.17363,緯度経度は怪しい
埼玉県,美里町,5-2,北十条702-8,第2分団小屋前の敷地,36.198463,139.168396,緯度経度は怪しい
埼玉県,美里町,5-3,南十条401-1,福島輪店前,36.196014,139.170181,緯度経度は怪しい
埼玉県,美里町,5-4,南十条464-1,清水組北側塀,36.194984,139.167999,緯度経度は怪しい
埼玉県,美里町,5-5,北十条899-1,masked,36.195583,139.165909,緯度経度は怪しい
埼玉県,美里町,6-1,沼上314-1,masked,36.190361,139.160797,緯度経度は怪しい
埼玉県,美里町,6-2,沼上691,masked,36.188835,139.163361,緯度経度は怪しい
埼玉県,美里町,6-3,沼上290-1,masked,36.189465,139.15834,緯度経度は怪しい
埼玉県,美里町,6-4,沼上283先,沼上集会所西側,36.189465,139.15834,緯度経度は怪しい
埼玉県,美里町,6-5,沼上299-1,masked,36.189224,139.15921,緯度経度は怪しい
埼玉県,美里町,7-1,広木521-1,広木新田集会所,36.181523,139.1568387,
埼玉県,美里町,7-2,広木65,masked,36.174305,139.158157,緯度経度は怪しい
埼玉県,美里町,7-3,広木1440,masked,36.167572,139.158249,緯度経度は怪しい
埼玉県,美里町,7-4,広木1640,枌木集会所,36.16954,139.156937,緯度経度は怪しい
埼玉県,美里町,7-5,広木2905,masked,36.17252,139.158493,緯度経度は怪しい
埼玉県,美里町,7-6,広木136,masked,36.173637,139.161713,緯度経度は怪しい
埼玉県,美里町,8-1,駒衣479先,瀬戸池埋立地跡南側の町道フェンス,36.173,139.166885,緯度経度は怪しい
埼玉県,美里町,8-2,駒衣1675-1先,masked,36.181515,139.170853,緯度経度は怪しい
埼玉県,美里町,8-3,駒衣418,masked,36.171543,139.170609,緯度経度は怪しい
埼玉県,美里町,8-4,駒衣341-2,松久小学校東側フェンス,36.170479,139.170197,緯度経度は怪しい
埼玉県,美里町,8-5,木部122-2,旧埼玉ひびきの農協松久支店北側塀,36.1711454,139.1722237,
埼玉県,美里町,8-6,木部227-1先,木部新井商店東の歩道用フェンス,36.173252,139.176407,緯度経度は怪しい
埼玉県,美里町,8-7,木部237-2,こまきべだいクリ-ンセンタ-東側フェンス,36.175858,139.176025,緯度経度は怪しい
埼玉県,美里町,9-1,古郡624-1,masked,36.1814235,139.1829768,
埼玉県,美里町,9-2,古郡383,masked,36.179161,139.186295,緯度経度は怪しい
埼玉県,美里町,9-3,古郡496-1,農協営農センタ-北のフェンス,36.176666,139.184555,緯度経度は怪しい
埼玉県,美里町,9-4,甘粕275,masked,36.171783,139.179626,緯度経度は怪しい
埼玉県,美里町,9-5,甘粕237,甘粕集会所,36.169628,139.182114,緯度経度は怪しい
埼玉県,美里町,9-6,甘粕740-2先,堀口鉢店前路肩(県道西側),36.165138,139.184647,緯度経度は怪しい
埼玉県,美里町,9-7,中里103先,masked,36.163631,139.177948,緯度経度は怪しい
埼玉県,美里町,9-8,中里5,masked,36.161037,139.178329,緯度経度は怪しい
埼玉県,美里町,10-1,猪俣450-1,旧埼玉ひびきの農協大沢支店前塀,36.159958,139.184601,緯度経度は怪しい
埼玉県,美里町,10-2,猪俣476-1,masked,36.152134,139.185059,緯度経度は怪しい
埼玉県,美里町,10-3,猪俣1165-1,小栗児童センタ-東フェンス,36.153946,139.193268,緯度経度は怪しい
埼玉県,美里町,10-4,猪俣2235-1,旧上田商店道東の字有地(猪俣),36.1498374,139.1878994,
埼玉県,美里町,10-5,猪俣2408,猪俣中央会館東側フェンス(猪俣),36.149765,139.184021,緯度経度は怪しい
埼玉県,美里町,10-6,猪俣3182-1,masked,36.152134,139.185059,緯度経度は怪しい
埼玉県,美里町,10-7,猪俣3019,大沢小学校運動場東フェンス,36.155899,139.179382,緯度経度は怪しい
埼玉県,美里町,10-8,白石2292-6,湯本公園北側フェンス(湯本),36.155472,139.167511,緯度経度は怪しい
埼玉県,美里町,11-1,白石1176,masked,36.165264,139.170151,緯度経度は怪しい
埼玉県,美里町,11-2,白石911,大仏農村婦人センタ-,36.166401,139.166,緯度経度は怪しい
埼玉県,美里町,11-3,白石868-2,masked,36.164371,139.1663164,
埼玉県,美里町,11-4,白石202-1,白石公民館,36.155472,139.167511,緯度経度は怪しい
埼玉県,美里町,11-5,白石355-1,どんぐり公園南フェンス,36.155472,139.167511,緯度経度は怪しい
埼玉県,美里町,11-6,円良田172,masked,36.140308,139.165558,緯度経度は怪しい
埼玉県,美里町,11-7,円良田344-1,円良田農民センタ-北杏畑,36.1381971,139.1651285,緯度経度は怪しい
