prefecture,city,number,address,name,lat,long
埼玉県,越生町,1-1,越生９１７番地１,中央公民館駐車場入口,35.9644038,139.293868
埼玉県,越生町,1-2,越生７６６番地１,中央橋入口付近,35.9641942,139.2974774
埼玉県,越生町,1-3,越生８０８番地１,鎌北電気商会脇,35.9637587,139.297795
埼玉県,越生町,1-4,越生４１２番地９,越生駅前ロータリー付近,35.9617641,139.2993435
埼玉県,越生町,1-5,越生６０１番地２,上台あづま通り登り口手前町営駐車場,35.9579142,139.2979358
埼玉県,越生町,1-6,越生１００５番地４,新宿児童公園下駐車場,35.9618555,139.2950708
埼玉県,越生町,2-1,上野７０２番地８,大橋石仏群付近,35.9578253,139.3010035
埼玉県,越生町,2-2,上野１７３１番地１先,大宮神社北側,35.9553084,139.2971384
埼玉県,越生町,2-3,上野２９０２番地４,オーパーク入口手前交差点,35.9483125,139.2980578
埼玉県,越生町,2-4,上野１５５６番地６先,ふれあい橋南方,35.9522074,139.3008467
埼玉県,越生町,2-5,上野１１１５番地１,masked,35.9508755,139.303863
埼玉県,越生町,2-6,上野１１番地１３,武州唐沢駅前,35.9515266,139.309321
埼玉県,越生町,2-7,上野東３丁目１番地３,久保公園前,35.9538662,139.3075399
埼玉県,越生町,2-8,上野東２丁目１９番地１,高木原公園前,35.9552102,139.3112403
埼玉県,越生町,3-1,越生東１丁目８番地先,いこいの広場駐車場,35.9641155,139.3017057
埼玉県,越生町,3-2,越生東３丁目５番地１,神明児童公園前,35.9604175,139.3029496
埼玉県,越生町,3-3,越生東７丁目１３９番地２,越生東４丁目６丁目堺,35.9605944,139.3049884
埼玉県,越生町,3-4,如意１３７５番地先,川原田公園付近Ｔ字路,35.9587216,139.3071906
埼玉県,越生町,3-5,如意４６８番地３,山吹の里歴史公園,35.9626835,139.3047889
埼玉県,越生町,3-6,如意３７９番地１,しらさぎ団地入口,35.9605829,139.3096827
埼玉県,越生町,3-7,如意７３６番地１,おごせ福祉作業所,35.962942,139.3102158
埼玉県,越生町,4-1,黒岩２５１番地１,越生小学校正門付近,35.9677807,139.2929651
埼玉県,越生町,4-2,黒岩１２４番地６,梅里歩道橋下,35.9703131,139.2916655
埼玉県,越生町,4-3,西和田４４番地１先,ＪＡいるま野越生農産物直売所付近,35.964493,139.3035493
埼玉県,越生町,4-4,西和田５７５番地３,カインズホーム越生店東側バイパス交差点,35.9699582,139.3009121
埼玉県,越生町,4-5,大谷１７３番地３先,大谷六地蔵下,35.9801176,139.3009444
埼玉県,越生町,4-6,大谷５７１番地,大谷児童公園,35.9734993,139.2918533
埼玉県,越生町,4-7,成瀬３２４番地３,見正寺下交差点（成瀬火の見）,35.9739793,139.2862335
埼玉県,越生町,4-8,古池１５７番地２,湯藤電気商会脇,35.9844296,139.280125
埼玉県,越生町,5-1,津久根４７９番地１,ＪＧＭおごせゴルフクラブ入口西側,35.9717297,139.2817491
埼玉県,越生町,5-2,津久根２１４番地１,梅林入口付近,35.9728274,139.2759533
埼玉県,越生町,5-3,堂山５７番地１,梅園橋先Ｔ字路,35.9728677,139.2722718
埼玉県,越生町,5-4,上谷２７８番地５,上谷文化会館付近,35.976511,139.2695239
埼玉県,越生町,5-5,小杉６８番地３,稲荷坂上,35.9700773,139.2734788
埼玉県,越生町,5-6,小杉５４７番地,梅園小学校正門,35.9683669,139.2703084
埼玉県,越生町,5-7,小杉４９６番地２,自然休養村センター前,35.9654071,139.268812
埼玉県,越生町,5-8,小杉９３１番地６,麦原・戸神入口分岐点,35.9634866,139.2595177
埼玉県,越生町,5-9,麦原３９０番地１先,住吉神社下三叉路付近,35.9697374,139.2443406
埼玉県,越生町,6-1,大満６６２番地１０先,越生特産物加工研究所入口,35.9620285,139.2655751
埼玉県,越生町,6-2,大満１１４番地２,大満集会所,35.9582354,139.265518
埼玉県,越生町,6-3,大満４０７番地１,下ヶ戸橋付近,35.9519058,139.2631358
埼玉県,越生町,6-4,大満４６１番地６,平倉登り口手前,35.951737,139.2582235
埼玉県,越生町,6-5,龍ヶ谷３１９番地１０,龍ヶ谷大橋手前,35.9529345,139.2472985
埼玉県,越生町,6-6,黒山３０番地１,山の家跡地,35.9489093,139.2620669
埼玉県,越生町,6-7,黒山５１６番地３先,石戸橋バス停付近,35.9438853,139.2573497
埼玉県,越生町,6-8,黒山６７６番地１,黒山全洞院前町営駐車場,35.939519,139.2551374
