prefecture,city,number,address,name,lat,long,note
埼玉県,鳩山町,1-1,泉井５２９番地１,泉井交流体験エリア脇,35.994034,139.316483,緯度経度は怪しい
埼玉県,鳩山町,1-2,泉井６１１番地２,商店脇,35.993656,139.317734,緯度経度は怪しい
埼玉県,鳩山町,1-3,泉井８３１番地１,亀井運動場駐車場,35.990772,139.327057,緯度経度は怪しい
埼玉県,鳩山町,1-4,大橋２１６番地１,バス停脇,35.996014,139.33223,緯度経度は怪しい
埼玉県,鳩山町,1-5,泉井９８０番地１,交差点,35.9935,139.31665,緯度経度は怪しい
埼玉県,鳩山町,1-6,大橋６１８番地１,神社前,35.991756,139.335495,緯度経度は怪しい
埼玉県,鳩山町,1-7,大橋１０４２番地１,病院駐車場入口,35.990124,139.342529,緯度経度は怪しい
埼玉県,鳩山町,2-1,奥田５６番地,民家前,36.00098,139.334229,緯度経度は怪しい
埼玉県,鳩山町,2-2,奥田２０３番２,公会堂脇,36.001999,139.337051,緯度経度は怪しい
埼玉県,鳩山町,2-3,須江１９０番地１,亀井農村センター入口,35.99976,139.328918,緯度経度は怪しい
埼玉県,鳩山町,2-4,須江２５８番地１,バス停脇,36.000126,139.323654,緯度経度は怪しい
埼玉県,鳩山町,2-5,竹本９２４番地,民家脇,36.003696,139.315063,緯度経度は怪しい
埼玉県,鳩山町,2-6,竹本２１２番地１,民家裏,36.00272,139.312622,緯度経度は怪しい
埼玉県,鳩山町,3-1,高野倉１６６番地,民家前,35.99181,139.295609,緯度経度は怪しい
埼玉県,鳩山町,3-2,熊井９９７番地１,神社前,35.98431,139.317978,緯度経度は怪しい
埼玉県,鳩山町,3-3,熊井１１８５番地１,上熊井農産物直売所前,35.985912,139.310608,緯度経度は怪しい
埼玉県,鳩山町,3-4,熊井１７３２番地,椎ノ木坂通り寺前,35.98439,139.320175,緯度経度は怪しい
埼玉県,鳩山町,3-5,熊井２３３番地,民家脇,35.986073,139.326202,緯度経度は怪しい
埼玉県,鳩山町,3-6,熊井19番地１,中央庭球場脇,35.98431,139.317978,緯度経度は怪しい
埼玉県,鳩山町,3-7,熊井２０２４番地１,鳩山中学校前,35.984192,139.333282,緯度経度は怪しい
埼玉県,鳩山町,4-1,大豆戸３６５番地１,神社鳥居前,35.975071,139.334824,緯度経度は怪しい
埼玉県,鳩山町,4-2,大豆戸１８３番地１,鳩山町保健センター前,35.980614,139.334061,緯度経度は怪しい
埼玉県,鳩山町,4-3,小用３５番地１,民家脇,35.971474,139.338364,緯度経度は怪しい
