prefecture,city,number,address,name,lat,long,note
埼玉県,鴻巣市,1-1,本町8丁目7番23号,鴻巣南小学校ブロック塀,36.0542113,139.5154276,
埼玉県,鴻巣市,1-2,人形1丁目3番8号,ブロック塀,36.0537508,139.5173313,
埼玉県,鴻巣市,1-3,人形1丁目3126番地,人形1丁目2号公園柵,36.051022,139.518127,緯度経度は怪しい
埼玉県,鴻巣市,1-4,本町8丁目2番35号,鴻巣公園元市クラブ前柵,36.0555409,139.515532,
埼玉県,鴻巣市,1-5,本町8丁目2番73号,鴻巣公園よろずや前フェンス,36.0545374,139.5137487,
埼玉県,鴻巣市,1-6,本町8丁目2番31号,勝願寺ブロック塀,36.0558039,139.5139478,
埼玉県,鴻巣市,1-7,逆川2丁目2990番地4,鴻中陸橋下掲示板脇金網,36.054745,139.509979,緯度経度は怪しい
埼玉県,鴻巣市,2-1,本町5丁目6番,月極駐車場フェンス,36.0573397,139.5144782,
埼玉県,鴻巣市,2-2,本町4丁目9番38号,フェンス,36.058291,139.5123906,
埼玉県,鴻巣市,2-3,本町3丁目3番5号,上尾税務署鴻巣宿舎フェンス,36.0610796,139.5144787,
埼玉県,鴻巣市,2-4,東2丁目4番62号,鴻巣中学校正門通りフェンス,36.0604146,139.5172463,
埼玉県,鴻巣市,2-5,本町6丁目4番56号,鴻巣東小学校鴻秋屋前金網,36.0590977,139.5168904,
埼玉県,鴻巣市,2-6,天神1丁目1番72号,県立鴻巣女子高校正門通りフェンス,36.0608776,139.5181664,
埼玉県,鴻巣市,2-7,天神2丁目3番,市営テニスコート金網,36.0580312,139.5217953,
埼玉県,鴻巣市,3-1,本町1丁目1番,JR鴻巣駅金網,36.0591191,139.5102633,
埼玉県,鴻巣市,3-2,本町1丁目3番,エルミパーク内,36.0613355,139.5092296,
埼玉県,鴻巣市,3-3,加美1丁目2番34号,エンゼル幼稚園線路側フェンス,36.0643181,139.5067687,
埼玉県,鴻巣市,3-4,加美2丁目7番76号,池元院ブロック塀,36.06630380000001,139.506479,
埼玉県,鴻巣市,3-5,加美2丁目6番48号,ブロック塀,36.0667383,139.5072658,
埼玉県,鴻巣市,3-6,加美1丁目6番46号,わたまクリニック裏金網,36.0671561,139.5048362,
埼玉県,鴻巣市,3-7,宮地2丁目4番22号,ブロック塀,36.06637,139.5095237,
埼玉県,鴻巣市,4-1,宮地1丁目7番2号,垣根,36.065657,139.5130229,
埼玉県,鴻巣市,4-2,本町2丁目4番,法要寺正門左側塀,36.0619533,139.5132058,
埼玉県,鴻巣市,4-3,東1丁目9番37号,カラオケ館駐車場北側フェンス,36.0628231,139.5167893,
埼玉県,鴻巣市,4-4,東1丁目6番,東町公園入口右側柵,36.0638697,139.5142396,
埼玉県,鴻巣市,4-5,東1丁目78番地2,東町2号公園フェンス,36.0630916,139.5149554,
埼玉県,鴻巣市,4-6,宮地1丁目2番12号,フェンス,36.06477539999999,139.5130785,
埼玉県,鴻巣市,4-7,本宮町1番9号,鴻神社石塀,36.0628562,139.5107802,
