prefecture,city,number,address,name,lat,long,note
埼玉県,鶴ヶ島市,1-1,大字下新田501番地2,民家前,35.943367,139.381516,緯度経度は怪しい
埼玉県,鶴ヶ島市,1-2,大字高倉33番地5,日枝神社前,35.938293,139.383881,緯度経度は怪しい
埼玉県,鶴ヶ島市,1-3,大字三ツ木174番地2,鶴ヶ島市職員第2駐車場南側,35.936043,139.392715,緯度経度は怪しい
埼玉県,鶴ヶ島市,1-4,脚折町六丁目1番3号,鷹野屋敷橋南側欄干,35.9437451,139.3879047,
埼玉県,鶴ヶ島市,1-5,脚折町五丁目22番,雷電池児童公園南側敷地内,35.942647,139.3972123,
埼玉県,鶴ヶ島市,1-6,大字高倉1146番地,高倉第二自治会・氏子館北東側敷地内,35.92548,139.380005,緯度経度は怪しい
埼玉県,鶴ヶ島市,1-7,大字脚折1868番地5,鶴ヶ島中学校東側,35.935825,139.38707,緯度経度は怪しい
埼玉県,鶴ヶ島市,1-8,大字脚折1992番地1,鶴ヶ島保育所職員駐車場,35.941349,139.386169,緯度経度は怪しい
埼玉県,鶴ヶ島市,1-9,大字三ツ木510番地4,三ツ木自治会・氏子館南側敷地内,35.928795,139.391663,緯度経度は怪しい
埼玉県,鶴ヶ島市,2-1,大字町屋138番地2,町屋自治会・氏子館北側敷地内,35.930614,139.356262,緯度経度は怪しい
埼玉県,鶴ヶ島市,2-2,大字中新田1632番13,ヘア-スペ-スエリア向かい側空地(一本松駅南側駐輪場前の空地),35.938549,139.368973,緯度経度は怪しい
埼玉県,鶴ヶ島市,2-3,新町四丁目17番地8,西市民センタ-植込み,35.9329411,139.3689242,
埼玉県,鶴ヶ島市,2-4,新町四丁目21番地1,鶴ヶ島市消防団第2分団詰所北西側,35.9345381,139.3669339,
埼玉県,鶴ヶ島市,2-5,大字中新田95番地1,さいたまコ-プ坂戸センタ-北西側敷地内,35.940136,139.36792,緯度経度は怪しい
埼玉県,鶴ヶ島市,2-6,新町一丁目1番地9,調整池北西側フェンス,35.9395855,139.3738809,
埼玉県,鶴ヶ島市,2-7,大字下新田701番1,エトワ-ルカヤマ向かい側空地,35.944248,139.381393,緯度経度は怪しい
埼玉県,鶴ヶ島市,2-8,新町三丁目13番地,プリムベ-ル新町北西側調整池フェンス,35.933594,139.371735,緯度経度は怪しい
埼玉県,鶴ヶ島市,3-1,大字太田ヶ谷321番地,運動公園北側,35.923512,139.400162,緯度経度は怪しい
埼玉県,鶴ヶ島市,3-2,大字太田ヶ谷740番地1,鶴ヶ島農村センタ-南側敷地内,35.928593,139.404099,緯度経度は怪しい
埼玉県,鶴ヶ島市,3-3,大字太田ヶ谷617番地1,高徳神社北東側,35.931576,139.399002,緯度経度は怪しい
埼玉県,鶴ヶ島市,3-4,大字太田ヶ谷259番地4,運動公園多目的広場B南側フェンス,35.922718,139.39975,緯度経度は怪しい
埼玉県,鶴ヶ島市,3-5,松ヶ丘一丁目13番,富士見台児童公園北西側敷地内,35.928501,139.415222,緯度経度は怪しい
埼玉県,鶴ヶ島市,3-6,松ヶ丘五丁目28番,鶴ヶ島南近隣公園南東側敷地内,35.925919,139.412796,緯度経度は怪しい
埼玉県,鶴ヶ島市,3-7,南町一丁目27番1号,南中学校テニスコ-ト南側フェンス,35.9245971,139.405229,
埼玉県,鶴ヶ島市,3-8,南町一丁目26番1号,南小学校東側敷地内,35.9253067,139.4081761,
埼玉県,鶴ヶ島市,4-1,大字五味ヶ谷275番地4,交差点付近白い柵,35.946751,139.41626,緯度経度は怪しい
埼玉県,鶴ヶ島市,4-2,大字上広谷474番地10,民家前,35.942429,139.417343,緯度経度は怪しい
埼玉県,鶴ヶ島市,4-3,大字上広谷391番地1,民家前(大谷川沿),35.940189,139.420197,緯度経度は怪しい
埼玉県,鶴ヶ島市,4-4,大字五味ヶ谷232番地10,杉下小学校入口,35.945427,139.418137,緯度経度は怪しい
埼玉県,鶴ヶ島市,4-5,大字五味ヶ谷202番地,東市民センタ-西側敷地内,35.947601,139.422089,緯度経度は怪しい
埼玉県,鶴ヶ島市,4-6,大字五味ヶ谷110番地6,民家前(大谷川沿),35.9429857,139.4247031,
埼玉県,鶴ヶ島市,4-7,大字上広谷6番地1,とんでん鶴ヶ島店北側敷地内,35.9395585,139.4257615,
埼玉県,鶴ヶ島市,4-8,大字五味ヶ谷146番地2,五味ヶ谷自治会・氏子館前,35.945141,139.423828,緯度経度は怪しい
埼玉県,鶴ヶ島市,5-1,大字鶴ヶ丘273番地18,なかまる公園フェンス,35.932114,139.411285,緯度経度は怪しい
埼玉県,鶴ヶ島市,5-2,大字鶴ヶ丘331番地7,養命酒製造跡eコラボつるがしま南側,35.933182,139.413849,緯度経度は怪しい
埼玉県,鶴ヶ島市,5-3,大字上広谷226番地3,まごころの家あゆみ藤金南側フェンス,35.940811,139.417664,緯度経度は怪しい
埼玉県,鶴ヶ島市,5-4,大字鶴ヶ丘376番地,どんぐり公園東側敷地内,35.937744,139.41568,緯度経度は怪しい
埼玉県,鶴ヶ島市,5-5,大字鶴ヶ丘358番地1,鶴ヶ島第二小学校体育館前,35.936172,139.415527,緯度経度は怪しい
埼玉県,鶴ヶ島市,5-6,大字上広谷159番地67,民家前(大谷川沿),35.938454,139.418747,緯度経度は怪しい
埼玉県,鶴ヶ島市,5-7,大字藤金135番地1,藤の台団地北側,35.935516,139.409805,緯度経度は怪しい
埼玉県,鶴ヶ島市,6-1,大字鶴ヶ丘20番地2,飯能信用金庫鶴ヶ島支店南側敷地内,35.935104,139.419052,緯度経度は怪しい
埼玉県,鶴ヶ島市,6-2,大字鶴ヶ丘66番地1,コモディイイダ鶴ヶ島店西側敷地内,35.936939,139.422256,緯度経度は怪しい
埼玉県,鶴ヶ島市,6-3,大字鶴ヶ丘28番地4,鶴ヶ島文化会館前,35.933716,139.417831,緯度経度は怪しい
埼玉県,鶴ヶ島市,6-4,大字鶴ヶ丘54番地4,鶴ヶ島海洋センタ-駐車場横,35.932076,139.416229,緯度経度は怪しい
埼玉県,鶴ヶ島市,6-5,大字鶴ヶ丘116番地1,鶴ヶ丘西公園南側敷地内,35.930019,139.416061,緯度経度は怪しい
埼玉県,鶴ヶ島市,6-6,大字鶴ヶ丘699番地1,民家反対側(大谷川沿),35.934158,139.413406,緯度経度は怪しい
埼玉県,鶴ヶ島市,6-7,大字鶴ヶ丘855番地1,鶴ヶ島市商工会館敷地内,35.931236,139.41214,緯度経度は怪しい
埼玉県,鶴ヶ島市,7-1,大字下新田580番地1,稲荷神社境内,35.946381,139.384384,緯度経度は怪しい
埼玉県,鶴ヶ島市,7-2,羽折町10番,羽折児童公園東側敷地内,35.950249,139.382172,緯度経度は怪しい
埼玉県,鶴ヶ島市,7-3,大字脚折136番地1,メルヘン保育園前,35.949642,139.387604,緯度経度は怪しい
埼玉県,鶴ヶ島市,7-4,脚折町三丁目12番1号,北口児童公園西側敷地内,35.945293,139.388931,緯度経度は怪しい
埼玉県,鶴ヶ島市,7-5,脚折町四丁目12番,長久保小学校北側,35.9467455,139.3929265,
埼玉県,鶴ヶ島市,7-6,脚折町二丁目24番,脚折近隣公園南側敷地内,35.950027,139.390884,緯度経度は怪しい
埼玉県,鶴ヶ島市,7-7,脚折町一丁目23番,八幡児童公園西側敷地内,35.952129,139.39502,緯度経度は怪しい
埼玉県,鶴ヶ島市,7-8,脚折町四丁目18番1号,北ヶ谷戸児童公園西側敷地内,35.945175,139.392517,緯度経度は怪しい
埼玉県,鶴ヶ島市,8-1,大字脚折1429番地77,林駐車場(西)フェンス,35.938244,139.398239,緯度経度は怪しい
埼玉県,鶴ヶ島市,8-2,共栄町13番,かわせみハウス前道反対側(飯盛川沿),35.947201,139.399673,緯度経度は怪しい
埼玉県,鶴ヶ島市,8-3,大字脚折1384番地31,遊水地東側フェンス,35.943436,139.400192,緯度経度は怪しい
埼玉県,鶴ヶ島市,8-4,大字藤金897番地5,ドラッグセキ店舗北側,35.946117,139.40213,緯度経度は怪しい
埼玉県,鶴ヶ島市,8-5,大字藤金330番地1,藤小学校北側,35.939861,139.406845,緯度経度は怪しい
埼玉県,鶴ヶ島市,8-6,大字藤金809番地5,遊水地北西側フェンス,35.938034,139.401855,緯度経度は怪しい
埼玉県,鶴ヶ島市,8-7,大字藤金799番地65,星和公園西側敷地内,35.94091,139.401627,緯度経度は怪しい
埼玉県,鶴ヶ島市,9-1,富士見六丁目2番4号,富士見緑道若葉台通り側入口東側ベンチ脇,35.9553271,139.4195985,
埼玉県,鶴ヶ島市,9-2,富士見四丁目1番,富士見中央近隣公園北西側敷地内,35.953739,139.415298,緯度経度は怪しい
埼玉県,鶴ヶ島市,9-3,富士見四丁目1番,富士見中央近隣公園東側敷地内,35.953739,139.415298,緯度経度は怪しい
埼玉県,鶴ヶ島市,9-4,富士見四丁目20番,富士見北児童公園北西側敷地内,35.953102,139.419159,緯度経度は怪しい
埼玉県,鶴ヶ島市,9-5,富士見四丁目26番,栄小学校西側道路沿い,35.9511298,139.417693,
埼玉県,鶴ヶ島市,9-6,富士見四丁目26番,栄小学校東側道路沿い,35.9511298,139.417693,
埼玉県,鶴ヶ島市,9-7,富士見五丁目12番,富士見東児童公園南西側敷地内,35.950546,139.42067,緯度経度は怪しい
埼玉県,鶴ヶ島市,10-1,富士見二丁目8番,富士見西児童公園西側敷地内,35.953773,139.411957,緯度経度は怪しい
埼玉県,鶴ヶ島市,10-2,富士見二丁目17番2号,(有)永和堂不動産横駐車場フェンス沿い,35.9508976,139.414313,
埼玉県,鶴ヶ島市,10-3,富士見二丁目1番7号,若葉駅東口駐輪場西側道路沿い,35.9511614,139.4118179,
埼玉県,鶴ヶ島市,10-4,富士見二丁目36番1号,富士見中学校西側道路沿い,35.9488966,139.4145812,
埼玉県,鶴ヶ島市,10-5,富士見一丁目13番,富士見南公園北側敷地内,35.948826,139.412842,緯度経度は怪しい
埼玉県,鶴ヶ島市,10-6,富士見二丁目36番1号,富士見中学校南側道路沿い,35.9488966,139.4145812,
埼玉県,鶴ヶ島市,10-7,富士見一丁目15番,県営富士見団地西側道路沿い,35.9475576,139.4127706,
埼玉県,鶴ヶ島市,11-1,大字藤金863番地2,民家前道反対側,35.948517,139.402908,緯度経度は怪しい
埼玉県,鶴ヶ島市,11-2,若葉二丁目1番5,レクセルプラザ若葉南東側空地,35.934444,139.393066,緯度経度は怪しい
埼玉県,鶴ヶ島市,11-3,大字藤金871番地3,共栄第二会館前敷地内,35.946991,139.403214,緯度経度は怪しい
埼玉県,鶴ヶ島市,11-4,大字藤金272番地1,藤中学校東側,35.94154,139.40918,緯度経度は怪しい
埼玉県,鶴ヶ島市,11-5,大字藤金835番地1,若葉グリ-ンハイツ北側,35.943764,139.406235,緯度経度は怪しい
埼玉県,鶴ヶ島市,11-6,若葉一丁目13番4,ハンカチノキ公園フェンス,35.948248,139.4060163,
埼玉県,鶴ヶ島市,11-7,大字藤金272番地1,藤中学校北側,35.94154,139.40918,緯度経度は怪しい
埼玉県,鶴ヶ島市,11-8,若葉一丁目7番10,若葉駅西口ロ-タリ-,35.947977,139.4078486,
