prefecture,city,number,address,name,lat,long,note
大阪府,吹田市,101-1,泉町１丁目３−４０,吹田市役所前,34.759703,135.516182,
大阪府,吹田市,101-2,泉町１丁目３−４０,吹田市役所東玄関前,34.758659,135.516855,
大阪府,吹田市,101-3,出口町１９,吹田市保健所下空地東面フェンス,34.764032,135.514743,
大阪府,吹田市,101-4,泉町２丁目１０,空地西面（テニスコート横）,34.760899,135.515606,
大阪府,吹田市,101-5,泉町２丁目２６,いずみ南公園東面,34.760438,135.513352,
大阪府,吹田市,101-6,泉町５丁目１３の前,阪急電車フェンス,34.763254,135.511627,
大阪府,吹田市,101-7,西の庄町１０−１,泉殿宮西面,34.760835,135.517274,
大阪府,吹田市,102-1,泉町３丁目１５−１８,吹田第二小学校南面,34.758568,135.510777,
大阪府,吹田市,102-2,泉町４丁目４１番１０号,西吹田幼稚園東面,34.760352,135.508683,
大阪府,吹田市,102-3,金田町２０,金田はと笛遊園,34.75806,135.508136,
大阪府,吹田市,102-4,穂波町８,穂波公園北面,34.756463,135.511652,
大阪府,吹田市,102-5,穂波町１１−６,（株）きんでん北摂営業所西面,34.755574,135.512552,
大阪府,吹田市,102-6,穂波町１５−３０,南保育園東面,34.755355,135.511035,
大阪府,吹田市,102-7,穂波町１６−１,第六中学校西面,34.7560625,135.509439,
大阪府,吹田市,102-8,穂波町１６−１,第六中学校北面,34.756443,135.50971,
大阪府,吹田市,103-1,南金田１丁目１２,南吹田公園東面,34.753657,135.509383,
大阪府,吹田市,103-2,南金田１丁目１２,南吹田公園西面,34.753937,135.50618,
大阪府,吹田市,103-3,南吹田１丁目９−２１,上新田公園植栽,34.750644,135.511583,
大阪府,吹田市,103-4,南金田２丁目９,南金田公園西面,34.754149,135.503867,
大阪府,吹田市,103-5,南吹田２丁目１７,（株）プロテリアル金属厚生センター西面,34.747425,135.509027,
大阪府,吹田市,103-6,南吹田３丁目３−６０,水道部庁舎南面,34.75173,135.508405,
大阪府,吹田市,103-7,南吹田５丁目５,下新田公園南面,34.751083,135.504942,
大阪府,吹田市,103-8,南吹田５丁目１２−１,吹田南小学校西面,34.752486,135.503711,
大阪府,吹田市,103-9,南吹田５丁目５,下新田公園北面,34.7514276,135.5050498,
大阪府,吹田市,104-1,清和園町１１の前,阪急電車フェンス,34.757352,135.51871,
大阪府,吹田市,104-2,南清和園町４３−１,吹田第六小学校南面フェンス,34.752777,135.514493,
大阪府,吹田市,104-3,南清和園町４３−１,吹田第六小学校通用門横,34.75389,135.514999,
大阪府,吹田市,104-4,南清和園町２の前,阪急電車フェンス,34.755044,135.517549,
大阪府,吹田市,104-5,川岸町６−４３,トップ産業(株)物流センター東面,34.751992,135.514855,
大阪府,吹田市,104-6,川岸町１３,川岸公園南面,34.752125,135.516271,
大阪府,吹田市,104-7,川岸町１９,川面下水処理場前グラウンドフェンス北面,34.751486,135.517396,
大阪府,吹田市,105-1,寿町１丁目２,やなぎ遊園,34.758188,135.5192769,
大阪府,吹田市,105-2,寿町１丁目１６,寄町遊園,34.755844,135.51966,
大阪府,吹田市,105-3,寿町１丁目１９の前,阪急電車フェンス,34.755588,135.518376,
大阪府,吹田市,105-4,寿町２丁目５−１,(株)今村フェンス,34.753883,135.52282,
大阪府,吹田市,105-5,寿町２丁目８−１６,寿町児童センターフェンス,34.7543333,135.5214275,
大阪府,吹田市,105-6,中の島町６,中の島公園北面フェンス（第３中学校横）,34.751403,135.520407,
大阪府,吹田市,105-7,中の島町５,中の島公園入口左側,34.752389,135.520329,
大阪府,吹田市,106-1,内本町２丁目１３の前,植樹帯（住宅前）,34.756869,135.523034,
大阪府,吹田市,106-2,内本町２丁目２番５号,旭トゥーレ前植栽,34.759355,135.525233,
大阪府,吹田市,106-3,内本町２丁目２−１２,植込み(内本町コミュニティセンター),34.7584682,135.5258548,
大阪府,吹田市,106-4,内本町３丁目３４−４１,吹田市有川面墓地フェンス,34.754958,135.526173,
大阪府,吹田市,106-5,内本町３丁目３５,大幸薬品前植込み,34.754458,135.527573,
大阪府,吹田市,106-6,内本町３丁目２９,馬廻第一緑道南面,34.753033,135.52527,
大阪府,吹田市,106-7,寿町１丁目５−５,吹田簡易裁判所前フェンス,34.756372,135.521062,
大阪府,吹田市,107-1,元町１２,植樹帯（三井のリパーク前）,34.759485,135.52497,
大阪府,吹田市,107-2,内本町１丁目２２の前,植樹帯（トロスモータープール前）,34.757552,135.522732,
大阪府,吹田市,107-3,内本町１丁目１１−７,吹一地区老人いこいの間,34.757247,135.521259,
大阪府,吹田市,107-4,元町１−１,ＪＲ吹田駅前西自転車置場,34.762379,135.523037,
大阪府,吹田市,107-5,元町３０−３５,吹田第一小学校北面,34.760133,135.523633,
大阪府,吹田市,107-6,元町３０−３５,吹田第一小学校東面,34.759781,135.524346,
大阪府,吹田市,107-7,元町３１,吹一公園南面,34.759294,135.523295,
大阪府,吹田市,108-1,高浜町５,植樹帯（高浜神社駐車場横）,34.758362,135.527508,
大阪府,吹田市,108-2,高浜町５,空地（高浜神社北側）,34.759189,135.526891,
大阪府,吹田市,108-3,南高浜町９−１６の前,安威川フェンス,34.755578,135.529153,
大阪府,吹田市,108-4,南高浜町２１−１０の前,安威川フェンス,34.757616,135.530742,
大阪府,吹田市,108-5,南高浜町２４,高浜神社御旅所,34.75858,135.53062,
大阪府,吹田市,108-6,南高浜町３３,安威川公園北面,34.759147,135.531128,
大阪府,吹田市,108-7,南高浜町６,南高浜ふれあい遊園東面鉄柵,34.7573187,135.5281923,
大阪府,吹田市,109-1,高城町１９,ひまわり遊園,34.761538,135.530875,
大阪府,吹田市,109-2,高城町１８−３９,吹田第三小学校北面,34.762682,135.53015,
大阪府,吹田市,109-3,高城町１８−３９,吹田第三小学校南面,34.761988,135.53123,
大阪府,吹田市,109-4,日の出町７,東城前自治会館集会所フェンス,34.763441,135.532472,
大阪府,吹田市,109-5,日の出町９−５０,旭第一マンション,34.764365,135.533952,
大阪府,吹田市,109-6,日の出町２６−３２の横,農地,34.763274,135.535794,
大阪府,吹田市,109-7,日の出町１０−２２,大阪高等学校グラウンド西面,34.763804,135.534302,
大阪府,吹田市,110-1,昭和町２,ＪＲの柵（和光ハイツ前）,34.764915,135.526067,
大阪府,吹田市,110-2,昭和町２−１０,中西工業（株）フェンス,34.7650407,135.5262463,
大阪府,吹田市,110-3,目俵町１,ＪＲ吹田総合車両所南西面（丸又紙工前）,34.765402,135.528959,
大阪府,吹田市,110-4,目俵町１−１１,目俵市民体育館南東面,34.766118,135.532141,
大阪府,吹田市,110-5,目俵町１,ＪＲ吹田総合車両所フェンス（日本テープＫＫ前）,34.765772,135.529923,
大阪府,吹田市,110-6,目俵町１,日本貨物鉄道(株)フェンス,34.7672,135.533487,
