prefecture,city,number,address,name,lat,long,note
大阪府,大阪狭山市,1,狭山3丁目2571-1先,市立東小学校 西側,34.5064147,135.5540911,
大阪府,大阪狭山市,2,狭山3丁目2421先,狭山第5公園 北側,34.5064147,135.5540911,
大阪府,大阪狭山市,3,池之原2丁目1403-4先,狭山池北堤駐車場入口,34.50276,135.5467188,
大阪府,大阪狭山市,4,大学堂1丁目402-1先,狭山池公園南西側入口,34.471485,135.539902,緯度経度は怪しい
大阪府,大阪狭山市,5,狭山2丁目974-114先,さやか公園駐車場 南向側,34.502281,135.552765,緯度経度は怪しい
大阪府,大阪狭山市,6,狭山2丁目856-4先,狭山第1公園 東側,34.5009317,135.5548061,
大阪府,大阪狭山市,7,半田6丁目1088-4先,北村自治会館 西側,34.5003544,135.5535197,
大阪府,大阪狭山市,8,今熊1丁目88-4先,市立公民館駐車場西側フェンス,34.4970956,135.5434753,
大阪府,大阪狭山市,9,今熊1丁目106先,市立公民館前,34.4975245,135.5432046,
大阪府,大阪狭山市,10,今熊1丁目22先,市立西小学校前,34.497227,135.544922,
大阪府,大阪狭山市,11,今熊1丁目80先,市立老人福祉センター 南側,34.4962012,135.5428673,
大阪府,大阪狭山市,12,茨美木3丁目1311-1先,三津屋川 ガードレール,34.503662,135.555695,緯度経度は怪しい
大阪府,大阪狭山市,13,今熊3丁目504-1先,下今熊地区会館前,34.4921493,135.5409048,
大阪府,大阪狭山市,14,今熊3丁目442先,トマト農園販売所 北側,34.492344,135.542709,緯度経度は怪しい
大阪府,大阪狭山市,15,大野西1270-1先,masked,34.4720702,135.5399373,
大阪府,大阪狭山市,16,大野中231先,市立第二青少年運動広場 南東側,34.4711073,135.5471082,
大阪府,大阪狭山市,17,大野中180-1先,喫茶店タイム 西側,34.4689937,135.5471486,
大阪府,大阪狭山市,18,大野西571-3先,大野公民館 東側,34.469273,135.542343,緯度経度は怪しい
大阪府,大阪狭山市,19,大野西705-4先,masked,34.470898,135.540161,緯度経度は怪しい
大阪府,大阪狭山市,20,半田1丁目39-3先,ディークラディア金剛 東向側,34.4985331,135.5584045,
大阪府,大阪狭山市,21,半田1丁目138-1先,狭山神社前,34.4957753,135.5576302,
大阪府,大阪狭山市,22,半田1丁目42-1先,イオン金剛店 西向側,34.497787,135.557648,緯度経度は怪しい
大阪府,大阪狭山市,23,半田2丁目284-1先,カラオケのこ 西向側,34.4920025,135.557823,
大阪府,大阪狭山市,24,半田1丁目595-19先,金剛駅西口 南側,34.4948552,135.5591056,
大阪府,大阪狭山市,25,半田3丁目167-1先,川司児童遊園 東側,34.4925005,135.5529115,
大阪府,大阪狭山市,26,半田2丁目274-1先,市立半田幼稚園前,34.4921192,135.5562718,
大阪府,大阪狭山市,27,山本北127-2先,グリーンハイツ棟 東側,34.5122565,135.5352203,
大阪府,大阪狭山市,28,山本東541先,城前測量設計 北側フェンス,34.5113558,135.5406754,
大阪府,大阪狭山市,29,山本南159-1先,masked,34.5059004,135.5376807,
大阪府,大阪狭山市,30,山本北1202-1先,masked,34.5107513,135.533949,
大阪府,大阪狭山市,31,池之原4丁目680-4先,池之原会館前,34.5051218,135.5419643,
大阪府,大阪狭山市,32,池之原2丁目1144-1先,池之原中交差点 南東側,34.50276,135.5467188,
大阪府,大阪狭山市,33,岩室3丁目292-4先,岩室交差点 北東側,34.5024481,135.5399956,
大阪府,大阪狭山市,34,池尻自由丘1丁目341先,防災倉庫敷地西側フェンス,34.5160051,135.5458342,
大阪府,大阪狭山市,35,池尻自由丘1丁目36-7先,西池尻連絡所跡地フェンス,34.5160051,135.5458342,
大阪府,大阪狭山市,36,池尻中1丁目1-1先,狭山駅 西側,34.5160686,135.548528,
大阪府,大阪狭山市,37,池尻中1丁目1-1先,狭山駅 北側,34.5160686,135.548528,
大阪府,大阪狭山市,38,池尻中1丁目1-1先,狭山駅 東側,34.5160686,135.548528,
大阪府,大阪狭山市,39,池尻中1丁目1-1先,狭山駅 東向側,34.5160686,135.548528,
大阪府,大阪狭山市,40,池尻中1丁目1-1先,狭山駅 東北側,34.5160686,135.548528,
大阪府,大阪狭山市,41,池尻自由丘1丁目1先,狭山駅 北側,34.5162267,135.5473823,
大阪府,大阪狭山市,42,池尻自由丘2丁目8先,新池フェンス,34.5124857,135.546393,
大阪府,大阪狭山市,43,東野中4丁目619-1先,ヤマト運送狭山支所 東側,34.5238462,135.5587731,
大阪府,大阪狭山市,44,東野中3丁目710-9先,東野第7公園 東側,34.5216618,135.5571888,
大阪府,大阪狭山市,45,東野西1丁目915-31先,東野第10公園 南側,34.5202358,135.5553572,
大阪府,大阪狭山市,46,東野東1丁目57-1先,市立市民ふれあいの里入口,34.5195954,135.5604599,
大阪府,大阪狭山市,47,東野町1丁目968-20先,東野第4公園 東側,34.51997,135.554886,緯度経度は怪しい
大阪府,大阪狭山市,48,東野中2丁目999先,東野第1公園 西側,34.5186749,135.5572708,
大阪府,大阪狭山市,49,東野中1丁目25-1先,市立斎場北側駐車場,34.5176341,135.5585151,
大阪府,大阪狭山市,50,東茱萸木2丁目1869-87先,東葉美木第3公園 東側,34.4874142,135.5562106,
大阪府,大阪狭山市,51,茱萸木2丁目1955-1,濁り池フェンス 南側,34.4921213,135.5502574,
大阪府,大阪狭山市,52,東茱萸木2丁目865先,市立第七小学校前,34.4861444,135.5545692,
大阪府,大阪狭山市,53,茱萸木6丁目985-2先,市立南青少年運動場 北東側,34.4841679,135.552104,
大阪府,大阪狭山市,54,東茱萸木4-1126先,市循環バス　軽本病院バス停前,34.4833289,135.5553837,
大阪府,大阪狭山市,55,茱萸木1丁目514先,市循環バス　草沢バス停前,34.4975674,135.5493727,
大阪府,大阪狭山市,56,茱萸木8丁目1590-4,東葉東木第7公園 東側,34.4758286,135.5531524,
大阪府,大阪狭山市,57,西山台1丁目1-8先,西山台北バス停,34.4902955,135.5426819,
大阪府,大阪狭山市,58,西山台3丁目2-1先,市立南第一小学校 東側,34.4872446,135.5414826,
大阪府,大阪狭山市,59,茱萸木4丁目88-315先,市立ふれあいスポーツ広場前,34.488473,135.5475262,
