prefecture,city,number,address,name,lat,long,note
大阪府,岸和田市,1,岸城町1-21,市立図書館西側フェンス,34.4589658,135.373985,
大阪府,岸和田市,2,岸城町10-1,岸和田高校グラウンド堺（元睦会館側）,34.4583413,135.3718436,
大阪府,岸和田市,3,岸城町10-1,岸和田高校グラウンド堺（岸高プール前）,34.4583413,135.3718436,
大阪府,岸和田市,4,岸城町7-1,府道堺阪南線本庁側（歩道橋前）,34.4607091,135.3702712,
大阪府,岸和田市,5,岸城町9-1,岸和田城本丸堀端（裁判所跡駐車場フェンス）,34.4588131,135.3708072,
大阪府,岸和田市,6,岸城町10-1,岸和田高校グラウンド堺（岸城神社前）,34.4583413,135.3718436,
大阪府,岸和田市,7,岸城町16-1,蛸地蔵駅上りホーム海側堺,34.4562471,135.3696454,
大阪府,岸和田市,8,岸城町23-30先,岸城町スポーツ広場フェンス,34.4576298,135.3688214,
大阪府,岸和田市,9,宮本町31,城見橋交差点北側古城川フェンス,34.460508,135.3743889,
大阪府,岸和田市,10,宮本町,南海電鉄高架下作業班倉庫前,34.4604136,135.3762986,
大阪府,岸和田市,11,堺町1-1,中央地区公民館東側植込,34.4616915,135.3729567,
大阪府,岸和田市,12,堺町1-10,中央小学校西側フェンス,34.4621599,135.3725341,
大阪府,岸和田市,13,本町6-1,市役所別館紀州街道側塀,34.4610181,135.3699089,
大阪府,岸和田市,14,北町14-20,砂町モータープールフェンス,34.4647439,135.3726011,
大阪府,岸和田市,15,堺町1-1,中央地区公民館大阪側,34.4616915,135.3729567,
大阪府,岸和田市,16,魚屋町82-1先,古城川緑道,34.4635704,135.3715246,
大阪府,岸和田市,17,大北町交差点西側,府道臨海線緑地,34.4656406,135.3674588,
大阪府,岸和田市,18,中北町10－30,中北町児童公園,34.4644557,135.3679082,
大阪府,岸和田市,19,中北町,浜工業公園（中北町防潮堤横）,34.4639222,135.3685135,
大阪府,岸和田市,20,大北町,古城川緑道,34.4656406,135.3674588,
