prefecture,city,number,address,name,lat,long,note
大阪府,柏原市,1-1,大正２丁目９番３１号,ハイツブリックス横道路沿いフェンス,34.5850219,135.6187309,
大阪府,柏原市,1-2,本郷２丁目６番１号,masked,34.5892555,135.6180038,
大阪府,柏原市,1-3,大正３丁目１番,大清第３ビル駐車場フェンス,34.586242,135.6188563,
大阪府,柏原市,1-4,大正３丁目９番２０号,柏原西コミュニティ会館前大正公園駐輪場フェンス,34.5877621,135.6160471,
大阪府,柏原市,1-5,本郷３丁目５番,masked,34.5909615,135.617393,
大阪府,柏原市,1-6,本郷４丁目３番,間下モータープール北側市道フェンス,34.5892689,135.613997,
大阪府,柏原市,1-7,本郷５丁目５番,ロイヤルシャトー柏原本郷向かい川沿いフェンス,34.5914973,135.613997,
大阪府,柏原市,1-8,本郷３丁目９番６２号,自立支援センター前植え込み野立て,34.5928854,135.6182173,
大阪府,柏原市,1-9,本郷４丁目１０５－１先,本郷北北三町会掲示板横フェンス,34.5891422,135.6131112,
大阪府,柏原市,2-1,古町２丁目６番１９号,ニプロファーマ（株）工場裏側ブロック,34.5816135,135.6241508,
大阪府,柏原市,2-2,古町１丁目２番,小森米穀店斜め前平野川沿いフェンス,34.5844867,135.6221182,
大阪府,柏原市,2-3,古町１丁目６番,古町緑地広場南側フェンス,34.5835962,135.6210845,
大阪府,柏原市,2-4,古町３丁目６番,カネコ石油向い道路沿い鉄柵,34.5836301,135.6187219,
大阪府,柏原市,2-5,古町１丁目８番２４号,masked,34.5850511,135.6207061,
大阪府,柏原市,2-6,古町２丁目９番,柏原警察署西側道路沿い鉄柵,34.5825451,135.6215275,
大阪府,柏原市,3-1,大正１丁目９番５３号,柏原小学校北東側フェンス,34.5874927,135.6205433,
大阪府,柏原市,3-2,今町２丁目４番４４号,寺田氏所有駐車場フェンス,34.5892548,135.6200764,
大阪府,柏原市,3-3,今町２丁目５番７号,masked,34.5907738,135.6198758,
大阪府,柏原市,3-4,今町１丁目３番３０号,ＪＲ関西線沿い鉄柵,34.5878925,135.621989,
大阪府,柏原市,3-5,大正１丁目１番,喫茶モカ前平野川沿い車道側フェンス,34.5865487,135.6216014,
大阪府,柏原市,3-6,本郷１丁目１番,柏原小学校北側道路沿いフェンス,34.5884207,135.6197555,
大阪府,柏原市,4-1,上市４丁目１番２７号,文化センター横公園北側鉄柵,34.5870433,135.625744,
大阪府,柏原市,4-2,上市４丁目２番４号,ライオンズ柏原駅前クラウンスクエア向い長瀬川沿い鉄柵,34.5859119,135.6255621,
大阪府,柏原市,4-3,上市３丁目４番８号,masked,34.5845052,135.627124,
大阪府,柏原市,4-4,上市２丁目１番,上市老人憩いの家向い長瀬川沿い鉄柵,34.5840221,135.6253671,
大阪府,柏原市,4-5,上市２丁目３番,masked,34.5813796,135.6250717,
大阪府,柏原市,4-6,上市１丁目３番,近鉄道明寺線柏原駅線路沿い鉄柵,34.5855208,135.6228566,
大阪府,柏原市,4-7,上市１丁目１番,ＪＲ柏原駅西口ロータリー駐輪場フェンス,34.5868965,135.62268,
大阪府,柏原市,5-1,堂島町５番１７号,岡村製油(株)西工場南側ブロック,34.5936919,135.6203792,
大阪府,柏原市,5-2,河原町４番５号,岡村製油(株)交差点前ブロック,34.594011,135.6217076,
大阪府,柏原市,5-3,清州１丁目３番,清州橋横長瀬川沿い鉄柵,34.5879563,135.6230042,
大阪府,柏原市,5-4,堂島町１番２８号,柏原中学校正門北側フェンス,34.5896429,135.621861,
大阪府,柏原市,5-5,河原町１番（河原住宅前）,柏原中学校グラウンド北側フェンス,34.5906619,135.6237426,
大阪府,柏原市,5-6,清州１丁目３番,ＪＲ関西線沿い釘忠商店向いガードレール,34.5879563,135.6230042,
大阪府,柏原市,5-7,河原町１番,柏原中学校グラウンド東側フェンス,34.5906619,135.6237426,
大阪府,柏原市,6-1,法善寺１丁目７番９号,柏原病院西側歩道沿い鉄柵,34.5926228,135.6248484,
大阪府,柏原市,6-2,法善寺３丁目９０７番地の２,法善寺老人会館前鉄柵,34.5963588,135.6259963,
大阪府,柏原市,6-3,法善寺３丁目４９６,イセヅドライ向い水路鉄柵,34.5982828,135.6249176,
大阪府,柏原市,6-4,法善寺１丁目３番,近鉄線沿いブロック,34.59097,135.6265485,
大阪府,柏原市,6-5,法善寺３丁目８番,法善寺第一公園南側フェンス,34.5954525,135.6247764,
大阪府,柏原市,6-6,法善寺１丁目１４番,近鉄法善寺駅南側線路沿いブロック,34.5937642,135.6259578,
大阪府,柏原市,6-7,法善寺３丁目４７４番地,雇用・能力開発機構法善寺宿舎前鉄柵,34.5987166,135.6245099,
大阪府,柏原市,7-1,法善寺４丁目１番１７号,masked,34.5946481,135.6266161,
大阪府,柏原市,7-2,法善寺２丁目１３番７号,法善寺三区老人憩いの家フェンス,34.5937743,135.6270911,
大阪府,柏原市,7-3,法善寺４丁目５番,さつき橋横川沿いフェンス,34.5963706,135.626327,
大阪府,柏原市,7-4,法善寺４丁目２番,法善寺文化会館前恩智川沿い鉄柵,34.5948616,135.6271393,
大阪府,柏原市,7-5,法善寺４丁目３５９番地の５,堅下北小学校正門横フェンス,34.5973769,135.6282965,
大阪府,柏原市,7-6,法善寺４丁目３４８番地の１,堅下北幼稚園南側フェンス,34.5962995,135.6284695,
大阪府,柏原市,7-7,法善寺４丁目２９４番地,山ノ井信号北側鉄柵,34.598396302366226, 135.63142287574703,
大阪府,柏原市,8-1,平野１丁目１２番,ほのぼのかたしも西側恩智川沿い鉄柵,34.5940638,135.6293546,
大阪府,柏原市,8-2,平野２丁目１８番４７号,masked,34.5959378,135.6317839,
大阪府,柏原市,8-3,平野１丁目１２番２７号,吉村氏所有駐車場フェンス,34.5941963,135.6298504,
大阪府,柏原市,8-4,平野２丁目１番５号,堅下小学校正門ブロック,34.5921975,135.631547,
大阪府,柏原市,8-5,平野２丁目１番５号,堅下小学校南側フェンス,34.5921975,135.631547,
大阪府,柏原市,8-6,平野１丁目１０番５号,masked,34.5938524,135.6309553,
大阪府,柏原市,8-7,平野１丁目２番,恩智川「大如橋」筋向い桜並木フェンス,34.5904969,135.6303885,
大阪府,柏原市,8-8,山ノ井町２番１９号,masked,34.5980815,135.6326963,
大阪府,柏原市,8-9,山ノ井町１０番１５号,山ノ井ちびっこ老人憩いの広場鉄柵,34.59979990000001,135.6324563,
大阪府,柏原市,9-1,法善寺２丁目１０番１７号,パレーシャル飛鳥北側フェンス,34.5927327,135.6280808,
大阪府,柏原市,9-2,大県２丁目４番２４号,高井歯科ブロック,34.5899594,135.6284131,
大阪府,柏原市,9-3,法善寺２丁目１番,ビラージュエルム西側近鉄線沿いブロック,34.5902608,135.6274346,
大阪府,柏原市,9-4,大県２丁目５番,近鉄堅下駅南側フェンス,34.5887014,135.6273908,
大阪府,柏原市,9-5,大県２丁目７番１１号,オーシャン柏原東側フェンス,34.5878169,135.6284523,
大阪府,柏原市,9-6,大県１丁目８番５号,柏原東小学校北側フェンス,34.5881917,135.626927,
