prefecture,city,number,address,name,lat,long,note
大阪府,河内長野市,1-1,菊水町３−１,栄町公園防護柵,34.4514055,135.5743658,
大阪府,河内長野市,1-2,菊水町５−１０,西條大橋下市道ガードレール,34.4534588,135.5750924,
大阪府,河内長野市,1-3,菊水町８−３,長野神社石垣,34.4532995,135.5742766,
大阪府,河内長野市,1-4,長野町５−１,桜井耳鼻咽喉科付近ガードレール,34.45039879999999,135.5718816,
大阪府,河内長野市,1-5,長野町９−３,近畿鉄道高架脇,34.44998510000001,135.5711987,
大阪府,河内長野市,1-6,栄町３−２１,菊水SS第二駐車場フェンス,34.4491675,135.5687497,
大阪府,河内長野市,1-7,長野町２−１８,諸越橋付近鉄柵,34.4515494,135.5700234,
大阪府,河内長野市,1-8,栄町２１−２０,七つ辻交差点・ポケットパークフェンス,34.4480241,135.5658453,
大阪府,河内長野市,2-1,古野町１−１５,本多町バス停前国道沿い防護柵,34.4553667,135.5694846,
大阪府,河内長野市,2-2,西代町８−１,ＮＴＴ河内長野ビル北側フェンス,34.4539416,135.5692656,
大阪府,河内長野市,2-3,古野町８ 古野緑地,上古野橋西側フェンス,34.4552055,135.5720941,
大阪府,河内長野市,2-4,古野町５−３３,古野区会館前階段下,34.4570002,135.5700281,
大阪府,河内長野市,2-5,古野町１３−１５,古野緑地,34.4556973,135.5729511,
大阪府,河内長野市,2-6,本町１８−１８,古野公園防護柵,34.4534487,135.5727551,
大阪府,河内長野市,2-7,本町２９ 河内長野駅前,河内長野駅前歩道防護柵,34.4514342,135.573117,
大阪府,河内長野市,2-8,西代町４−１９,市道割坂1号線ガードレール,34.4530252,135.5682815,
大阪府,河内長野市,3-1,西代町１１,中村池公園,34.4537545,135.5672167,
大阪府,河内長野市,3-2,西代町１６−５,文化会館駐車場フェンス,34.4526474,135.5644614,
大阪府,河内長野市,3-3,錦町１５−４０,西代神社石垣,34.4509797,135.5623311,
大阪府,河内長野市,3-4,錦町３０−２１,錦町１７地下道北側フェンス,34.4498376,135.5623864,
大阪府,河内長野市,3-5,錦町２５,錦町第２公園,34.4471348,135.5579252,
大阪府,河内長野市,3-6,錦町２２−２,南海バス車庫南側（畑）,34.4488653,135.5620448,
大阪府,河内長野市,3-7,錦町１１−１,廣谷製作所ブロック塀,34.450649,135.5652306,
大阪府,河内長野市,3-8,栄町１−９,坪佐モ－タ－プ－ルフェンス,34.4518023,135.5688107,
