prefecture,city,number,address,name,lat,long,note
大阪府,門真市,1,泉町7番,泉町浄水場正門右側フェンス,34.7423912,135.5828542,
大阪府,門真市,2,泉町7番,泉町浄水場南側通用門鉄柵,34.7423912,135.5828542,
大阪府,門真市,3,泉町4番12号,旧北小学校西側フェンス,34.7430864,135.5844031,
大阪府,門真市,4,松葉町2番,パナソニック南側フェンス（門真市駅北側）,34.7393141,135.5852356,
大阪府,門真市,5,中町2番1号,門真はすはな中学校グラウンド北側フェンス,34.7407081,135.5869119,
大阪府,門真市,6,中町1番,市役所公用車駐車場西側フェンス,34.7393535,135.5868381,
大阪府,門真市,7,中町1番,市役所第二駐車場西側フェンス,34.7393535,135.5868381,
大阪府,門真市,8,新橋町3番,門真プラザ南側らせん階段横植込み,34.7381714,135.5847539,
大阪府,門真市,9,新橋町5番,新橋公園左側奥植込み（パチンコ店裏近く）,34.736966,135.5831493,
大阪府,門真市,10,柳町4番,京阪高架下フェンス,34.737397,135.586272,
大阪府,門真市,11,柳町1番,京阪高架下フェンス,34.7381482,135.5887565,
大阪府,門真市,12,柳町4番,門真小学校西南角フェンス,34.737397,135.586272,
大阪府,門真市,13,柳町13番,柳町公園植込み,34.7362906,135.589046,
大阪府,門真市,14,新橋町19番,新橋町南児童公園内フェンス,34.7359158,135.5851781,
大阪府,門真市,15,栄町1番,京阪高架コンクリート側壁,34.7375045,135.5817476,
大阪府,門真市,16,栄町1番,ネオコーポ門真南側フェンス,34.7375045,135.5817476,
大阪府,門真市,17,栄町3番,京阪高架下フェンス,34.7373799,135.5805672,
大阪府,門真市,18,栄町23番,松下モータープール南側フェンス,34.7338564,135.5802353,
大阪府,門真市,19,栄町14番,駐車場フェンス,34.7355691,135.5808623,
大阪府,門真市,20,栄町21番,新門真ハイツ駐車場フェンス,34.7346709,135.5804197,
大阪府,門真市,21,栄町29番,おおさかパルコープ門真支所駐車場フェンス,34.734168,135.5817476,
大阪府,門真市,22,本町19番5号,門真保育園東側フェンス,34.7360043,135.577284,
大阪府,門真市,23,本町35番,市営住宅北側植樹帯,34.7343934,135.5775428,
大阪府,門真市,24,本町35番,市営住宅広場東側植込み,34.7343934,135.5775428,
大阪府,門真市,25,本町35番,市営住宅西側駐車場フェンス,34.7343934,135.5775428,
大阪府,門真市,26,本町46番,本町児童公園沿道パイプ柵,34.7324611,135.5792394,
大阪府,門真市,27,殿島町7番,守口門真消防本部南側道路 道路側ガードレール,34.7315841,135.5799033,
大阪府,門真市,28,殿島町10番,コーナン門真殿島店自転車置場フェンス,34.7307281,135.5816738,
大阪府,門真市,29,元町26番,西三荘駅東側自転車置場フェンス,34.7371488,135.5767313,
大阪府,門真市,30,元町25番,パナソニック㈱東側歩道植込み,34.7391413,135.5757724,
大阪府,門真市,31,元町17番11号,門真神社社務所横石柱,34.7388018,135.5778393,
大阪府,門真市,32,元町17番,元町児童遊園フェンス,34.7388346,135.5781329,
大阪府,門真市,33,元町14番,元町中央公園道路側西寄り植込み,34.7377153,135.578723,
大阪府,門真市,34,元町6番,京阪高架下駐車場フェンス,34.7379717,135.5804935,
大阪府,門真市,35,元町5番16号,大阪愛徳幼稚園北側フェンス,34.7385911,135.5807126,
大阪府,門真市,36,小路町19番,馬場ガレージ南側フェンス,34.7392374,135.5778747,
大阪府,門真市,37,小路町15番26号,小路町西公園南側フェンス,34.741,135.5791534,
大阪府,門真市,38,小路町21番,西小路自治会館跡地西側フェンス,34.7399466,135.5781329,
大阪府,門真市,39,小路町7番,まことしょうじこども園正門横ブロック塀,34.740787,135.580906,
大阪府,門真市,40,小路町10番,小路ふれあい広場北側植込み,34.7393423,135.5791138,
大阪府,門真市,41,小路町27番,パナソニック電工南側歩道植込み,34.7409305,135.5772477,
大阪府,門真市,42,小路町25番,藤井ガレージフェンス,34.7395476,135.5766576,
大阪府,門真市,43,堂山町6番5号,宅ブロック塀,34.7414426,135.5793724,
大阪府,門真市,44,堂山町11番,堂山町児童公園フェンス,34.7414865,135.5772477,
大阪府,門真市,45,堂山町12番,三番温泉南側ガードレール,34.7420353,135.5778378,
大阪府,門真市,46,堂山町8番,関西電力古川橋豊里町線No.5号鉄塔敷南側フェンス,34.7421207,135.5793869,
大阪府,門真市,47,堂山町19番2号,宅ブロック塀,34.7425037,135.5814709,
大阪府,門真市,48,堂山町20番22号,道徳寺ブロック塀,34.7432042,135.580309,
大阪府,門真市,49,堂山町21番1号,大陽ステンレススプリング株式会社フェンス,34.7435335,135.5810825,
大阪府,門真市,50,月出町20番,月出町児童遊園フェンス,34.7447828,135.5833706,
大阪府,門真市,51,向島町2番3号,宅ブロック塀,34.7455964,135.582191,
大阪府,門真市,52,向島町7番,向島町西児童遊園フェンス,34.7465543,135.5834444,
大阪府,門真市,53,月出町11番,月出町公園フェンス,34.7462619,135.5846248,
大阪府,門真市,54,月出町6番,月出町中央公園北側フェンス,34.7462475,135.5858052,
大阪府,門真市,55,向島町9番,向島公園フェンス,34.7473419,135.5844035,
大阪府,門真市,56,月出町6番37号,宅ブロック塀,34.7461855,135.5862571,
大阪府,門真市,57,浜町14番,浜町公園フェンス,34.7438233,135.5879449,
大阪府,門真市,58,浜町22番,門真みらい小学校東側フェンス,34.7459478,135.5875759,
大阪府,門真市,59,石原町21番,ハイツ北側駐車場フェンス,34.7456553,135.5887565,
大阪府,門真市,60,浜町22番,旧浜町幼稚園正門横フェンス,34.7459478,135.5875759,
大阪府,門真市,61,石原町36番,石原町チビッコ広場北側フェンス,34.7471163,135.5914865,
大阪府,門真市,62,浜町22番,門真みらい小学校正門横フェンス,34.7459478,135.5875759,
大阪府,門真市,63,石原町28番,石原町2号チビッコ広場南側フェンス,34.7456512,135.5919292,
大阪府,門真市,64,大倉町29番,岩井駐車場東側ブロックフェンス,34.745157,135.5939585,
大阪府,門真市,65,大倉町20番,大倉町児童遊園フェンス,34.7461607,135.5928885,
大阪府,門真市,66,石原町16番,石原町東２号広場北側植込み,34.74478500000001,135.5917079,
大阪府,門真市,67,石原町8番,石原町南広場内西側フェンス,34.74383,135.5902321,
大阪府,門真市,68,石原町16番,石原町東広場南側植込み,34.74478500000001,135.5917079,
大阪府,門真市,69,石原町10番,渡邉モータープール西側フェンス,34.74361,135.588616,
大阪府,門真市,70,石原町5番,茨木源モータープールブロック塀,34.7435375,135.5914127,
大阪府,門真市,71,幸福町1番,関西電力本町北線No.11号変電所フェンス,34.7395953,135.5897894,
大阪府,門真市,72,垣内町4番,京阪高架下駐輪場フェンス,34.741284,135.593774,
大阪府,門真市,73,幸福町27番,幸福町東自治会館西側ガードレール,34.7424573,135.5916341,
大阪府,門真市,74,垣内町12番,垣内町児童公園フェンス,34.7426742,135.593774,
大阪府,門真市,75,垣内町1番,ペアビル前植樹帯,34.740607,135.5922982,
大阪府,門真市,76,幸福町11番,旧第一中学校正門左横ブロック塀,34.7414557,135.5911176,
大阪府,門真市,77,幸福町1番,コア古川橋高架下駐車場北側フェンス,34.7395953,135.5897894,
大阪府,門真市,78,古川町10番,古川町パーキング北側フェンス,34.7404057,135.594747,
大阪府,門真市,79,御堂町12番5号,老人福祉センター鉄柵,34.7433906,135.5950981,
大阪府,門真市,80,御堂町14番,保健福祉センター建物北側植込み,34.7440499,135.5949547,
大阪府,門真市,81,御堂町18番,古川橋小学校西側フェンス,34.7441635,135.5970209,
大阪府,門真市,82,御堂町1番,京阪高架下フェンス（京阪バス停鳥道横）,34.7415474,135.5949547,
大阪府,門真市,83,古川町5番,京阪高架下フェンス（自転車店前）,34.7412401,135.5973161,
大阪府,門真市,84,古川町2番,京阪高架下フェンス（鷹木歯科医院前）,34.7409483,135.5956188,
大阪府,門真市,85,速見町4番,速見小学校正門左側ブロックフェンス,34.7356732,135.5921506,
大阪府,門真市,86,末広町38番,京阪高架下駐車場フェンス,34.7388252,135.5902321,
大阪府,門真市,87,末広町7番,古川橋駅南側広場植込み,34.7397445,135.5917817,
大阪府,門真市,88,末広町1番,京阪高架下駐車場フェンス（整骨院前）,34.7404425,135.5943643,
大阪府,門真市,89,末広町18番,関西電力本町北線No.9号鉄塔敷フェンス,34.7380899,135.5934788,
大阪府,門真市,90,寿町2番,山初運輸車庫横フェンス,34.736963,135.5946595,
大阪府,門真市,91,寿町22番,茨木モータープールフェンス,34.7347237,135.5958402,
大阪府,門真市,92,大橋町2番,門真キリスト教会愛児園南側歩道鉄柵,34.7387081,135.5996776,
大阪府,門真市,93,大橋町27番,コーナン門真大橋店南側フェンス,34.735029,135.5992348,
大阪府,門真市,94,大橋町7番,大橋町北児童遊園フェンス,34.7374248,135.5994562,
大阪府,門真市,95,大橋町10番,大橋町公園植込み,34.7370076,135.5994562,
大阪府,門真市,96,大橋町20番,大橋町南児童遊園フェンス,34.7360847,135.5982016,
大阪府,門真市,97,大橋町21番,大和田小学校正門入口歩道鉄柵,34.7353292,135.5974637,
大阪府,門真市,98,大橋町13番,大橋町ポンプ場鉄柵,34.7376178,135.5979065,
大阪府,門真市,99,大池町7番,駐車場ブロック塀,34.7370606,135.6007846,
大阪府,門真市,100,大池町7番,駐車場ブロック塀,34.7370606,135.6007846,
大阪府,門真市,101,大池町1番,駐車場北側フェンス,34.7388411,135.6015596,
大阪府,門真市,102,大池町22番,大池町広場児童遊園フェンス,34.7381152,135.6026297,
大阪府,門真市,103,大池町27番,大池町児童遊園フェンス,34.7378223,135.6038106,
大阪府,門真市,104,大池町29番,おおわだ保育園南側パイプ柵,34.7384708,135.6047701,
大阪府,門真市,105,大池町32番,関西電力古川橋線No.25号鉄塔敷フェンス,34.7375578,135.6055082,
大阪府,門真市,106,野里町33番,川本モータープールフェンス,34.7396914,135.6016703,
大阪府,門真市,107,野里町6番,三菱UFJ銀行大和田支店跡地西側植込み,34.7424145,135.6035154,
大阪府,門真市,108,野里町8番,京阪高架下フェンス,34.7423012,135.6014489,
大阪府,門真市,109,野里町6番,大和田駅前南側広場 南側パイプ柵,34.7424145,135.6035154,
大阪府,門真市,110,野里町4番,歩道沿い水路鉄柵,34.7432341,135.6046963,
大阪府,門真市,111,野里町26番,パステルハイツ前 水路敷フェンス,34.739929,135.6049177,
大阪府,門真市,112,野里町29番,野里町児童公園フェンス,34.7399191,135.602925,
大阪府,門真市,113,常盤町21番,川本モータープール西側歩道鉄柵,34.7395177,135.5988658,
大阪府,門真市,114,常盤町2番,京阪高架下フェンス（セブンイレブン東側）,34.7418137,135.5987182,
大阪府,門真市,115,常盤町5番,京阪高架下フェンス,34.74244360000001,135.6009264,
大阪府,門真市,116,常盤町4番,常盤町自治会館横,34.741486,135.5993714,
大阪府,門真市,117,常盤町9番,森川マンションフェンス,34.74064,135.6008584,
大阪府,門真市,118,常盤町11番,モータープールブロック鉄柵,34.7411715,135.6000466,
大阪府,門真市,119,常盤町19番,宅前畑ブロック塀,34.7399778,135.5982016,
大阪府,門真市,120,常称寺町16番,京阪高架下フェンス（大和田下手）,34.743086,135.5998252,
大阪府,門真市,121,常称寺町16番,ネオコーポ門真東2番街自治会館フェンス,34.743086,135.5998252,
大阪府,門真市,122,常称寺町6番,駐車場ブロック塀,34.7448331,135.5990872,
大阪府,門真市,123,常称寺町28番,常称寺児童公園フェンス,34.7447819,135.6032202,
大阪府,門真市,124,常称寺町25番,川田モータープールフェンス,34.7450746,135.6020393,
