prefecture,city,number,address,name,lat,long,note
大阪府,阪南市,1-1,山中渓543－39先,垣原住宅入口滑下橋すぐのフェンス,34.3367665,135.2650044,
大阪府,阪南市,1-2,山中渓1367－1,山中渓向田橋ガードレール,34.326008,135.271576,緯度経度は怪しい
大阪府,阪南市,1-3,山中渓454先,山中渓道和歌山貝塚線ガードパイプ,34.3331835,135.2688626,
大阪府,阪南市,1-4,山中渓134－1,JR山中渓駅前フェンス,34.326008,135.271576,緯度経度は怪しい
大阪府,阪南市,2-1,自然田165,桜ヶ丘東鳥取109号線沿いガードパイプ,34.349026,135.260956,緯度経度は怪しい
大阪府,阪南市,2-2,和泉鳥取880－2,和泉鳥取住民センターフェンス,34.346493,135.262039,緯度経度は怪しい
大阪府,阪南市,2-3,和泉鳥取1455,鳥取東中学校和歌山貝塚線沿いフェンス,34.3464071,135.264964,
大阪府,阪南市,2-4,自然田317－3,大阪ガス施設用地フェンス,34.3463331,135.2583481,
大阪府,阪南市,2-5,自然田440－1先,自然田和歌山貝塚線ガードパイプ（セブンイレブン前）,34.3422584,135.2614722,
大阪府,阪南市,2-6,自然田1068－2,JR和泉鳥取駅前ガードレール,34.336857,135.2547,緯度経度は怪しい
大阪府,阪南市,3-1,自然田771－3,和泉緑ヶ丘線市道ガードパイプ,34.340412,135.257629,緯度経度は怪しい
大阪府,阪南市,3-2,緑ヶ丘1－866－281,緑ヶ丘第1号公園フェンス,34.33881,135.259506,緯度経度は怪しい
大阪府,阪南市,3-3,緑ヶ丘1－619－37,大正不動産㈱倉庫前,34.33881,135.259506,緯度経度は怪しい
大阪府,阪南市,3-4,緑ヶ丘2－866－190,緑ヶ丘公園フェンス,34.336296,135.261963,緯度経度は怪しい
大阪府,阪南市,4-1,自然田1454,旧東鳥取小学校正門横フェンス,34.3488705,135.2490812,
大阪府,阪南市,4-2,自然田1541－6,増尾裕司宅ブロック塀,34.3499331,135.2555011,
大阪府,阪南市,4-3,自然田1623－1,古野順也宅ブロック塀,34.3479065,135.2537777,
大阪府,阪南市,4-4,自然田1429－1,奥野清治所有駐車場フェンス,34.348134,135.2508524,
大阪府,阪南市,4-5,自然田1312－2先,市道東鳥取92号線ガードレール,34.344105,135.251602,緯度経度は怪しい
大阪府,阪南市,4-6,自然田1660先,尾崎自然田線市道ガードパイプ,34.3463379,135.2540129,
大阪府,阪南市,4-7,自然田1493－2,鳥取市市道尾崎自然田線ガードレール,34.350044,135.252213,緯度経度は怪しい
大阪府,阪南市,4-8,自然田766－14,阪南市立第2光風園児童遊園フェンス,34.341164,135.256866,緯度経度は怪しい
大阪府,阪南市,5-1,鳥取中452－34先,沢田児童遊園フェンス,34.3544306,135.2503483,
大阪府,阪南市,5-2,下出548－1,上井小学校裏フェンス,34.3554854,135.2475785,
大阪府,阪南市,5-3,鳥取中293－2,鳥取中住民センターフェンス,34.3517984,135.2510325,
大阪府,阪南市,5-4,鳥取中319－4先,鳥取中東鳥取74号線市道ガードパイプ,34.3506457,135.2490234,
大阪府,阪南市,5-5,自然田1464,東鳥取公民館フェンス,34.3497411,135.2498876,
大阪府,阪南市,6-1,桑畑352,桑畑住民センター前児童遊園フェンス,34.3305581,135.2417163,
大阪府,阪南市,6-2,桑畑144－1,阪上広己宅前ガードレール,34.318405,135.254837,緯度経度は怪しい
大阪府,阪南市,6-3,桑畑399先,下川橋北側ガードレール,34.333256,135.24353,緯度経度は怪しい
大阪府,阪南市,6-4,石田97先,井関池の下のガードレール,34.341496,135.246918,緯度経度は怪しい
大阪府,阪南市,7-1,石田1050,祐道寺ブロック塀,34.3449595,135.24648,
大阪府,阪南市,7-2,石田259前,キリン堂阪南石田店前ガードパイプ,34.3468766,135.2443257,
大阪府,阪南市,7-3,石田635,水木所有駐車場ブロック塀,34.3480303,135.2477789,
大阪府,阪南市,8-1,黒田5－3,黒田住民センターフェンス,34.3552755,135.2401667,
大阪府,阪南市,8-2,黒田468-1,たんぽぽ園フェンス,34.3556312,135.2435246,
大阪府,阪南市,8-3,黒田341,鳥取中学校ブロック塀,34.3537644,135.242362,
大阪府,阪南市,8-4,尾崎町35-1先,阪南市役所前道路沿いガードパイプ,34.3596161,135.239698,
大阪府,阪南市,8-5,黒田143-3,北浦吾郎宅ブロック塀,34.3571979,135.2382583,
大阪府,阪南市,8-6,黒田493-1,阿形淳一宅ブロック塀,34.356621,135.2432254,
大阪府,阪南市,8-7,黒田240-1先,阪南郵便局横道路沿いガードパイプ,34.3547826,135.2389885,
大阪府,阪南市,8-8,鳥取中95-1,マクドナルド隣空地,34.3535039,135.240347,
大阪府,阪南市,9-1,鳥取中174-1,西日本電信電話(株)所有ガードパイプ,34.3564223,135.2451171,
大阪府,阪南市,9-2,下出698-3,下出住民センター駐車場フェンス,34.3597799,135.2451612,
大阪府,阪南市,9-3,鳥取中187-1,笠松産婦人科小児科専用駐車場フェンス,34.357185,135.245163,緯度経度は怪しい
大阪府,阪南市,9-4,下出727-4,大阪信用金庫尾崎支店フェンス,34.3610277,135.2443181,
大阪府,阪南市,9-5,下出684,下出市道尾崎 白熊線ガードパイプ(西村向かい),34.3584945,135.2463157,
大阪府,阪南市,9-6,下出241-2,東鳥取7号線沿いガードレール(コンシェルジュ カラオケ付近),34.363979,135.244537,緯度経度は怪しい
大阪府,阪南市,9-7,下出262-59,下出第1児童遊園横フェンス,34.3619513,135.2465618,
大阪府,阪南市,9-8,下出167-1,オークワ尾崎店北口進入路フェンス,34.3620679,135.2445861,
大阪府,阪南市,9-9,下出36-2,尾崎東住民センターブロック塀,34.3613719,135.2417303,
大阪府,阪南市,9-10,下出37-3,尾崎駅山側フェンス,34.361263,135.240982,緯度経度は怪しい
大阪府,阪南市,9-11,尾崎町35-1,市役所皿田池7碑前フェンス,34.3596161,135.239698,
大阪府,阪南市,9-12,下出17,阪南市民病院駐車場フェンス,34.360966,135.242203,緯度経度は怪しい
大阪府,阪南市,10-1,さつき台1-4,さつき台汚水処理場ガードパイプ,34.341705,135.251968,緯度経度は怪しい
大阪府,阪南市,10-2,さつき台1-35,さつき台東鳥取222号線沿ガードレール,34.340481,135.251343,緯度経度は怪しい
大阪府,阪南市,10-3,さつき台1-25,さつき台1号公園ガードレール,34.339859,135.250122,緯度経度は怪しい
大阪府,阪南市,10-4,さつき台1-24,さつき台住民センターガードレール,34.339355,135.249741,緯度経度は怪しい
大阪府,阪南市,10-5,さつき台2-9,さつき台幼稚園フェンス,34.337276,135.250229,緯度経度は怪しい
大阪府,阪南市,10-6,さつき台2-5,さつき台東鳥取228号ガードレール,34.337032,135.248428,緯度経度は怪しい
大阪府,阪南市,11-1,石田600-1,東鳥取小学校フェンス,34.3497866,135.2473563,
大阪府,阪南市,11-2,石田600-1,石田保育所前ブロック塀,34.3497866,135.2473563,
大阪府,阪南市,11-3,石田600-6,府営石田団地内9棟前駐車場横カーブミラー下,34.3510615,135.2446852,
