prefecture,city,number,address,name,lat,long
宮城県,大和町,吉岡第１投票区,大和町吉岡字東柴崎６２,黒川高等学校前（鉄フェンス）,38.4417066,140.9025896
宮城県,大和町,吉岡第１投票区,大和町吉岡字上柴崎１－１,柳丁緑地（公園）前,38.4418095,140.8973374
宮城県,大和町,吉岡第１投票区,大和町吉岡字志田町１,masked,38.4433454,140.8875585
宮城県,大和町,吉岡第１投票区,大和町吉岡字町裏１６,大和町吉岡コミュニティセンター前,38.4464498,140.8865234
宮城県,大和町,吉岡第１投票区,大和町吉岡字下町５,masked,38.4492656,140.8843075
宮城県,大和町,吉岡第２投票区,大和町吉岡字館下８８,保健福祉総合センター（ひだまりの丘）東側,38.44780009999999,140.8807955
宮城県,大和町,吉岡第２投票区,大和町吉岡字古館７０－２,佐々光建設資材置場前(ガードパイプ)（町道長丁線）,38.4495927,140.8775892
宮城県,大和町,吉岡第２投票区,大和町吉岡字古館２５－１,大和町体育センター前（鉄フェンス）,38.4481233,140.8763655
宮城県,大和町,吉岡第２投票区,大和町吉岡字西原２４－１,masked,38.4489414,140.8729907
宮城県,大和町,吉岡第２投票区,大和町吉岡字西原７１－７,masked,38.4494727,140.8678197
宮城県,大和町,吉岡第３投票区,大和町吉岡字車東１６－８,宮城交通（株）吉岡案内所南側,38.4425826,140.8840354
宮城県,大和町,吉岡第３投票区,大和町吉岡まほろば１－１－１,大和町役場前,38.4374727,140.8863505
宮城県,大和町,吉岡第３投票区,大和町吉岡南二丁目４－１４,大和町ふれあい文化創造センター（まほろばホール）南西角,38.4480105,140.8840366
宮城県,大和町,吉岡第３投票区,大和町吉岡南二丁目２８－３,masked,38.4443755,140.8756953
宮城県,大和町,吉岡第３投票区,大和町吉岡まほろば二丁目１３,西柿木公園東側,38.4383504,140.8762395
宮城県,大和町,宮床第１投票区,大和町宮床字山崎６７,山田生活センター前（金網フェンス）,38.41668629999999,140.8593554
宮城県,大和町,宮床第１投票区,大和町宮床字中野５１－１,小川酒店北隣,38.409361,140.8517381
宮城県,大和町,宮床第１投票区,大和町宮床字八坊原６４－５,masked,38.4046809,140.8443599
宮城県,大和町,宮床第１投票区,大和町宮床字下小路４６－１,宮床小学校前,38.4035644,140.8498745
宮城県,大和町,宮床第１投票区,大和町宮床字中野２８－１,masked,38.4023737,140.8469015
宮城県,大和町,宮床第２投票区,大和町もみじケ丘一丁目２４,もみじケ丘一丁目会館,38.3763754,140.8592026
宮城県,大和町,宮床第２投票区,大和町もみじケ丘二丁目３,大和町立小野小学校（金網フェンス）,38.37941,140.859608
宮城県,大和町,宮床第２投票区,大和町もみじケ丘三丁目３０,わかば公園西側,38.3834896,140.8626508
宮城県,大和町,宮床第３投票区,大和町小野字荒井２１２,荒井公民館前（町道山下大沢線側）,38.3978554,140.8656546
宮城県,大和町,宮床第３投票区,大和町小野字向田,小野コミュニティセンタ－前（町道山下大沢線）,38.3897049,140.8591096
宮城県,大和町,宮床第３投票区,大和町小野字長岫１４－３９,大和町石倉多目的集落センター前,38.3677641,140.848061
宮城県,大和町,宮床第３投票区,大和町杜の丘一丁目,ハーモニータウン中央バス停留所向い　　（町道前河原熊谷線）,38.3845342,140.8652884
宮城県,大和町,宮床第３投票区,大和町杜の丘三丁目,杜の丘１号公園南東側,38.38939080000001,140.8659378
宮城県,大和町,宮床第４投票区,大和町宮床字樋田上,masked,38.4197133,140.809994
宮城県,大和町,宮床第４投票区,大和町宮床字新田下,難波生活改善センター前（町道宮床難波線）,38.4177601,140.8003604
宮城県,大和町,宮床第４投票区,大和町宮床字前北子,masked,38.4193631,140.7902596
宮城県,大和町,吉田第１投票区,大和町吉田字柳沢,masked,38.4447169,140.8459814
宮城県,大和町,吉田第１投票区,大和町吉田字立輪６８,大和町吉田ふるさとセンター前,38.4267065,140.81715
宮城県,大和町,吉田第１投票区,大和町吉田字金取北,金取北公民館前（町道長窪線）,38.4519749,140.8205228
宮城県,大和町,吉田第１投票区,大和町吉田字日水６４,沢渡公民館向い(個人所有地内),38.4709533,140.792642
宮城県,大和町,吉田第１投票区,大和町吉田字坂下４－３,八志田公民館前,38.4629505,140.8078819
宮城県,大和町,吉田第１投票区,大和町吉田字割前１２,masked,38.45801720000001,140.824765
宮城県,大和町,吉田第１投票区,大和町吉田字寺野東３２,吉田コミュニティセンター前（金網フェンス）,38.4527757,140.8324037
宮城県,大和町,吉田第１投票区,大和町吉田字下童子沢３２－２,masked,38.4507988,140.8504744
宮城県,大和町,吉田第１投票区,大和町吉田字山ノ神１２－１,masked,38.44952,140.8638204
宮城県,大和町,吉田第２投票区,大和町吉田字高田畑中２４,masked,38.4409286,140.8654861
宮城県,大和町,吉田第２投票区,大和町吉田字川端５９,masked,38.4381859,140.86385
宮城県,大和町,吉田第２投票区,大和町吉田字南五福院２－６,南五福院公園前（金網フェンス）,38.435603,140.8771962
宮城県,大和町,吉田第２投票区,大和町吉田字要害川原５５－１,高田コミュニティセンター前（金網フェンス）,38.4331495,140.8828173
宮城県,大和町,鶴巣第１投票区,大和町鶴巣下草字下畑２－４,下草児童遊園前（金網フェンス）,38.4209009,140.9058357
宮城県,大和町,鶴巣第１投票区,大和町鶴巣北目大崎字寺東６４－２,masked,38.4194974,140.9239344
宮城県,大和町,鶴巣第１投票区,大和町鶴巣北目大崎字的場,砂金沢レクリエーション広場（金網フェンス）,38.4273625,140.9288368
宮城県,大和町,鶴巣第１投票区,大和町鶴巣北目大崎字岸９６－４,鶴巣小学校前バス停留所隣り,38.4193796,140.9364959
宮城県,大和町,鶴巣第１投票区,大和町鶴巣北目大崎字屋敷下１５－１,masked,38.4187743,140.935488
宮城県,大和町,鶴巣第１投票区,大和町鶴巣鳥屋字町場３７－１,町田橋北西側県道塩釜吉岡線沿い,38.4124145,140.9321282
宮城県,大和町,鶴巣第１投票区,大和町鶴巣幕柳字十王沢三番１０,masked,38.4013493,140.9386358
宮城県,大和町,鶴巣第２投票区,大和町鶴巣太田字榴沢西,太田公民館前（金網フェンス）,38.3854879,140.9403527
宮城県,大和町,鶴巣第２投票区,大和町鶴巣山田字水吸,鶴巣山田生活センター前（町道山田線）,38.3716619,140.9409777
宮城県,大和町,鶴巣第２投票区,大和町鶴巣小鶴沢字鹿野前,masked,38.3692479,140.9624983
宮城県,大和町,鶴巣第３投票区,大和町鶴巣大平字櫨崎９,masked,38.4179115,140.9530251
宮城県,大和町,鶴巣第３投票区,大和町鶴巣大平字郷ノ目,文屋商店向い（町道幕柳大平線）,38.419462,140.9587036
宮城県,大和町,鶴巣第３投票区,大和町鶴巣大平字窪川４２,masked,38.4230948,140.962218
宮城県,大和町,鶴巣第３投票区,大和町鶴巣大平字新田６０－１,大平下公民館前　仙台カイハツ生コンクリート（株）（金網フェンス）,38.4223054,140.9692065
宮城県,大和町,鶴巣第３投票区,大和町鶴巣大平字一本木２２,masked,38.4244701,140.9724968
宮城県,大和町,落合第１投票区,大和町落合舞野字上舞野東５,舞野生活改善センター前（金網フェンス）,38.4332397,140.9009593
宮城県,大和町,落合第１投票区,大和町落合舞野字仁和多利７４,舞野文化センター隣り,38.4344811,140.9059317
宮城県,大和町,落合第１投票区,大和町落合まいの一丁目１３－８,masked,38.4386248,140.9070273
宮城県,大和町,落合第２投票区,大和町落合蒜袋字天王前１－３,蒜袋生活センター前,38.447279,140.9109398
宮城県,大和町,落合第２投票区,大和町落合舞野字一本杉１２－２,masked,38.4321592,140.9196393
宮城県,大和町,落合第２投票区,大和町落合相川字大沢,masked,38.4401422,140.9214981
宮城県,大和町,落合第２投票区,大和町落合相川字塚越２,大和町落合ふるさとセンター前,38.4372291,140.9322403
宮城県,大和町,落合第２投票区,大和町落合相川字馬場９３,masked,38.437203,140.9373566
宮城県,大和町,落合第２投票区,大和町落合桧和田字八幡堂２,上桧和田生活センター前,38.4271764,140.9403752
宮城県,大和町,落合第２投票区,大和町落合松坂字赤坂４－３,大和町松坂生活改善センター前（金網フェンス）,38.4486505,140.9426582
宮城県,大和町,落合第２投票区,大和町落合松坂字山の神,大角公民館前（町道大角大松沢線）,38.4532782,140.9445359
宮城県,大和町,落合第３投票区,大和町落合桧和田字万五郎一番,悟渓寺隣り（町道桧和田本線）,38.4282903,140.9508395
宮城県,大和町,落合第３投票区,大和町落合報恩寺字根柄１５,旧報恩寺児童館前（金網フェンス）,38.4387605,140.9557959
宮城県,大和町,落合第３投票区,大和町落合三ケ内字名子沢２１,masked,38.44039,140.9599446
宮城県,大和町,落合第３投票区,大和町落合三ケ内字井泥４－２,masked,38.4418765,140.9676729
