prefecture,city,number,address,name,lat,long
宮城県,富谷市,01-01,富谷市富谷新町１６－１先,熊野神社北側旧国道ガードパイプ,38.3992126,140.8852305
宮城県,富谷市,01-02,富谷市富谷新町１０６,佐忠西側歩道,38.3989619,140.8872076
宮城県,富谷市,01-03,富谷市富谷西沢１３,富谷中央公民館南側フェンス,38.4011761,140.8901343
宮城県,富谷市,01-04,富谷市富谷清水仲１３５－３,masked,38.3972365,140.8944718
宮城県,富谷市,01-05,富谷市穀田立石４３－２　隣,masked,38.3912978,140.8961721
宮城県,富谷市,01-06,富谷市富谷坂松田３０,富谷市役所前,38.3999043,140.8953202
宮城県,富谷市,01-07,富谷市ひより台一丁目１２３,ひより台一丁目南公園北側フェンス,38.4034684,140.8840639
宮城県,富谷市,01-08,富谷市ひより台ニ丁目４２ー１,ひより台ニ丁目会館北側フェンス,38.4044279,140.8879412
宮城県,富谷市,01-09,富谷市ひより台一丁目１１９,ひより台一丁目調整池西側緑地,38.4009628,140.8830855
宮城県,富谷市,02-01,富谷市太子堂一丁目１９,太子堂ゲートボール場北西側,38.4135777,140.8930749
宮城県,富谷市,02-02,富谷市太子堂一丁目１番先,宮交バス停『三ノ関（上り）』北側緑地帯,38.4108729,140.890056
宮城県,富谷市,02-03,富谷市太子堂一丁目１７番内,太子堂一丁目公園北西側フェンス,38.4125358,140.8926225
宮城県,富谷市,02-04,富谷市三ノ関膳部沢下１１　先,masked,38.4154888,140.8956555
宮城県,富谷市,03-01,富谷市一ノ関コウスノ２ー５,masked,38.4106465,140.8839937
宮城県,富谷市,03-02,富谷市二ノ関相良３０番２,二ノ関会館前フェンス,38.4177985,140.8813035
宮城県,富谷市,03-03,富谷市三ノ関西沖２６ー１０,（有）ショーカイ自動車販売北側,38.4218051,140.8889335
宮城県,富谷市,03-04,富谷市志戸田切添３,志戸田会館前,38.4256843,140.8885426
宮城県,富谷市,04-01,富谷市大童上八幡１０６ー５,masked,38.3939431,140.9166734
宮城県,富谷市,04-02,富谷市今泉鶴巻５１　先,masked,38.4002367,140.9210862
宮城県,富谷市,04-03,富谷市今泉新上中田５２,masked,38.3936691,140.9239727
宮城県,富谷市,04-04,富谷市今泉八幡下５７－１,今泉会館東側ポンプ車小屋地内,38.3950586,140.9260341
宮城県,富谷市,04-05,富谷市大亀新袋４１,市民バス停『間渡橋』南側ガードパイプ,38.3810108,140.9253854
宮城県,富谷市,05-01,富谷市石積十文字３－７,石積会館南西側,38.3681315,140.9167795
宮城県,富谷市,05-02,富谷市明石祭田４－１,masked,38.3520111,140.9108615
宮城県,富谷市,05-03,富谷市明石下寺前２－２　先,旧明石消防ポンプ置場東側,38.358937,140.9034867
宮城県,富谷市,05-04,富谷市西成田郷田一番９４,西成田コミュニティセンター前,38.3857507,140.9063744
宮城県,富谷市,05-05,富谷市西成田榎町８２,masked,38.3769158,140.9048533
宮城県,富谷市,06-01,富谷市東向陽台二丁目１０番１０号,東向陽台第一会館東側柵,38.3388642,140.9041889
宮城県,富谷市,06-02,富谷市東向陽台一丁目１６番５号先,宮交バス停『東向陽台一丁目』南側緑地帯,38.3409183,140.9036122
宮城県,富谷市,06-03,富谷市東向陽台三丁目１３番１５号,東向陽台第二会館南側,38.3429396,140.8954481
宮城県,富谷市,06-04,富谷市明石台一丁目１,東向陽台公民館西側フェンス,38.3414283,140.9010399
宮城県,富谷市,06-05,富谷市明石台一丁目３０－２,masked,38.3423006,140.9008191
宮城県,富谷市,06-06,富谷市明石台一丁目３７－１３,東向陽台小学校西側角フェンス,38.3470566,140.8963116
宮城県,富谷市,06-07,富谷市明石台ニ丁目９－２,東向陽台サニーハイツ会館北側,38.3491291,140.8905066
宮城県,富谷市,06-08,富谷市明石台七丁目２－１,とみや子育て支援センター北東角法面,38.3468722,140.8999244
宮城県,富谷市,06-09,富谷市明石台八丁目２９－２,明石台八丁目第二公園東側,38.3427349,140.9027536
