prefecture,city,number,address,name,lat,long
宮城県,川崎町,第１（町）,川崎町大字前川字裏尻３３,ひだまり公園北側,38.1742485,140.6420639
宮城県,川崎町,第１（町）,川崎町大字前川字堀切１１－３,桜地蔵尊東側空き地,38.1781904,140.6348781
宮城県,川崎町,第１（町）,川崎町大字前川字中町５４-1,masked,38.175149,140.6461323
宮城県,川崎町,第１（町）,川崎町大字前川字裏丁１３３－１,個人所有畜舎前,38.1779153,140.6389224
宮城県,川崎町,第１（町）,川崎町大字前川字裏丁３１－１,旧JA-SS川崎支店跡地東側,38.1777829,140.6468163
宮城県,川崎町,第１（町）,川崎町大字前川字裏丁１７５－１,川崎町山村開発センター東側,38.1772411,140.6428597
宮城県,川崎町,第１（町）,川崎町大字前川字本町１７－２,本荒町コミュニティセンター,38.1765397,140.6411932
宮城県,川崎町,第１（町）,川崎町大字前川字槻木６０,masked,38.1613844,140.6341943
宮城県,川崎町,第２（前川）,川崎町大字前川字大向２９－２,前川東部地区集落センター敷地内,38.1666848,140.6278676
宮城県,川崎町,第２（前川）,川崎町大字前川字大森１１１－４,前川小学校正門前,38.16539909999999,140.6198377
宮城県,川崎町,第２（前川）,川崎町大字前川字浪形１８６－２,masked,38.1682983,140.6105046
宮城県,川崎町,第２（前川）,川崎町大字前川字浪形４４－１,前川西地区集落センター町道側,38.1712025,140.5956755
宮城県,川崎町,第３（腹帯）,川崎町大字前川字松葉森山１２－５,masked,38.1633129,140.5767661
宮城県,川崎町,第３（腹帯）,川崎町大字前川字松葉森山１,腹帯地区集落センター東側,38.1640576,140.577265
宮城県,川崎町,第４（青根）,川崎町青根温泉２－15,大河原警察署青根駐在所隣駐車場,38.1455561,140.5358839
宮城県,川崎町,第４（青根）,川崎町大字前川字六方山２－７８,蔵王・青根グリーン・スパ案内所西側,38.1554847,140.558838
宮城県,川崎町,第４（青根）,川崎町青根温泉１５－１,masked,38.1474159,140.534552
宮城県,川崎町,第５（立野）,川崎町大字今宿字川崎原２２４－１,masked,38.1868081,140.6175654
宮城県,川崎町,第５（立野）,川崎町大字今宿字立野屋敷１６－１,立野地区集落センター西側,38.1836504,140.6146738
宮城県,川崎町,第５（立野）,川崎町大字今宿字前田６,熊野神社前,38.176429,140.6181005
宮城県,川崎町,第５（立野）,川崎町大字今宿字清水前畑４３,masked,38.1954036,140.6062479
宮城県,川崎町,第６（野上）,川崎町大字今宿字野上町３３,masked,38.1951334,140.5975647
宮城県,川崎町,第６（野上）,川崎町大字今宿字西林山,道祖神敷地南側,38.1969104,140.5933602
宮城県,川崎町,第６（野上）,川崎町大字今宿字町尻１,第二小学校プール南側フェンス,38.19347459999999,140.6014147
宮城県,川崎町,第６（野上）,川崎町大字今宿字ヘタノ前４１,masked,38.1878762,140.5965605
宮城県,川崎町,第６（野上）,川崎町大字今宿字野上町２３－１,川崎町公民館野上分館前,38.1954214,140.5975238
宮城県,川崎町,第７（古関）,川崎町大字今宿字シシナゴ５３－２２,masked,38.2027166,140.5823818
宮城県,川崎町,第７（古関）,川崎町大字今宿字叺畑８－１,川崎町公民館古関分館前,38.2062821,140.5816476
宮城県,川崎町,第７（古関）,川崎町大字今宿字川岸山１－５,masked,38.2052,140.578244
宮城県,川崎町,第８（笹谷）,川崎町大字今宿字笹谷町７７－４,笹谷地区コミュニティ広場,38.2241248,140.5115698
宮城県,川崎町,第８（笹谷）,川崎町大字今宿字神林５,川崎町公民館笹谷分館入り口,38.22207400000001,140.5150461
宮城県,川崎町,第８（笹谷）,川崎町大字小野字二本松１９,masked,38.1831819,140.6680826
宮城県,川崎町,第９（小野）,川崎町大字大久保字４－３,旧小野班ポンプ場跡地,38.1758731,140.6436819
宮城県,川崎町,第９（小野）,川崎町大字小野字町,小野分館前,38.187406,140.6686287
宮城県,川崎町,第９（小野）,川崎町大字支倉字上針,小沢地区墓地西側,38.1708959,140.6652513
宮城県,川崎町,第９（小野）,川崎町大字支倉字西原２６－３,みちのく公園線、北向・釜房線交差点,38.17246129999999,140.6691829
宮城県,川崎町,第９（小野）,川崎町大字川内字河原前３５,masked,38.1841935,140.6427715
宮城県,川崎町,第１０（荒羽賀）,川崎町大字川内字北川原山,海洋センター入口（町有地）,38.1868832,140.6349851
宮城県,川崎町,第１０（荒羽賀）,川崎町大字川内字内木戸２２,masked,38.1933981,140.621804
宮城県,川崎町,第１０（荒羽賀）,川崎町大字川内字糀谷山,住吉明神西側,38.1942027,140.6440105
宮城県,川崎町,第１０（荒羽賀）,川崎町大字川内字大原前１１,masked,38.19521220000001,140.652118
宮城県,川崎町,第１０（荒羽賀）,川崎町大字川内字東原８９－２,町道上石丸・内野線起点北側,38.2055782,140.6594213
宮城県,川崎町,第１１（川内）,川崎町大字川内字天神前３０６,天神地区ライスセンター前,38.2062228,140.6351988
宮城県,川崎町,第１１（川内）,川崎町大字川内字天神原山２８－２,旧川内小学校裏・生活ｾﾝﾀｰ前,38.2066276,140.6448716
宮城県,川崎町,第１１（川内）,川崎町大字川内字高欠１５－６,masked,38.2162922,140.6186476
宮城県,川崎町,第１１（川内）,川崎町大字川内字芋の窪１６－３,蔵王ｸﾞﾘｰﾝﾎｰﾑ前,38.2254577,140.5851785
宮城県,川崎町,第１１（川内）,川崎町大字本砂金字山崎１０６－６,個人所有畑地,38.2421953,140.6321372
宮城県,川崎町,第１２（本砂金）,川崎町大字本砂金字道畑９１,旧本砂金小学校校庭南側,38.241104,140.6394678
宮城県,川崎町,第１２（本砂金）,川崎町大字本砂金字宿２６,masked,38.24014020000001,140.6477481
宮城県,川崎町,第１２（本砂金）,川崎町大字本砂金字坂下４３－１,masked,38.2379173,140.657776
宮城県,川崎町,第１２（本砂金）,川崎町大字支倉字金田４３－１２,masked,38.158588,140.6984498
宮城県,川崎町,第１３（支倉）,川崎町大字支倉字山口前１１－３,山口屋商店西向い,38.1674752,140.7076915
宮城県,川崎町,第１３（支倉）,川崎町大字支倉字塩沢１７,支倉郷土文化伝承館前,38.17217369999999,140.7172791
宮城県,川崎町,第１３（支倉）,川崎町大字支倉字宮脇東１５－４,支倉下地区集落センター前,38.1832977,140.7259158
宮城県,川崎町,第１３（支倉）,川崎町大字支倉字中音無,masked,38.1592575,140.6905712
宮城県,川崎町,第１４（碁石）,川崎町大字支倉字堀ノ内38,個人所有畑地,38.1986843,140.7211236
宮城県,川崎町,第１４（碁石）,川崎町大字支倉字和合４１,碁石集落センター西側,38.19689899999999,140.722714
宮城県,川崎町,第１４（碁石）,川崎町大字支倉字川向４９－５,富岡小学校校門前,38.1989357,140.7237431
宮城県,川崎町,第１５（支倉台）,川崎町支倉台一丁目１－２９,支倉台団地内,38.2020951,140.7340907
宮城県,川崎町,第１５（支倉台）,川崎町支倉台一丁目１１－２４,支倉台団地内（自遊広場前）,38.2013751,140.736965
宮城県,川崎町,第１５（支倉台）,川崎町支倉台一丁目２１－８,支倉台団地内(こども公園前),38.1979899,140.7386009
