prefecture,city,number,address,name,lat,long
宮城県,村田町,01-01,村田町大字村田字迫6－1,村田町役場前,38.1183856,140.7221078
宮城県,村田町,01-02,村田町大字村田字大槻下4－1,八島氏敷地前,38.1207574,140.7231342
宮城県,村田町,01-03,村田町大字村田字西田28－1,村田町中央公民館前,38.1158944,140.7228453
宮城県,村田町,01-04,村田町大字村田字石生9－1,masked,38.1229514,140.7293633
宮城県,村田町,01-05,村田町大字村田字金谷32－2,masked,38.1138446,140.7179266
宮城県,村田町,01-06,村田町大字村田字東86－10,masked,38.1169378,140.7274892
宮城県,村田町,01-07,村田町大字村田字小池地内,デイリーヤマザキ（字小池）向かい,38.122101,140.7135823
宮城県,村田町,01-08,村田町大字村田字押切26,masked,38.1133236,140.7259859
宮城県,村田町,02-01,村田町大字足立字田中前64－3,masked,38.1332862,140.7153221
宮城県,村田町,02-02,村田町大字足立字元舘地内,熊坂理容店東側,38.1429927,140.7100949
宮城県,村田町,02-03,村田町大字足立字明神93,西足立地区公民館前,38.1386636,140.7142753
宮城県,村田町,02-04,村田町大字足立字滑沢12－10,masked,38.1496052,140.700571
宮城県,村田町,02-05,村田町大字足立字万崎44－1,masked,38.128726,140.714446
宮城県,村田町,02-06,村田町大字足立字上ケ戸25－1,柏松苑前,38.1357066,140.7054198
宮城県,村田町,03-01,村田町大字小泉字南乙内22－1,旧第三小学校前,38.104414,140.730054
宮城県,村田町,03-02,村田町大字沼辺字南公4－1,masked,38.092689,140.7358064
宮城県,村田町,03-03,村田町大字小泉字割田48,小泉地区公民館脇,38.1046499,140.7313815
宮城県,村田町,03-04,村田町大字小泉字五斗内9－1,荒芳賀集会所前,38.1013317,140.7381786
宮城県,村田町,03-05,村田町大字小泉字樋の口地内,水上橋付近,38.1220435,140.7508235
宮城県,村田町,03-06,村田町大字小泉字三斗内36,三斗内ゴミ集積所横,38.0965434,140.746238
宮城県,村田町,03-07,村田町大字小泉字西浦30,門馬建設前,38.108338,140.7264508
宮城県,村田町,04-01,村田町大字小泉字道端地内,姥ヶ懐地区公民館前,38.1324885,140.7490892
宮城県,村田町,04-02,村田町大字小泉字小滝地内,牛石橋付近,38.123866,140.7417502
宮城県,村田町,04-03,村田町大字小泉字一子沢地内,馬ノ爪橋付近,38.1220435,140.7508235
宮城県,村田町,04-04,村田町大字小泉字北姥ヶ懐38－1,masked,38.1333219,140.7547872
宮城県,村田町,04-05,村田町大字小泉字北姥ヶ懐85－1,姥ヶ懐橋付近,38.1333219,140.7547872
宮城県,村田町,05-01,村田町大字小泉字高田41－1,masked,38.1008129,140.7232184
宮城県,村田町,05-02,村田町大字薄木字屋敷34,masked,38.1008067,140.7073556
宮城県,村田町,05-03,村田町大字薄木字二反沢地内,薄木集会所付近,38.0981852,140.7079838
宮城県,村田町,05-04,村田町大字小泉字北小谷地内,masked,38.1220435,140.7508235
宮城県,村田町,05-05,村田町大字薄木字金原地内,元森商店向かい,38.1027541,140.7123021
宮城県,村田町,06-01,村田町大字足立字生江地内,元深沢商店前,38.1412823,140.7266416
宮城県,村田町,06-02,村田町大字足立字岫28-4,東足立地区公民館前,38.1442542,140.727651
宮城県,村田町,06-03,村田町大字足立字井戸上地内,masked,38.147651,140.7268525
宮城県,村田町,06-04,村田町大字足立字類孝地内,無刀関元ポンプ小屋跡,38.156856,140.7392386
宮城県,村田町,07-01,村田町大字足立字北向地内,川村地区入口付近,38.1673243,140.6548458
宮城県,村田町,07-02,村田町大字足立字北向54－3,北向コミュニティセンター前,38.1691285,140.6570269
宮城県,村田町,08-01,村田町大字沼辺字新日の崎107,新日の崎ちびっこ広場脇,38.0666925,140.7299252
宮城県,村田町,08-02,村田町大字沼辺字小谷地地内,masked,38.0695203,140.7352554
宮城県,村田町,08-03,村田町大字沼辺字篭田52－4,ＪＡ沼辺倉庫前,38.0782591,140.7322253
宮城県,村田町,08-04,村田町大字沼辺字寄井89－2,masked,38.0767823,140.7319671
宮城県,村田町,08-05,村田町大字沼辺字寄井117－2,masked,38.0766951,140.7299927
宮城県,村田町,08-06,村田町大字沼辺字竹の内前地内,masked,38.0777886,140.7226935
宮城県,村田町,09-01,村田町大字沼辺字新若宮脇地内,masked,38.0853337,140.7323628
宮城県,村田町,09-02,村田町大字沼辺字中山地内,中山集会所前,38.0897631,140.7341828
宮城県,村田町,09-03,村田町大字沼辺字田辺29－3,田辺集会所前（防火水槽）,38.0899948,140.7397963
宮城県,村田町,09-04,村田町大字沼辺字東小沼109－1,masked,38.0782591,140.7322253
宮城県,村田町,10-01,村田町大字沼辺字寄門地内,masked,38.0808,140.7457248
宮城県,村田町,10-02,村田町大字沼辺字高田地内,鹿野消防センター前,38.0715824,140.7429663
宮城県,村田町,10-03,村田町大字沼辺字牡丹山地内,鹿野生活文化センター前,38.0642039,140.7444795
宮城県,村田町,10-04,村田町大字沼辺字立石54,masked,38.0600994,140.7530672
宮城県,村田町,11-01,村田町大字関場字雉子尾地内,菅野商店付近,38.0905839,140.7218829
宮城県,村田町,11-02,村田町大字関場字和田前25,masked,38.0876922,140.7242969
宮城県,村田町,11-03,村田町大字関場字中野内地内,masked,38.0899822,140.7218044
宮城県,村田町,11-04,村田町大字関場字高木地内,関場地区消防ポンプ小屋前,38.0943577,140.7198939
宮城県,村田町,12-01,村田町大字沼田字弁天71,沼田地域交流センター前,38.0838194,140.7088892
宮城県,村田町,12-02,村田町大字沼田字二又前142－2,masked,38.0837722,140.7011448
宮城県,村田町,12-03,村田町大字沼田字新土取場地内,蛇沢橋付近,38.0837461,140.7061037
宮城県,村田町,12-04,村田町大字沼田字清水12,masked,38.0907194,140.7107339
宮城県,村田町,13-01,村田町大字菅生字宮根59,菅生地区公民館前,38.1677259,140.7608646
宮城県,村田町,13-02,村田町大字菅生字宮脇72－10,防火水槽付近,38.1674841,140.7551192
宮城県,村田町,13-03,村田町大字菅生字東地内,平地区野菜集荷所付近,38.1637325,140.7500813
宮城県,村田町,13-04,村田町大字菅生字櫛挽150,櫛道生活センター前,38.1736822,140.7482788
宮城県,村田町,13-05,村田町大字菅生字町東裏3－2,旧菅生簡易郵便局前,38.1680101,140.7729492
宮城県,村田町,13-06,村田町大字菅生字細倉地内,細倉集会所前,38.1517535,140.7609347
