prefecture,city,number,address,name,lat,long,note
宮城県,柴田町,第１投票区,槻木白幡３丁目１－５３,masked,38.0723032,140.8088581,
宮城県,柴田町,第１投票区,槻木上町３丁目３２９,南浦公園西側,38.0753661,140.8129158,
宮城県,柴田町,第１投票区,槻木上町２丁目１－１２,槻木事務所東側,38.0775252,140.8103275,
宮城県,柴田町,第１投票区,槻木下町２丁目６－１５,下町集会所裏町道沿い 町掲示板隣,38.08066669999999,140.8157076,
宮城県,柴田町,第１投票区,槻木下町３丁目１－６０,槻木生涯学習センター北側,38.0780286,140.8143945,
宮城県,柴田町,第１投票区,槻木駅西１丁目３,槻木駅西自転車駐車場西側,38.0784048,140.8083577,
宮城県,柴田町,第１投票区,槻木新町１丁目１－２,槻木駅東自転車駐車場西側フェンス,38.0778706,140.8095272,
宮城県,柴田町,第２投票区,大字四日市場字川名沢１８２-１付近,引地商店前畑地内,38.0930399,140.8129894,
宮城県,柴田町,第２投票区,大字上川名字神廻戸地内,masked,38.098564,140.811768,緯度経度は怪しい
宮城県,柴田町,第２投票区,大字上川名字大坂地内,能化寺前町道三叉路,38.0565346,140.7658363,
宮城県,柴田町,第２投票区,大字富沢字青木町６-２,むつみ学園（旧富上集会所）東側町道沿いフェンス,38.1044991,140.8103346,
宮城県,柴田町,第２投票区,大字富沢字田中前４５,富沢集会所地内,38.1116229,140.8110678,
宮城県,柴田町,第３投票区,大字入間田字舘山崎５-２付近,masked,38.0926513,140.7974995,
宮城県,柴田町,第３投票区,大字入間田字外馬場２２０,農村環境改善センター地内,38.100342,140.7839853,
宮城県,柴田町,第３投票区,大字入間田字弁天前１９,入間田中央集会所地内,38.1037351,140.7909887,
宮城県,柴田町,第３投票区,大字入間田字寺５３,上の組集会所入口町道沿い,38.1090258,140.7850513,
宮城県,柴田町,第３投票区,大字入間田字畑中２-２付近,masked,38.11319940000001,140.7906953,
宮城県,柴田町,第３投票区,大字入間田字鳥屋森３５付近,入間田富沢三本木線・岩崎入口三叉路,38.1004643,140.8013156,
宮城県,柴田町,第４投票区,大字葉坂字竹ノ内９９付近,masked,38.1087846,140.7769239,
宮城県,柴田町,第４投票区,大字葉坂字宮橋５７-１付近,町道葉坂１７号線白坂入口,38.1015709,140.7767544,
宮城県,柴田町,第４投票区,大字葉坂字上崎１０５付近,葉坂構造改善センター付近町道沿い,38.10145900000001,140.7679796,
宮城県,柴田町,第４投票区,大字葉坂字戸ノ内８付近,masked,38.1034389,140.7712652,
宮城県,柴田町,第５投票区,大字成田字坂崎地内,masked,38.09021550000001,140.7727035,
宮城県,柴田町,第５投票区,大字成田字和田前地内,成田消防センター脇,38.0901512,140.7646307,
宮城県,柴田町,第５投票区,大字成田字寺田１２３－１,成田集会所地内,38.0894257,140.7663962,
宮城県,柴田町,第５投票区,大字成田字三河内２４,masked,38.0908989,140.7626955,
宮城県,柴田町,第６投票区,西船迫１丁目８－９,masked,38.06552170000001,140.7664984,
宮城県,柴田町,第６投票区,西船迫１丁目１３－２５,masked,38.0691328,140.7681996,
