prefecture,city,number,address,name,lat,long
宮城県,涌谷町,第１投票区,涌谷町字三十軒屋敷９番地,三十軒・九軒多目的集会所,38.548742,141.0692954
宮城県,涌谷町,第１投票区,涌谷町字五反田１８８番地１,九軒集会所,38.54488389999999,141.0848042
宮城県,涌谷町,第１投票区,涌谷町字一本柳２番地５先,丸石ストア向,38.5483481,141.1053388
宮城県,涌谷町,第１投票区,涌谷町字中島乙２１番地,二の袋生活センター,38.5528835,141.1022093
宮城県,涌谷町,第１投票区,涌谷町字新中島乙９４番地１,新丁頭公会堂,38.5535719,141.1098262
宮城県,涌谷町,第１投票区,涌谷町字関谷沖名１９３番地１,大崎広域東部事業所交差点,38.542569,141.0954181
宮城県,涌谷町,第１投票区,涌谷町字一本柳５３番地,masked,38.5494026,141.1025953
宮城県,涌谷町,第１投票区,涌谷町字一本柳１０４番地,masked,38.54858309999999,141.1048853
宮城県,涌谷町,第２投票区,涌谷町字立町４番地,涌谷町勤労福祉センター東側,38.5425171,141.1263613
宮城県,涌谷町,第２投票区,涌谷町字蔵人沖名２４２番地,涌谷幼稚園前,38.5471692,141.118824
宮城県,涌谷町,第２投票区,涌谷町字田沼町３９番地先,田沼町停留所隣,38.5492629,141.1248627
宮城県,涌谷町,第２投票区,涌谷町字立町４番地,涌谷町勤労福祉センター西側,38.5425171,141.1263613
宮城県,涌谷町,第２投票区,涌谷町字六軒町裏６８番地２先,薬王堂脇,38.5431682,141.1203203
宮城県,涌谷町,第２投票区,涌谷町字六軒町裏８４番地２,六軒町裏集会所,38.5443994,141.1219569
宮城県,涌谷町,第２投票区,涌谷町字刈萱町１１番地,涌谷第一小学校駐車場,38.5436741,141.1284973
宮城県,涌谷町,第３投票区,涌谷町字新町裏１５３番地２,涌谷町役場庁舎前,38.5397004,141.1282093
宮城県,涌谷町,第３投票区,涌谷町字新町裏１５３番地２,涌谷町役場庁舎西側,38.5397004,141.1282093
宮城県,涌谷町,第３投票区,涌谷町字新町４０番地,ひだまり広場,38.54121809999999,141.1275305
宮城県,涌谷町,第３投票区,涌谷町字渋江１７５番地,東北アルプス工場前,38.5380482,141.1201961
宮城県,涌谷町,第３投票区,涌谷町字渋江４０番地先,渋江西入口,38.5380482,141.1201961
宮城県,涌谷町,第３投票区,涌谷町字桑木荒３番地２先,ファミリーマート涌谷渋江店先交差点,38.5342298,141.1223282
宮城県,涌谷町,第３投票区,涌谷町字新町７９番地,八雲児童館,38.5404948,141.1250555
宮城県,涌谷町,第４投票区,涌谷町字田町裏２０１番地,鈴木建設作業場前,38.5343781,141.128455
宮城県,涌谷町,第４投票区,涌谷町字下道６９番地１,涌谷公民館,38.5310718,141.1324535
宮城県,涌谷町,第４投票区,涌谷町字烏鴉１番地１,市道集会所,38.5270939,141.1507308
宮城県,涌谷町,第４投票区,涌谷町字石坂道東一１８番地,花勝山石坂集落センタ－,38.5328391,141.1755364
宮城県,涌谷町,第４投票区,涌谷町字浦町１番地１先,浦町集積所脇,38.5368193,141.1326135
宮城県,涌谷町,第４投票区,涌谷町字長柄町４３番地１,安住商店前,38.5368764,141.1318424
宮城県,涌谷町,第４投票区,涌谷町字桑木荒１５８番地４,北上川下流河川事務所向,38.5330275,141.1274398
